# Wordlist

# DATA
ID	CHECK	CLUSTERFORMAT	CLUSTERID	COGID	CONCEPT	CONCEPTID	CONCEPT_VARIANTS	DOCULECT	FORM_VARIANTS	HOMOPHONES	ID_BACK	IPA	METAGLOSS	MORPHEMES	ORIGINAL_CONCEPT	ORIGINAL_ENTRY	ORIGINAL_TAXNAME	PCOGSETS	PROSTRING	TOKENS
#
1	-	8 8	2	288	all	1	0	Achang_Lianghe	0	0	10	kɯŋ⁵⁵kɯŋ⁵⁵	all	k ɯ ŋ ⁵⁵ + k ɯ ŋ ⁵⁵	all 3	kɯŋ⁵⁵ kɯŋ⁵⁵  | 213.44	Achang (Lianghe) JZ-Achang	8 8	CVcTCVcT	k ɯ ŋ ⁵⁵ ◦ k ɯ ŋ ⁵⁵
2	-	1 1	3	428	all	1	0	Achang_Longchuan	0	0	1	pʐa⁵⁵pʐa⁵⁵	all	pʐ a ⁵⁵ + pʐ a ⁵⁵	all 1	pʐa⁵⁵ pʐa⁵⁵  | 0962.28 | 0963.28	Achang (Longchuan) TBL	1 1	CCVTCCVT	p ʐ a ⁵⁵ ◦ p ʐ a ⁵⁵
3	-	1 1	3	428	all	1	0	Achang_Longchuan_B	0	0	2	pʐa³¹pʐa³¹	all	pʐ a ³¹ + pʐ a ³¹	all 1	pʐa³¹ pʐa³¹  | 999.41	Achang (Longchuan) ZMYYC	1 1	CCVTCCVT	p ʐ a ³¹ ◦ p ʐ a ³¹
4	-	8 8	2	288	all	1	0	Achang_Luxi	0	0	11	kəŋ⁵⁵kəŋ⁵¹	all	k ə ŋ ⁵⁵ + k ə ŋ ⁵¹	all 3	kəŋ⁵⁵ kəŋ⁵¹  | 1534.31	Achang (Luxi) JZ-Achang	8 8	CVcTCVcT	k ə ŋ ⁵⁵ ◦ k ə ŋ ⁵¹
5	-	2 3 0	1	137	all	1	0	Atsi	0	0	3	pan²¹ʃoʔ⁵⁵	all	p a n ²¹ + ʃ o ʔ ⁵⁵	all 1	pan²¹ ʃoʔ⁵⁵  | 0963.30	Atsi [Zaiwa] TBL	2 3	CVcTCVcT	p a n ²¹ ◦ ʃ o ʔ ⁵⁵
6	-	9	5	706	all	1	0	Atsi_B	0	0	14	tʃa̱t⁵⁵	all	tʃ a̱ t ⁵⁵	all 4	tʃa̱t⁵⁵  | 999.42	Atsi [Zaiwa] ZMYYC	9	CVcT	tʃ a̱ t ⁵⁵
7	-	2 3 0	1	137	all	1	0	Bola	0	0	4	pɛ̃⁵⁵ʃaʔ⁵⁵	all	p ɛ̃ ⁵⁵ + ʃ a ʔ ⁵⁵	all 1	pɛ̃⁵⁵ ʃaʔ⁵⁵  | 0963.32	Bola (Luxi) TBL	2 3	CVVTCVcT	p ɛ̃ ∼ ⁵⁵ ◦ ʃ a ʔ ⁵⁵
8	-	5 0 7	4	569	all	1	0	Burmese_ZMYYC	0	0	9	a³luṁ³	all	a ³ + l u ṁ ³	all 2	a³ luṁ³  | 999.39	Burmese (Written) ZMYYC	5 7	VTCVcT	a ³ ◦ l u ṁ ³
9	-	2 3 0	1	137	all	1	0	Lashi	0	0	6	pan³¹ʃɔ̱ʔ⁵⁵	all	p a n ³¹ + ʃ ɔ̱ ʔ ⁵⁵	all 1	pan³¹ ʃɔ̱ʔ⁵⁵  | 0962.33  | 0963.33	Leqi (Luxi) TBL	2 3	CVcTCVcT	p a n ³¹ ◦ ʃ ɔ̱ ʔ ⁵⁵
