1	1173416	all
2	1107818	bad
3	5650	bad
4	?1	be on the other side
5	5437	big
6	375671	bitter
7	1341728	black
8	1511061	blunt
9	?2	boiled water
10	?3	burn the grass
11	5639	cold
12	5483	dirty
13	?4	do not have
14	5989	dry
15	7005	eight
16	5997	far
17	5619	fat
18	5500	few
19	156104	five
20	6253	four
21	6040	full
22	443659	good
23	6032	green
24	5451	heavy
25	1287831	here
26	353440	how many?
27	5494	how?
28	6685	hundred
29	7800	ill
30	1312191	itchy
31	1499731	left // left over
32	452743	light // light (in weight)
33	5438	long
34	?5	long (classifier)
35	5423	many
36	5566	narrow
37	869106	near
38	5484	new
39	6193	nine
40	337925	old (person) // the old person
41	?6	old (thing)
42	6244	one
43	?7	one pair (classifier)
44	1333710	red
45	436024	right // right (side)
46	7026	right (correct)
47	?8	river (classifier)
48	5465	the rope
48	?5465	rope (classifier)
49	5984	round
50	?9	section of road (classifier)
51	7004	seven
52	5987	sharp
53	6746	short
54	7003	six
55	5509	small
56	5487	smooth
57	7907	soft
58	5499	some
59	838324	sour
60	5994	straight
61	336426	sweet
62	335942	tall
63	6312	ten
64	?10	ten cents (classifier)
65	1149393	that
66	?11	that way
67	160271	the ant
68	6894	the arm
69	420887	the arrow
70	264	the ash
71	5648	the back
72	333652	the back side
73	848903	the bamboo
74	?12	the bamboo section
75	?13	the bamboo shoot
76	734724	the banana tree
77	355931	the bean // the pea or bean
78	7552	the bear
78	335263	to bear
79	325	the bee
80	5516	the belly
81	400	the bird
82	411	the blood
83	7774	the boat
84	5983	the bone
85	427040	the bow (for arrow)
86	6504	the brain
87	6343	the branch
88	5992	the breast
89	370376	the breath
90	568	the child (young human)
91	828398	the claw
92	623	the cloud
93	538459	the cooked rice
94	5533	the day
95	5477	the day
96	966	the dog
97	7890	the dove
98	?8448	the dream
98	8448	to dream
99	1009	the dust
100	5510	the ear
101	340828	the egg
102	5511	the eye
103	5464	the father
104	5436	the feather // the hair or fur or down
105	1425	the field
106	5675	the finger 
106	?5675	the little finger
106	?5676	to dig out with finger
107	5529	the fingernail
108	1446	the fire
109	1460	the fish
110	1487	the flower
111	1502	the fog
112	5672	the foot
113	1533	the forest
114	1570	the frog
115	6280	the fruit
116	2444	the fungus // the mushroom
117	?14	the glutinous rice
118	1675	the grass
119	446278	the hair // the hair or fur or down // the head hair
120	1399403	the hair or fur or down
121	1590	the hair or fur or down
122	5616	the hand
123	5527	the head
124	5475	the heart
125	401769	the horn
126	1780	the horse
127	5517	the house
128	5432	the husband
129	1837	the ice
130	1959	the insect
131	2024	the iron
132	430011	the joint
133	5918	the knee
134	2061	the lake
135	1577370	the last year // the year
136	2124	the leaf
137	412005	the leech
138	5665	the leg
139	1419171	the life // the life span
140	5476	the liver
141	5980	the louse
142	6397	the man
143	2300	the meat
144	5919	the medicine
145	?15	the middle finger
146	2358	the milk
147	5870	the monkey
148	5729	the moon
149	1454028	the mortar (bowl)
150	5463	the mother
151	2421	the mountain
152	?16	the mountain side
153	332000	the mouth
154	828575	the nail
155	156863	the nail // the nail (tool)
156	5995	the name
157	7690	the navel
158	5823	the neck
159	5951	the needle (for sewing)
160	1577374	the next year // the year
161	5486	the night
162	5471	the nose
163	385678	the old lady
164	1526622	the old man
165	1031630	the otter
166	395506	the paddy rice // the rice // the uncooked rice // the unhusked rice
167	726623	the pea // the pea or bean
168	5473	the penis
169	333730	the person
170	5836	the pig
171	337267	the place
172	2847	the poison
173	6233	the rat
174	3263	the rice plant
175	3253	the river
176	3258	the road
177	3269	the root
178	5599	the salt
179	3305	the sand
180	6154	the sea
181	1505691	the sea
182	?17	the section (of bamboo between two joints, classifier)
183	3361	the seed
184	5966	the shadow
185	3424	the silver
186	3430	the skin
187	7039	the sky
188	3451	the smoke
189	3388	the snake
190	1417428	the snot
191	3455	the snow
