NUMBER	FGLOSS	GLOSS	COVERAGE	OMEGAWIKI
1	all	all	12	1173416
2	bad	bad	11	1107818
2	bad	bad	11	5650
3	be on the other side	be on other side	6	NAN
4	big	big	13	5437
5	bitter	bitter	12	375671
6	black	black	12	1341728
7	blunt	blunt	11	1511061
8	boiled water	boiled water	7	NAN
9	burn the grass	burn grass	7	NAN
10	cold	cold	9	5639
11	dirty	dirty	12	5483
12	do not have	do not have	7	NAN
13	dry	dry	13	5989
14	eight	eight	12	7005
15	far	far	12	5997
16	fat	fat	13	5619
17	few	few	15	5500
18	five	five	12	156104
19	four	four	12	6253
20	full	full	15	6040
21	good	good	12	443659
22	green	green	12	6032
23	heavy	heavy	12	5451
24	here	here	14	1287831
25	how many?	how many?	14	353440
26	how?	how?	7	5494
27	hundred	hundred	15	6685
28	ill	ill	11	7800
29	itchy	itchy	7	1312191
30	left	left	15	1499731
31	left over	left over	8	1499731
32	light	light	9	452743
33	light (in weight)	light (in weight)	7	452743
34	long	long	15	5438
35	long (classifier)	long (classifier)	9	NAN
36	many	many	15	5423
37	narrow	narrow	12	5566
38	near	near	14	869106
39	new	new	14	5484
40	nine	nine	12	6193
41	old (person)	old (person)	15	337925
42	old (thing)	old (thing)	15	NAN
43	one	one	15	6244
44	one pair (classifier)	one pair (classifier)	7	NAN
45	red	red	15	1333710
46	right	right	8	436024
47	right (correct)	right (correct)	14	7026
48	right (side)	right (side)	10	436024
49	river (classifier)	river (classifier)	7	NAN
50	rope (classifier)	rope (classifier)	7	5465
51	round	round	9	5984
52	section of road (classifier)	section of road (classifier)	7	NAN
53	seven	seven	15	7004
54	sharp	sharp	12	5987
55	short	short	15	6746
56	six	six	16	7003
57	small	small	12	5509
58	smooth	smooth	11	5487
59	soft	soft	12	7907
60	some	some	6	5499
61	sour	sour	12	838324
62	straight	straight	13	5994
63	sweet	sweet	13	336426
64	tall	tall	13	335942
65	ten	ten	15	6312
66	ten cents (classifier)	ten cents (classifier)	7	NAN
67	that	that	15	1149393
68	that way	that way	7	NAN
69	the ant	ant	12	160271
70	the arm	arm	13	6894
71	the arrow	arrow	13	420887
72	the ash	ash	7	264
73	the back	back	13	5648
