NUMBER	GLOSS
1	all / even
2	ant
3	ant 1
4	arm
5	arrow
6	back (of body)
7	back (of body) 3
8	back (direction)
9	back (side) 1
10	back (side) 2
11	bad
12	bad (= 'not good')
13	bamboo
14	banana
15	banana tree
16	banyan tree
17	bark (verb)
18	bark (v.) 1
19	bear
20	bear n
21	bear fruit
22	bear (fruit) v.
23	hit / beat
24	hit / beat 1
25	bee
26	bee (dammer)
27	belly
28	big
29	bird
30	bite
31	bite v.
32	bitter
33	black
34	blood
35	blow (of wind)
36	blow with mouth
37	blow  (the trumpet)
38	blunt
39	blunt / dull
40	boat
41	boat 2
42	boil
43	boil (v.i.) 2
44	cook / boil (rice)
45	boil (v.i.) 1
46	cook / boil v. 3
47	bone
48	bow (weapon)
49	bow (pellet)
50	bow (for arrow) 2
51	brain
52	branch
53	breast
54	burn
55	buy
56	buy v.
57	child
58	child 1
59	claw
60	claw / talon n
61	cloud
62	cloud n
63	come
64	rice (cooked)
65	cough v.
66	count
67	count v. 3
68	cut
69	cut off
70	cut (firewood)
71	cut open (fish)
72	cut (vegetable)
73	cut v. 3
74	day (24 hours)
75	day
76	day(time)
77	day (time) n
78	descend
79	die
80	dig
81	dig / scoop out v.
82	dirty
83	dog
84	dog n
85	dove n
86	dream
87	dream (cp. Sleep)
88	drink
89	drink v.
90	dry
91	dry in the sun
92	dry (clothes) near fire
93	ear
94	eat
95	egg
96	egg (cp. Fowl)
97	egg n
98	eight
99	eye
100	eye / eyeball
101	drop / fall
102	fall
103	fall (down)
104	fall down v.
105	far
106	fat (meat)
107	fat 3
108	fat (of people)
109	fat 1
110	fat 4
111	father
112	feather
113	feather / plume n
114	little / few
115	few / little adj 1
116	field 1
117	swidden / hill field / taungya
118	fight
119	finger
120	fire
121	fire n 1
122	fish
123	fish n
124	five
125	float
126	flow
127	flow 1
128	flower
129	fly (verb)
130	fly v 1
131	fog
132	fog 2
133	forget
134	forget v.
135	four
136	frog
137	fruit
138	full
139	give
140	birth, give
141	good
142	grass
143	grass 1
144	green
145	green (< Shan?)
146	grind
147	hair / fur
148	hair / feathers
149	hand
150	head
151	hear
152	heart
153	heavy
154	here
155	hide
156	hide (v.)
157	hide (v.t.)
158	hit (target)
159	grip / hold
160	hold (baby) in arms
161	hold in mouth
162	horn
163	horse
164	house
165	house n
166	how many / how much
167	hundred
168	hunt
169	husband
170	ice
171	ill / sick
172	insect / worm
173	iron
174	kick
175	kill (cp. Die)
176	knee
177	know
178	lake
179	laugh
180	leaf
181	leech
182	left
183	left (hand) (? cp. Fist)
184	left over
185	lick
186	light
187	light adj.
188	finger (little) (cp. Hand, *
189	liver
190	long
191	louse
192	man (male person)
193	man / male person
194	many / much
195	meat / flesh
196	medicine
197	medicine (see also Tobacco)
198	milk
199	milk ('breast liquid')
200	monkey
201	monkey 1
202	moon
203	mortar
204	mother
205	mountain
206	mouth
207	snout / mouth
208	mushroom
209	nail (tool)
210	name
211	name n
212	narrow
213	narrow adj
214	navel
215	near
216	near 1
217	neck
218	neck (nape of)
219	needle
220	new
221	nine
222	nose
223	old (of people)
224	old (of persons)
225	old (things)
226	old (of things)
227	one
228	one thing
229	otter
230	otter 1
231	penis
232	pig
233	play
234	play v. 1
235	poison
236	pull
237	push
238	put / place
239	place (v.) / put down
240	put on / wear
241	put on / wear 1
242	rain
243	rain (v.) (cp. Sky)
244	rain (verb)
245	rain v
246	red
247	dwell / live
248	right
249	right / correct
250	right (= opp. of Wrong)
251	right (hand) (cp. Hand)
252	river
253	road / way
254	root
255	rope
256	run
257	salt
258	sand
259	scratch
260	scratch (cp. Scrape w.stick)
261	sea
262	see
263	seed
264	seed of grain
265	sell
266	seven
267	sew
268	shadow
269	sharp
270	shoot
271	shoot (with bow or gun)
272	shoot at
273	short
274	silver
275	silver / money
276	sing
277	six
278	skin
279	skin n 2
280	skin n 1
281	sky
282	sleep
283	small
284	small adj
285	smell (verb)
286	smell v
287	smoke
288	smoke (cp. Fire)
289	smooth
290	snake
291	snow
292	snow n
293	soft
294	son
295	son (see Child)
296	sour
297	spit
298	stand
299	star
300	steal
301	stone / pit
302	stone
303	stone / rock
304	straight
305	suck
306	suck (the breast)
307	sun
308	sweet
309	swell
310	tail
311	high / tall
312	ten
313	ten (= 'one ten')
314	ten (as multiplicand)
315	that
316	that (cp. This)
317	there
318	they
319	thick
320	thin
321	thin (of things)
322	think
323	this
324	thorn
325	three
326	throw
327	throw (e.g. stone)
328	tongue
329	tooth
330	tree
331	tree (cp. Wood, Timber, Trunk)
332	tree (hollow)
333	twenty
334	two
335	village
336	vomit
337	walk
338	warm
339	wash (clothes)
340	wash
341	wash (hand)
342	wash clothes v.
343	water
344	we
345	we (inclusive)
346	weave
347	wet
348	what
349	where
350	white
351	who
352	wide
353	wife
354	wife (cp. Woman)
355	wind
356	air / wind
357	wind / air
358	wing
359	wipe
360	woman
361	young woman
362	wood
363	wood / timber (cp. Tree)
364	year
365	year 1
366	year before last
367	yellow
368	you (pl.)
