NUMBER	GLOSS	SEMANTIC TAG	STATUS	CONCEPTICON_ID
1	above	location, adjective or noun	OLD	0731
2	all	characterisation, quantity	OLD	0962
3	the ant	animal	NEW	0365
4	the armpit	body	NEW	0092
5	bad	characterisation, character	OLD	1053
6	the bamboo	plant, food	NEW	0389
7	the barley (tibetan or highland)	plant	NEW	0411
8	to be alive	process	OLD	1087
9	the belly	body	OLD	0096
10	below, under	location, adjective or noun	OLD	0732
11	big	characterisation, quantity	OLD	0964
12	the bird	animal	OLD	0326
13	to bite	action	OLD	1753
14	black	characterization, color	OLD	1005
15	the blood	body	OLD	0129
16	to blow (of wind)	process	OLD	1738
17	the body hair (hair or fur)		NEW	0266
18	the bone	body	OLD	0133
19	the branch	body, plant	OLD	0374
20	the breast (female)	body	OLD	0094
21	to burn [intransitive]	process	OLD	1269
22	to buy	action	OLD	1516
23	to chew	action	OLD	1424
24	the child (young human)	kinship	OLD	0169
25	the cloud	nature	OLD	0007
26	cold (of temperature)	characterization, weather	OLD	1063
27	to come	action	OLD	1491
28	correct (right)	characterization, character	OLD	1045
29	to count	action	OLD	1640
30	to cry (weep)	action	OLD	1485
31	dark	characterisation, state	NEW	1013
32	the daughter	kinship	NEW	0222
33	the dew	nature	NEW	0015
34	to die	process	OLD	1651
35	to dig	action	OLD	1698
36	dirty	characterisation, state	OLD	1086
37	the dog	nature	OLD	0289
38	the dream	mind	OLD	0699
39	to drink	action	OLD	1370
40	dry	characterisation, state	OLD	1028
41	the dust	nature	OLD	0045
42	the ear	body	OLD	0081
43	early	time	NEW	1018
44	the earth (soil)	nature	OLD	0040
45	the earthworm	animal	NEW	0363
46	to eat	action	OLD	1198
47	the egg	animal, product	OLD	0450
48	eight	number	OLD	0804
49	the eye	body	OLD	0079
50	far	characterisation, location	OLD	0974
51	the father	kinship	OLD	0218
52	the feather	animal, product	OLD	0299
53	to fight	action	OLD	1234
54	the fire	nature	OLD	0018
55	firewood	object, utility	NEW	0534
56	the fish	animal	OLD	0351
57	five	number	OLD	0801
58	the flea	animal	NEW	0355
59	to float	process	OLD	1553
60	to flow	process	OLD	1502
61	the flower	plant	OLD	0377
62	to fly (move through air)	action	OLD	1318
63	the fog	nature	OLD	0016
64	the foot	body	OLD	0103
65	the forest	nature	OLD	0050
66	forget	action	NEW	1704
67	four	number	OLD	0800
68	the fox	animal	NEW	0325
69	the frog	animal	NEW	0349
70	the front (front side)	location	NEW	0712
71	the frost	nature	NEW	0014
72	the fruit	nature, food	OLD	0378
73	full	characterisation, state	OLD	0984
74	to give	action	OLD	1345
75	the goat	animal	NEW	0276
76	good	characterisation, character	OLD	1052
77	the grass	nature	OLD	0436
78	green	characterization, color	OLD	1009
79	the hail	nature	NEW	0013
80	the hair (of the head)	body	OLD	0075
81	the hand	body	OLD	0107
82	hard	characterisation, form	NEW	1034
83	he or she [third person singular]	pronoun	OLD	0934
84	the head	body	OLD	0074
85	to hear	action	OLD	1682
86	the heart	body	OLD	0144
87	heavy	characterisation, quantity	OLD	1014
88	here	location, pronoun	OLD	0944
89	to hide (conceal)	action	OLD	1169
90	high / tall	characterisation, quantity	NEW	0968
91	to hold	action	OLD	1709
92	the hoof	body	NEW	0264
93	horizontal	location	NEW	1001
94	the horn (keratinized skin)	body, animal	OLD	0263
95	the horse	animal	NEW	0268
96	hot	characterisation, temperature	NEW	1062
97	the house	residence	OLD	0494
98	hundred	number	OLD	0824
99	to hunt	action	OLD	1230
100	the husband	kinship	OLD	0247
101	I [first person singular]	pronoun	OLD	0928
102	the ice	nature	OLD	0017
103	inside	location	NEW	0715
104	to kill	action	OLD	1602
105	knead	action	NEW	1594
106	the knee	body	OLD	0101
107	knife	object, tool	OLD	0549
108	to know	action	OLD	1798
109	the lake	nature	OLD	0031
110	late	time	NEW	1019
111	to laugh	action	OLD	1735
112	the leaf	body, animal	OLD	0376
113	learn	action	NEW	1742
114	left	characterization, location	OLD	0710
115	to lick	action	OLD	1674
116	to lie down	action	OLD	1661
117	light (of weight)	characterisation, quantity	NEW	1015
118	the lip (the lips)		NEW	0085
119	the liver	body	OLD	0145
120	long	characterization, quantity	OLD	0972
121	the louse	animal	OLD	0356
122	the lung	body part	NEW	0143
123	the man (male human)	human being	OLD	0173
124	many	characterization, quantity	OLD	0987
125	marry (a man marries a woman)	action	NEW	1578
126	the meat	body, animal	OLD	0443
127	middle	location	NEW	0708
128	the moon	nature, object	OLD	0004
129	morning	time	NEW	0749
130	the mosquito	animal	OLD	0360
131	the mother	kinship	OLD	0219
132	the mountain	nature, geography	OLD	0023
133	the mouse or rat	animal	OLD	0320
134	the mouth	body	OLD	0084
135	the mud	nature	NEW	0046
136	the nail (fingernail or claw)	body	OLD	0113
137	the name	human being	OLD	0687
138	narrow	characterization, quantity	OLD	0977
139	near	characterization, quantity	OLD	0975
140	the neck	body	OLD	0089
141	the needle (for sewing)	object, tool	OLD	0578
142	new	characterization, state	OLD	1050
143	nine	number	OLD	0805
144	the nit	animal	NEW	0357
145	noon	time	NEW	0750
146	the nose	body	OLD	0080
147	old (of person)	characterization, state	OLD	1058
148	one	number	OLD	0797
149	the otter	animal	NEW	0317
150	outside	location	NEW	0714
151	the pig	animal	NEW	0284
152	to plant (vegetals, rice)	action	OLD	1774
153	to play	action	OLD	1703
154	to pull	action	OLD	1568
155	to push	action	OLD	1689
156	the rain	nature, phenomenon	OLD	0010
157	the rainbow	nature	NEW	0011
158	red	characterization, color	OLD	1007
159	to reside (live)	action	OLD	1452
160	the rice plant	object, food	NEW	0439
161	right	characterization, location	OLD	0711
162	the river	nature, geography	OLD	0030
163	the road	object, geography	OLD	0038
164	the root	body, animal	OLD	0375
165	the rope	object, tool	OLD	0619
166	round	characterization, form	OLD	0990
167	run	action	NEW	1544
168	the salt	object, food	OLD	0061
169	salty	characterisation, taste	NEW	1076
170	the sand	nature, substance	OLD	0044
171	to scratch	action	OLD	1530
172	the sea	nature, geography	OLD	0032
173	to see	action	OLD	1471
174	the seed	object, food	OLD	0405
175	seven	number	OLD	0803
176	sharp	characterization, form	OLD	1020
177	the sheep	animal	NEW	0275
178	to shoot (an arrow)	action	OLD	1611
179	short	characterization, quantity	OLD	0973
180	the shoulder	body	OLD	0090
181	shy	characterization, character	OLD	1365
182	the sickle	object, tool	NEW	0624
183	to sing	action	OLD	1184
184	six	number	OLD	0802
185	the skin	body	OLD	0120
186	the sky	nature, geography	OLD	0001
187	to sleep	action	OLD	1646
188	small	characterization, quantity	OLD	0965
189	to smell (perceive odor) [transitive]	action	OLD	1707
190	the smoke	nature	OLD	0019
191	smooth	characterization, form	OLD	1037
192	the snake	animal	OLD	0347
193	the snow	nature, object	OLD	0012
194	soft	characterisation, form	NEW	1035
195	the son	kinship	NEW	0220
196	the sparrow	animal	NEW	0336
197	the spider	animal	OLD	0361
198	to spit	action	OLD	1688
199	to stand	action	OLD	1784
200	the star	nature, geography	OLD	0005
201	to steal	action	OLD	1686
202	the stick	object, tool	OLD	0586
203	the stone (a piece of)	nature, substance	OLD	0379
204	straight	characterization, form	OLD	1003
205	the sun	object, geography	OLD	0002
206	the tail	body, animal	OLD	0267
207	ten	number	OLD	0806
208	that	pronoun	OLD	0947
209	there	location	OLD	0950
210	thick	characterization, quantity	OLD	0980
211	the thigh	body	NEW	0100
212	thin	characterization, form	OLD	1026
213	to think (reflect)	action	OLD	1726
214	this	pronoun	OLD	0942
215	thou [second person singular]	pronoun	OLD	0931
216	three	number	OLD	0799
217	to throw	action	OLD	1687
218	the thunder	object, phenomenon	OLD	0008
219	the tiger	animal	NEW	0304
220	today	time	NEW	0738
221	tomorrow	time	NEW	0742
222	the tongue	body	OLD	0139
223	the tooth (front)	body	OLD	0137
224	the tree	nature, object	OLD	0372
225	twenty	number	OLD	0816
226	two	number	OLD	0798
227	to vomit	action	OLD	1535
228	to walk	action	OLD	1815
229	the water	nature, substance	OLD	0047
230	we [first person plural inclusive]	pronoun	OLD	0930
231	wet	characterisation, state	OLD	1029
232	what	pronoun, question	OLD	0954
233	the wheat	object, food	NEW	0410
234	where	pronoun, question	OLD	0955
235	white	characterisation, color	OLD	1006
236	who	pronoun, question	OLD	0953
237	the wife	kinship	OLD	0248
238	the wind	nature, phenomenon	OLD	0009
239	the wing	body, animal	OLD	0298
240	to wipe	action	OLD	1163
241	the wolf	animal	NEW	0324
242	the woman	human being	OLD	0174
243	the wood (material)	plant, substance	OLD	0511
244	the worm	animal	OLD	0353
245	the year	time	OLD	0777
246	yellow	characterisation, color	OLD	1008
247	yesterday	time	NEW	0739
248	you [second person plural]	pronoun	OLD	0933
249	young	characterisation, age	NEW	1059
