NUMBER	GLOSS	TBL_ID	CONCEPTICON_ID
1	I [first person singular]	928	1209
2	above	731	1741
3	all	962	98
4	angry	1621	1826
5	bad	1053	1292
6	bald	993	1125
7	beautiful	1060	1427
8	below, under	732	1485
9	big	964	1202
10	bitter	1074	887
11	black	1005	163
12	blind	1715	1653
13	blue	1010	837
14	bright	1012	679
15	cold (of temperature)	1063	1287
16	correct (right)	1045	1725
17	dark	1013	706
18	deaf	1504	996
19	deep	982	1593
20	difficult	1067	584
21	dirty	1086	1230
22	drunk	1818	1463
23	dry	1028	1398
24	dull	1021	379
25	early	1018	672
26	easy	1068	686
27	eight	804	1705
28	far	974	1406
29	fast	1016	1631
30	fat (of person)	1024	1279
31	few	988	1242
32	firewood	534	10
33	five	801	493
34	flat	994	1633
35	four	800	1500
36	fragrant	1069	376
37	full	984	1429
38	good	1052	1035
39	green	1009	1425
40	hard	1034	1884
41	he or she [third person singular]	934	262
42	heavy	1014	1210
43	here	944	136
44	high / tall	968	1265
45	horizontal	1001	2376
46	hot	1062	1286
47	hundred	824	1634
48	hungry	1298	1533
49	inside	715	1606
50	knife	549	1352
51	late	1019	477
52	left	710	244
53	light (of weight)	1052	1052
54	long	972	1203
55	many	987	1198
56	middle	708	1093
57	morning	749	1339
58	narrow	977	1267
59	near	975	1942
60	new	1050	1231
61	nine	805	1483
62	noon	750	12
63	old (aged)	1058	1229
64	old (of person)	1058	2112
65	one	797	1493
66	outside	714	762
67	red	1007	156
68	right	711	1019
69	ripe	1638	178
70	round	990	1395
71	salty	1076	1091
72	seven	803	1704
73	shallow	983	193
74	sharp	1020	1396
75	short	973	1645
76	shy	1365	487
77	sick	1160	1847
78	six	802	1703
79	slow	1017	701
80	small	965	1246
81	smooth	1037	1234
82	soft	1035	1856
83	sour	1072	1906
84	spicy	1075	544
85	straight	1003	1404
86	stream		947
87	sweat	154	2458
88	sweet	1073	717
89	tall (stature)	968	711
90	ten	806	1515
91	that	947	78
92	the ant	365	587
93	the arm	105	1673
94	the armpit	92	1886
95	the arrow	637	977
96	the ash	63	646
97	the bamboo	389	1927
98	the banana	398	868
99	the barley (tibetan or highland)	411	932
100	the bat	337	1793
101	the bean	430	832
102	the bear	311	1820
103	the beard	86	678
104	the bed	526	1663
105	the bee	267	665
106	the bell	666	2246
107	the belly	96	1251
108	the bird	326	937
109	the bird nest	327	539
110	the blood	129	946
111	the boat	602	1844
112	the body hair (hair or fur)	266	189
113	the bone	133	1394
114	the brain	132	1583
115	the branch	374	1531
116	the breast (female)	94	1402
117	the buffalo	256	934
118	the butterfly	370	1791
119	the buttocks	99	834
120	the cave	29	1155
121	the cheek	83	1730
122	the chicken	293	1318
123	the child (young human)	169	1304
124	the chin	88	1510
125	the claw	307	72
126	the clothes	467	1895
127	the cloud	7	1489
128	the color	702	1613
129	the cooked rice	440	1191
130	the cow	261	1007
131	the crossbow	636	994
132	the crow	339	913
133	the daughter	222	1357
134	the day	748	1225
135	the deer	313	1936
136	the dew	15	1977
137	the dog	289	2009
138	the door	514	1567
139	the dream	699	2374
140	the duck	300	1360
141	the dust	45	2
142	the ear	81	1247
143	the earth (soil)	40	1228
144	the earthworm	363	2350
145	the east	704	1877
146	the egg	450	744
147	the elbow	106	981
148	the excrement	151	675
149	the eye	79	1248
150	the eyebrow	78	1173
151	the face	82	1560
152	the father	218	1217
153	the feather	299	1201
154	the finger	109	1303
155	the fire	18	221
156	the fish	351	227
157	the flea	355	232
158	the flesh	128	2259
159	the flower	377	239
160	the fly	358	1504
161	the fog	16	249
162	the foot	103	1301
163	the forehead	77	123
164	the forest	50	420
165	the fox	325	1312
166	the friend	201	1325
167	the frog	349	503
168	the front (front side)	712	2194
169	the frost	14	2034
170	the fruit	378	1507
171	the garlic	424	2368
172	the ghost	669	1175
173	the ginger	425	2500
174	the goat	276	1502
175	the gold	51	1369
176	the grandson	224	1618
177	the grass	436	606
178	the gums	138	139
179	the hail	13	609
180	the hair (of the head)	75	1040
181	the half	832	816
182	the hand	107	1277
183	the head	74	1256
184	the heart	144	1223
185	the hoof	264	152
186	the horn (keratinized skin)	263	1393
187	the horse	268	615
