Grapheme	Segments	Structure	Unicode	Frequency	Reflexes
²	²	t	U+00b2	284	Proto-Lolo-Burmese,Proto-Burmish,Proto-Lolo
¹	¹	t	U+00b9	145	Proto-Burmish,Proto-Lolo-Burmese,Proto-Lolo
¹ᵃ	¹ᵃ	t	U+00b9 U+1d43	85	Proto-Lolo,Proto-Lolo-Burmese,Proto-Burmish
¹ᵇ	¹ᵇ	t	U+00b9 U+1d47	52	Proto-Lolo-Burmese,Proto-Burmish
³	³	t	U+00b3	45	Proto-Lolo-Burmese,Proto-Lolo,Proto-Burmish
²ᶜ	²ᶜ	t	U+00b2 U+1d9c	23	Proto-Lolo-Burmese,Proto-Burmish
¹ᶜ	¹ᶜ	t	U+00b9 U+1d9c	1	Proto-Burmish
aʔ	a ʔ	n c	U+0061 U+0020 U+0294	31	Proto-Lolo-Burmese,Proto-Lolo
aŋ	a ŋ	n c	U+0061 U+0020 U+014b	26	Proto-Lolo-Burmese,Proto-Burmish
am	a m	n c	U+0061 U+0020 U+006d	23	Proto-Lolo-Burmese,Proto-Lolo,Proto-Burmish
um	u m	n c	U+0075 U+0020 U+006d	19	Proto-Lolo-Burmese,Proto-Lolo,Proto-Burmish
oʔ	o ʔ	n c	U+006f U+0020 U+0294	13	Proto-Lolo
oŋ	o ŋ	n c	U+006f U+0020 U+014b	13	Proto-Lolo-Burmese,Proto-Lolo,Proto-Burmish
yiŋ	j i ŋ	i n c	U+0079 U+0069 U+0020 U+014b	11	Proto-Lolo-Burmese,Proto-Burmish,Proto-Lolo
iŋ	i ŋ	n c	U+0069 U+0020 U+014b	10	Proto-Lolo-Burmese,Proto-Lolo,Proto-Burmish
yaŋ	j a ŋ	i n c	U+0079 U+0061 U+0020 U+014b	9	Proto-Lolo-Burmese,Proto-Burmish
eʔ	e ʔ	n c	U+0065 U+0020 U+0294	7	Proto-Lolo
yaʔ	j a ʔ	i n c	U+0079 U+0061 U+0020 U+0294	7	Proto-Lolo,Proto-Lolo-Burmese
ut	u t	n c	U+0075 U+0020 U+0074	6	Proto-Lolo-Burmese,Proto-Lolo
an	a n	n c	U+0061 U+0020 U+006e	6	Proto-Burmish
