number	meaning	PLB	PB	Spoken Burmese	Atsi	Maru	PL	Lisu	Lahu	Akha	notes	MM notes
1	above	thaʔ²	thaʔ	theʔ	ăthoʔ	-	thaʔ²	-	thāʔ	tāʔ	PL: Ak, Lahu: T	
2	alive	-	-	-	-	-	deʔ¹	-	tēʔ	dɛ̀ʔ	Akha: 'life'	
3	animal (classifier)	-	tu²	-	tù	tāu	-	-	-	-		
4	answer-1	-	tʔu²ᶜ	thû	tʔú	tʔàu	-	-	-	-		
5	answer-2	-		-	-	-	ḳhoʔ¹	-	ḳhɔ̄ʔ	xɔ̀ʔ		
6	ant	-	γwaʔ	păyweʔ	pâuvoʔ	phyòγùk	-	-	-	-		
7	ant (flying)	-	lu¹ᵇ	pălú	pàulú	-	-	boʔlô	-	-	Lisu: FT	
8	antelope	hya²	ya²	-	yò	-	hya²	hyà	hâ	-	PB: At	
9	anvil	pei¹	pei¹	péi	-	-	bi¹	-	pǐtɛ̀	-	PB: Bu; PL: La	
10	arrow	mya²	mya²	hmyâ	myò	myō	mya²	myà	-	-	BSB: A; PL: Li	
11	ascend	taʔ²	taʔ	teʔ	toʔ	tòʔ	daʔ²	dæ̂	táʔ	dāʔ		
12	ashamed	-	haʔ	šeʔ	hoʔ	γoʔ	-	-	-	-		
13	ashes	-	pγV	pyà	mìvap	mīγàp	-	-	-	-	PB: CB	
14	ask for	-	toŋ²	tâun	túŋ	-	-	-	-	-		
15	ask, question	-		-	-	-	nʔa¹	nânyî	nānī	náhà		
16	attach	-	tʔap	taʔ	tʔap	tʔeʔ	-	-	-	-	BSB: I	
17	aunt	-	mʔi³	-	mʔyīthāŋ	mʔíkàn	-	-	-	-		
18	awake	no²	no²	nôu	-	-	no²	-	nɔ̂	nø̄	PB: Bu; PL: La; Akha: T	
19	awaken	-	nʔo²	hnôu	nʔáu	nʔuk	-	-	-	-		
20	bamboo	wa²	wa²	wâ	và	wō	wa²	-	vâ	zàʔ	PL: La; Akha: T	
21	bamboo shoots	-	mik	hmyiʔ	myik	màk	-	-	-	-	BSB: AY	
22	bamboo ties	ne²	ne²	hnî	nè	nē	ne²	mānì	vânē	-	BSB: AF; PL: Li; Lahu: FT	
23	banyan	-	mʔyaŋ²	-	mʔyàŋkáun	mʔyā	-	-	-	-		
24	bark (cf. tree)	-	kʔok	khauʔ	sikkʔuʔ	-	-	-	-	-		
25	beads	-	γwe²	ywê	vùi	γōi	-	-	-	-		
26	beans	-	-	-	-	-	noʔ²	ánô	nɔ́ʔ	-		
27	bear	wam¹	wam¹	wún	-	wìn	wam	wɔ̄phà	-	-	PL: Li	
28	bee	pya²	pya²	pyâ	pyò	pyō	bya²	byà	pɛ̂	bya		
29	behind	-	thaŋ³	-	nûmthāŋ	nʔòŋtháŋ	-	-	-	-		
30	below	ok²	ok	auʔ	-	-	oʔ²	-	-	làʔɔ̄ʔ	PB: Bu; PL: Ak; Akha: 'down'	
31	bet	-	loŋ²ᶜ	lâun	lôŋ	lòŋ	-	-	-	-	Atsi: FT	
32	between	kya²	kya²	jâ	kyòrò	ăkyō	g̯a²	-	k̯àjī	-	PL: La	BSB: parentheses without explanation
33	big	-	kγi²	cî	-	γī	-	-	-	-	PB: C	
34	bird	ʔaʔ²	ʔaʔ	hŋeʔ	ŋʔoʔ	ŋʔoʔ	ŋʔaʔ²	nyǎ	ŋáʔ	-	PL: La; Lisu: IT	
35	bitter	kha²	kha²	khâ	khó	khó	ḳha²	khwà	ḳhâ	yɔ̄xà	Maru: T	
36	black	naʔ²	naʔ	neʔ	noʔ	nòʔ	naʔ²	yínæ̂	náʔ	yɔ̄nāʔ		
37	blood	swei²	swei²	θwêi	sùi	sā	sei²	šù̸	ɔ̌sɨ̀	šì		
38	blow (with mouth)	mut²	mut	hmouʔ	mut	màt	mut²	mû̸	mʌ́ʔ	-	BSB: A	
39	blunt	tum²	tum²	tôun	túm	tām	dum²	dùlē	-	yɔ̄dm̀		
40	boat	lʔei¹ᵇ	lʔei¹ᵇ	hléi	lʔái	lʔà	lʔei¹	lî	-	-	PL: Li	
41	boil	tsʔu¹ᵃ	tsʔu¹ᵃ	shú	tsʔû	tsʔàu	tsu¹	tsû	-	-	PL: Li	
42	bone	γo²	γo²	ăyôu	šòvùi	šăγùk	γo²	-	ɔ̌g̣ɔ́k̯ū	šàyø̀	PL: Ak; Lahu: T	
43	born	-		-	-	-	bɔ³	-	pɔ̄lā	bɔ̄		
44	borrow-1	ŋʔa²	ŋʔa²	hŋâ	ŋʔó	ŋʔō	ŋʔa²	ŋwá	ŋà	ŋà		
45	borrow-2	-	cʔi²	chî	cʔí	-	-	-	-	-		
46	brains	-	nok	hnauʔ	ùnuʔ	āunòk	-	-	-	-	BSB: A	
47	branch	-	kʔaʔ	ăkheʔ	ăkʔoʔ	ăkʔoʔ	-	-	-	-		
48	brave	-	wam³	wùn	vām	-	-	-	-	-		
49	break	-	khyo²	chôu	khyúi	khyúʔ	-	-	-	-	Maru: G	
50	breast	-	no³	nòu	nāu	núkàm	-	-	-	-	BSB: 'milk'	
51	breathe	-	saʔ	ăθeʔ	soɂ	sóʔšè	-	-	-	-		
52	bridge	tsam¹ᵃ	tsam¹ᵃ	-	tsâm	tsìn	dzam¹	-	cɔ̌	lɔ́dzḿ		
53	buffalo (water)	-	klwe²	cwê	nòlùi	nūŋlōi	-	-	-	-	PB: C	
54	build	-	tsʔok	shauʔ	tsʔuʔ	-	-	-	-	-		
55	buy	we¹ᵃ	we¹ᵃ	wé	vûi	wài	wə¹	wū	və̌	zé̸	Maru, Lisu: F; Akha: IF	
56	call	-	-	-	-	-	k̯hu¹	khū	k̯ŭ	kú	Lahu: IT	
57	carry on back	po²	po²	pôu	páu	-	bo²	-	pɨ̂	-	PL: La	
58	carry on shoulder	-	waʔ	-	vaʔ	wòʔ	-	-	-	-		
59	cat	-	kγV¹ᵃ	cáun	vûŋ	-	-	-	-	-	PB: CB	
60	cattle (cow)	-	nwa²	nwâ	nò	nūŋ	-	-	-	-	Maru: F	
