Grapheme	Segments	CLPA	Structure	Unicode	Frequency	Reflexes	Examples
³	³	³	t	U+00b3	962	Written_Burmese	rɑ³
²	²	²	t	U+00b2	831	Written_Burmese	ɑɑ²
⁴	⁴	⁴	t	U+2074	627	Written_Burmese	rutʔ⁴
¹	¹	¹	t	U+00b9	623	Written_Burmese	se¹
⁵⁵	⁵⁵	⁵⁵	t	U+2075 U+2075	5	Written_Burmese	shɑn⁵⁵
²²	²²	²²	t	U+00b2 U+00b2	4	Written_Burmese	nwɑj²²
⁵³	⁵³	⁵³	t	U+2075 U+00b3	1	Written_Burmese	ɑ⁵³
²_ˍ	²_ˍ	²_ˍ	t	U+00b2 U+005f U+02cd	1	Written_Burmese	rɑɑ²_ˍ
ɑŋ	ɑ ŋ	ɑ ŋ	n c	U+0251 U+0020 U+014b	106	Written_Burmese	nɑŋ³
ɔŋ	ɔ ŋ	ɔ ŋ	n c	U+0254 U+0020 U+014b	105	Written_Burmese	kɔŋ³
ɑk	ɑ k	ɑ k	n c	U+0251 U+0020 U+006b	89	Written_Burmese	bhɑk⁴
ɑn	ɑ n	ɑ n	n c	U+0251 U+0020 U+006e	58	Written_Burmese	kɑn²
ɔk	ɔ k	ɔ k	n c	U+0254 U+0020 U+006b	56	Written_Burmese	rɔk⁴
ɑȵ	ɑ ȵ	ɑ ȵ	n c	U+0251 U+0020 U+0235	51	Written_Burmese	thɑȵ³
uṁ	u ṁ	u ṁ	n c	U+0075 U+0020 U+1e41	49	Written_Burmese	luṁ³
ɑs	ɑ s	ɑ s	n c	U+0251 U+0020 U+0073	48	Written_Burmese	tθɑs⁴
ɑj	ɑ j	ɑ j	n c	U+0251 U+0020 U+006a	45	Written_Burmese	kɑj²
ɑṁ	ɑ ṁ	ɑ ṁ	n c	U+0251 U+0020 U+1e41	39	Written_Burmese	khɑṁ²
ɑp	ɑ p	ɑ p	n c	U+0251 U+0020 U+0070	36	Written_Burmese	nɑp⁴
ok	o k	o k	n c	U+006f U+0020 U+006b	34	Written_Burmese	kok⁴
up	u p	u p	n c	U+0075 U+0020 U+0070	33	Written_Burmese	shup⁴
ɑt	ɑ t	ɑ t	n c	U+0251 U+0020 U+0074	31	Written_Burmese	pɑt⁴
oŋ	o ŋ	o ŋ	n c	U+006f U+0020 U+014b	29	Written_Burmese	tθoŋ³
ɑm	ɑ m	ɑ m	n c	U+0251 U+0020 U+006d	25	Written_Burmese	tɑm²
im	i m	i m	n c	U+0069 U+0020 U+006d	22	Written_Burmese	im²
on	o n	o n	n c	U+006f U+0020 U+006e	22	Written_Burmese	thon³
it	i t	i t	n c	U+0069 U+0020 U+0074	21	Written_Burmese	shit⁴
ut	u t	u t	n c	U+0075 U+0020 U+0074	19	Written_Burmese	hut⁴
un	u n	u n	n c	U+0075 U+0020 U+006e	14	Written_Burmese	shun²
ip	i p	i p	n c	U+0069 U+0020 U+0070	13	Written_Burmese	thip⁴
in	i n	i n	n c	U+0069 U+0020 U+006e	12	Written_Burmese	shin²
ot	o t	o t	n c	U+006f U+0020 U+0074	6	Written_Burmese	bot⁴
ɑȵ̂	ɑ ȵ̂	ɑ ȵ̂	n c	U+0251 U+0020 U+0235 U+0302	5	Written_Burmese	zɑȵ̂³
oj	o j	o j	n c	U+006f U+0020 U+006a	4	Written_Burmese	koj²
um	u m	u m	n c	U+0075 U+0020 U+006d	3	Written_Burmese	mum²
op	o p	o p	n c	U+006f U+0020 U+0070	3	Written_Burmese	thop⁴
ɑɑn	ɑɑ n	ɑɑ n	n c	U+0251 U+0251 U+0020 U+006e	2	Written_Burmese	shɑɑn²
utʔ	u tʔ	u tʔ	n c	U+0075 U+0020 U+0074 U+0294	1	Written_Burmese	rutʔ⁴
ɑuṁ	ɑu ṁ	ɑu ṁ	n c	U+0251 U+0075 U+0020 U+1e41	1	Written_Burmese	ɑuṁ²
et	e t	e t	n c	U+0065 U+0020 U+0074	1	Written_Burmese	tθet⁴
ud	u d	u d	n c	U+0075 U+0020 U+0064	1	Written_Burmese	pud⁴
ɑ̃	ɑ̃ ∼	ɑ̃ ∼	n c	U+0251 U+0303 U+0020 U+223c	1	Written_Burmese	tθɑ̃∼²²
ɑɑj	ɑɑ j	ɑɑ j	n c	U+0251 U+0251 U+0020 U+006a	1	Written_Burmese	rɑɑj²
jȵ̂	j ȵ̂	j ȵ̂	n c	U+006a U+0020 U+0235 U+0302	1	Written_Burmese	khjȵ̂²
ɑn̩	ɑ n̩	ɑ n̩	n c	U+0251 U+0020 U+006e U+0329	1	Written_Burmese	dɑn̩²
an	a n	a n	n c	U+0061 U+0020 U+006e	1	Written_Burmese	ŋan³
êɑȵ	êɑ ȵ	êɑ ȵ	n c	U+00ea U+0251 U+0020 U+0235	1	Written_Burmese	êɑȵ¹
ɑp̩	ɑ p̩	ɑ p̩	n c	U+0251 U+0020 U+0070 U+0329	1	Written_Burmese	kɑp̩⁴
is	i s	i s	n c	U+0069 U+0020 U+0073	1	Written_Burmese	kis⁴
itθ	i tθ	i tθ	n c	U+0069 U+0020 U+0074 U+03b8	1	Written_Burmese	pitθ⁴
ɑm̩	ɑ m̩	ɑ m̩	n c	U+0251 U+0020 U+006d U+0329	1	Written_Burmese	ȵɑm̩¹
ɑṇ	ɑ ṇ	ɑ ṇ	n c	U+0251 U+0020 U+1e47	1	Written_Burmese	dɑṇ²
ɑ	ɑ	ɑ	n	U+0251	424	Written_Burmese	rɑ³
o	o	o	n	U+006f	140	Written_Burmese	sho²
i	i	i	n	U+0069	117	Written_Burmese	ti¹
e	e	e	n	U+0065	112	Written_Burmese	se¹
u	u	u	n	U+0075	104	Written_Burmese	bhu¹
ɑɑ	ɑɑ	ɑɑ	n	U+0251 U+0251	80	Written_Burmese	ɑɑ²
ɔ	ɔ	ɔ	n	U+0254	64	Written_Burmese	dɔ³
ɑi	ɑi	ɑi	n	U+0251 U+0069	36	Written_Burmese	rɑi³
û	û	û	n	U+00fb	13	Written_Burmese	û³
a	a	a	n	U+0061	5	Written_Burmese	pha¹
ê	ê	ê	n	U+00ea	4	Written_Burmese	ê³
î	î	î	n	U+00ee	4	Written_Burmese	î²
ɔ̂	ɔ̂	ɔ̂	n	U+0254 U+0302	2	Written_Burmese	ɔ̂⁵⁵
uu	uu	uu	n	U+0075 U+0075	1	Written_Burmese	uu²
wɑk	w ɑ k	w ɑ k	m n c	U+0077 U+0020 U+0251 U+0020 U+006b	31	Written_Burmese	rwɑk⁴
jɑk	j ɑ k	j ɑ k	m n c	U+006a U+0020 U+0251 U+0020 U+006b	29	Written_Burmese	mjɑk⁴
wɑŋ	w ɑ ŋ	w ɑ ŋ	m n c	U+0077 U+0020 U+0251 U+0020 U+014b	29	Written_Burmese	twɑŋ²
jɔk	j ɔ k	j ɔ k	m n c	U+006a U+0020 U+0254 U+0020 U+006b	27	Written_Burmese	jɔk⁴
rɑŋ	r ɑ ŋ	r ɑ ŋ	m n c	U+0072 U+0020 U+0251 U+0020 U+014b	24	Written_Burmese	hrɑŋ²
nɑs	n ɑ s	n ɑ s	m n c	U+006e U+0020 U+0251 U+0020 U+0073	20	Written_Burmese	hnɑs⁴
jɑŋ	j ɑ ŋ	j ɑ ŋ	m n c	U+006a U+0020 U+0251 U+0020 U+014b	16	Written_Burmese	kjɑŋ¹
rɔŋ	r ɔ ŋ	r ɔ ŋ	m n c	U+0072 U+0020 U+0254 U+0020 U+014b	15	Written_Burmese	prɔŋ³
rɑn	r ɑ n	r ɑ n	m n c	U+0072 U+0020 U+0251 U+0020 U+006e	15	Written_Burmese	mrɑn²
rɑs	r ɑ s	r ɑ s	m n c	U+0072 U+0020 U+0251 U+0020 U+0073	14	Written_Burmese	mrɑs⁴
rɑȵ	r ɑ ȵ	r ɑ ȵ	m n c	U+0072 U+0020 U+0251 U+0020 U+0235	14	Written_Burmese	krɑȵ¹
rɑk	r ɑ k	r ɑ k	m n c	U+0072 U+0020 U+0251 U+0020 U+006b	13	Written_Burmese	mrɑk⁴
jɔŋ	j ɔ ŋ	j ɔ ŋ	m n c	U+006a U+0020 U+0254 U+0020 U+014b	10	Written_Burmese	khjɔŋ³
rɔk	r ɔ k	r ɔ k	m n c	U+0072 U+0020 U+0254 U+0020 U+006b	9	Written_Burmese	mrɔk⁴
wɑj	w ɑ j	w ɑ j	m n c	U+0077 U+0020 U+0251 U+0020 U+006a	9	Written_Burmese	wɑj²
rɑṁ	r ɑ ṁ	r ɑ ṁ	m n c	U+0072 U+0020 U+0251 U+0020 U+1e41	8	Written_Burmese	krɑṁ²
wɑn	w ɑ n	w ɑ n	m n c	U+0077 U+0020 U+0251 U+0020 U+006e	7	Written_Burmese	wɑn²
jin	j i n	j i n	m n c	U+006a U+0020 U+0069 U+0020 U+006e	7	Written_Burmese	khjin³
mɑn	m ɑ n	m ɑ n	m n c	U+006d U+0020 U+0251 U+0020 U+006e	7	Written_Burmese	hmɑn²
jɑm	j ɑ m	j ɑ m	m n c	U+006a U+0020 U+0251 U+0020 U+006d	7	Written_Burmese	khjɑm³
jɑs	j ɑ s	j ɑ s	m n c	U+006a U+0020 U+0251 U+0020 U+0073	7	Written_Burmese	kjɑs⁴
rɑt	r ɑ t	r ɑ t	m n c	U+0072 U+0020 U+0251 U+0020 U+0074	7	Written_Burmese	prɑt⁴
jɑȵ	j ɑ ȵ	j ɑ ȵ	m n c	U+006a U+0020 U+0251 U+0020 U+0235	7	Written_Burmese	kjɑȵ³
ruṁ	r u ṁ	r u ṁ	m n c	U+0072 U+0020 U+0075 U+0020 U+1e41	6	Written_Burmese	khruṁ²
rɑm	r ɑ m	r ɑ m	m n c	U+0072 U+0020 U+0251 U+0020 U+006d	5	Written_Burmese	krɑm³
juṁ	j u ṁ	j u ṁ	m n c	U+006a U+0020 U+0075 U+0020 U+1e41	5	Written_Burmese	juṁ²
ŋɑk	ŋ ɑ k	ŋ ɑ k	m n c	U+014b U+0020 U+0251 U+0020 U+006b	5	Written_Burmese	hŋɑk⁴
jɑȵ̂	j ɑ ȵ̂	j ɑ ȵ̂	m n c	U+006a U+0020 U+0251 U+0020 U+0235 U+0302	5	Written_Burmese	mjɑȵ̂³
jɑp	j ɑ p	j ɑ p	m n c	U+006a U+0020 U+0251 U+0020 U+0070	5	Written_Burmese	khjɑp⁴
jɑt	j ɑ t	j ɑ t	m n c	U+006a U+0020 U+0251 U+0020 U+0074	5	Written_Burmese	phjɑt⁴
nɑŋ	n ɑ ŋ	n ɑ ŋ	m n c	U+006e U+0020 U+0251 U+0020 U+014b	5	Written_Burmese	hnɑŋ³
jɑn	j ɑ n	j ɑ n	m n c	U+006a U+0020 U+0251 U+0020 U+006e	5	Written_Burmese	kjɑn²
joŋ	j o ŋ	j o ŋ	m n c	U+006a U+0020 U+006f U+0020 U+014b	4	Written_Burmese	khjoŋ³
ȵɑs	ȵ ɑ s	ȵ ɑ s	m n c	U+0235 U+0020 U+0251 U+0020 U+0073	4	Written_Burmese	hȵɑs⁴
rup	r u p	r u p	m n c	U+0072 U+0020 U+0075 U+0020 U+0070	4	Written_Burmese	hrup⁴
rut	r u t	r u t	m n c	U+0072 U+0020 U+0075 U+0020 U+0074	4	Written_Burmese	prut⁴
wɑm	w ɑ m	w ɑ m	m n c	U+0077 U+0020 U+0251 U+0020 U+006d	4	Written_Burmese	wɑm³
rit	r i t	r i t	m n c	U+0072 U+0020 U+0069 U+0020 U+0074	4	Written_Burmese	krit⁴
rwɑk	rw ɑ k	rw ɑ k	m n c	U+0072 U+0077 U+0020 U+0251 U+0020 U+006b	4	Written_Burmese	krwɑk⁴
jɑṁ	j ɑ ṁ	j ɑ ṁ	m n c	U+006a U+0020 U+0251 U+0020 U+1e41	4	Written_Burmese	pjɑṁ²
jit	j i t	j i t	m n c	U+006a U+0020 U+0069 U+0020 U+0074	4	Written_Burmese	khjit⁴
lup	l u p	l u p	m n c	U+006c U+0020 U+0075 U+0020 U+0070	4	Written_Burmese	hlup⁴
jon	j o n	j o n	m n c	U+006a U+0020 U+006f U+0020 U+006e	4	Written_Burmese	khjon²
lɑȵ	l ɑ ȵ	l ɑ ȵ	m n c	U+006c U+0020 U+0251 U+0020 U+0235	4	Written_Burmese	hlɑȵ¹
wɑṁ	w ɑ ṁ	w ɑ ṁ	m n c	U+0077 U+0020 U+0251 U+0020 U+1e41	3	Written_Burmese	wɑṁ²
rim	r i m	r i m	m n c	U+0072 U+0020 U+0069 U+0020 U+006d	3	Written_Burmese	krim²
lɑn	l ɑ n	l ɑ n	m n c	U+006c U+0020 U+0251 U+0020 U+006e	3	Written_Burmese	hlɑn³
