Grapheme	Segments	Structure	Unicode	Frequency	Reflexes
³	³	t	U+00b3	408	Bola,Maru,Atsi,Lashi,Achang
³¹	³¹	t	U+00b3 U+00b9	327	Maru,Lashi,Atsi,Achang,Hpun
⁵	⁵	t	U+2075	207	Maru,Atsi,Lashi,Achang
⁵³	⁵³	t	U+2075 U+00b3	189	Maru,Achang,Lashi,Atsi
³²	³²	t	U+00b3 U+00b2	171	Achang,Lashi,Atsi,Maru
⁵⁴	⁵⁴	t	U+2075 U+2074	121	Lashi,Achang,Atsi,Maru
⁵²	⁵²	t	U+2075 U+00b2	112	Maru,Atsi,Achang,Lashi,Bola
⁴	⁴	t	U+2074	103	Achang,Atsi,Maru,Lashi
²³	²³	t	U+00b2 U+00b3	69	Lashi,Maru,Bola
⁵⁵	⁵⁵	t	U+2075 U+2075	65	Hpun
⁴³	⁴³	t	U+2074 U+00b3	64	Lashi,Achang,Atsi,Maru
²	²	t	U+00b2	61	Achang,Atsi,Lashi,Maru
⁴²	⁴²	t	U+2074 U+00b2	57	Atsi,Lashi,Maru,Achang
⁵¹	⁵¹	t	U+2075 U+00b9	38	Achang,Atsi,Maru,Lashi
³⁴	³⁴	t	U+00b3 U+2074	32	Lashi,Atsi,Achang,Maru
⁴⁵	⁴⁵	t	U+2074 U+2075	24	Maru,Atsi,Lashi,Achang
⁴¹	⁴¹	t	U+2074 U+00b9	21	Lashi,Achang,Maru
²¹	²¹	t	U+00b2 U+00b9	18	Achang,Atsi,Maru,Lashi
³⁵	³⁵	t	U+00b3 U+2075	17	Atsi,Lashi,Achang,Maru
²⁵	²⁵	t	U+00b2 U+2075	4	Lashi,Achang,Maru
²⁴	²⁴	t	U+00b2 U+2074	3	Maru,Lashi
⁵²(	⁵²(	t	U+2075 U+00b2 U+0028	1	Lashi
³⁴³	³⁴³	t	U+00b3 U+2074 U+00b3	1	Maru
³²³	³²³	t	U+00b3 U+00b2 U+00b3	1	Lashi
aŋ	a ŋ	n c	U+0061 U+0020 U+014b	98	Hpun,Maru,Bola,Achang,Lashi,Atsi
ɔɂ	ɔ ɂ	n c	U+0254 U+0020 U+0242	65	Bola,Maru,Lashi,Achang,Atsi
am	a m	n c	U+0061 U+0020 U+006d	50	Lashi,Bola,Maru,Atsi,Achang
oɂ	o ɂ	n c	U+006f U+0020 U+0242	43	Achang,Hpun,Lashi,Maru
uŋ	u ŋ	n c	U+0075 U+0020 U+014b	36	Maru,Lashi,Achang,Atsi
uɂ	u ɂ	n c	U+0075 U+0020 U+0242	31	Maru,Lashi,Achang,Hpun,Atsi
oŋ	o ŋ	n c	U+006f U+0020 U+014b	31	Maru,Bola,Achang,Lashi
an	a n	n c	U+0061 U+0020 U+006e	24	Bola,Maru,Atsi,Achang
ok	o k	n c	U+006f U+0020 U+006b	21	Hpun,Achang,Maru,Lashi
ạŋ	ạ ŋ	n c	U+1ea1 U+0020 U+014b	20	Bola,Lashi,Maru,Achang,Atsi
aɂ	a ɂ	n c	U+0061 U+0020 U+0242	19	Maru,Lashi,Achang,Atsi,Bola,Hpun
uk	u k	n c	U+0075 U+0020 U+006b	19	Lashi,Maru,Achang
auŋ	au ŋ	n c	U+0061 U+0075 U+0020 U+014b	19	Hpun,Bola,Maru
ap	a p	n c	U+0061 U+0020 U+0070	17	Bola,Atsi,Maru,Achang
ɪn	ɪ n	n c	U+026a U+0020 U+006e	17	Lashi,Atsi,Maru
it	i t	n c	U+0069 U+0020 U+0074	15	Lashi,Atsi,Maru
at	a t	n c	U+0061 U+0020 U+0074	15	Hpun,Maru,Atsi,Achang
eɂ	e ɂ	n c	U+0065 U+0020 U+0242	15	Bola,Hpun,Lashi,Maru
iɂ	i ɂ	n c	U+0069 U+0020 U+0242	13	Bola,Achang,Lashi,Maru,Hpun
ạm	ạ m	n c	U+1ea1 U+0020 U+006d	13	Bola,Achang,Atsi,Maru
ɔŋ	ɔ ŋ	n c	U+0254 U+0020 U+014b	13	Maru,Atsi,Hpun
əŋ	ə ŋ	n c	U+0259 U+0020 U+014b	13	Lashi
um	u m	n c	U+0075 U+0020 U+006d	13	Maru,Atsi
aiɂ	ai ɂ	n c	U+0061 U+0069 U+0020 U+0242	12	Achang,Hpun
ạp	ạ p	n c	U+1ea1 U+0020 U+0070	12	Bola,Achang,Maru,Atsi
æm	æ m	n c	U+00e6 U+0020 U+006d	12	Lashi
aiŋ	ai ŋ	n c	U+0061 U+0069 U+0020 U+014b	11	Hpun
æp	æ p	n c	U+00e6 U+0020 U+0070	10	Atsi,Maru,Achang,Lashi
ɛm	ɛ m	n c	U+025b U+0020 U+006d	10	Lashi
ak	a k	n c	U+0061 U+0020 U+006b	10	Bola,Maru
ɔ̣ɂ	ɔ̣ ɂ	n c	U+0254 U+0323 U+0020 U+0242	10	Atsi,Maru,Achang,Lashi
ɔm	ɔ m	n c	U+0254 U+0020 U+006d	9	Atsi,Achang
ɛn	ɛ n	n c	U+025b U+0020 U+006e	9	Lashi,Atsi,Maru,Achang
auɂ	au ɂ	n c	U+0061 U+0075 U+0020 U+0242	9	Lashi,Achang,Maru,Bola
eŋ	e ŋ	n c	U+0065 U+0020 U+014b	9	Hpun,Atsi,Lashi,Achang
ọk	ọ k	n c	U+1ecd U+0020 U+006b	8	Lashi,Maru
ɛt	ɛ t	n c	U+025b U+0020 U+0074	8	Bola,Lashi,Achang
ɛɂ	ɛ ɂ	n c	U+025b U+0020 U+0242	8	Hpun,Lashi,Achang,Maru
ək	ə k	n c	U+0259 U+0020 U+006b	7	Lashi
ọɂ	ọ ɂ	n c	U+1ecd U+0020 U+0242	7	Lashi,Maru
ət	ə t	n c	U+0259 U+0020 U+0074	7	Atsi,Maru
iŋ	i ŋ	n c	U+0069 U+0020 U+014b	7	Maru,Atsi
ɔt	ɔ t	n c	U+0254 U+0020 U+0074	7	Achang,Atsi
ain	ai n	n c	U+0061 U+0069 U+0020 U+006e	7	Achang,Lashi
æuŋ	æu ŋ	n c	U+00e6 U+0075 U+0020 U+014b	6	Achang,Maru
æ̣p	æ̣ p	n c	U+00e6 U+0323 U+0020 U+0070	6	Bola,Lashi
ɔ̃∼ɂ	ɔ̃ ∼ɂ	n c	U+0254 U+0303 U+0020 U+223c U+0242	6	Lashi
oiɂ	oi ɂ	n c	U+006f U+0069 U+0020 U+0242	6	Lashi
ʊɂ	ʊ ɂ	n c	U+028a U+0020 U+0242	6	Hpun
ãɪ∼	ãɪ ∼	n c	U+00e3 U+026a U+0020 U+223c	6	Lashi
ʊn	ʊ n	n c	U+028a U+0020 U+006e	5	Maru,Hpun,Atsi
ɔ̃∼	ɔ̃ ∼	n c	U+0254 U+0303 U+0020 U+223c	5	Achang,Lashi
ʊt	ʊ t	n c	U+028a U+0020 U+0074	5	Atsi
ɪk	ɪ k	n c	U+026a U+0020 U+006b	5	Atsi
en	e n	n c	U+0065 U+0020 U+006e	5	Achang,Maru,Lashi
ạn	ạ n	n c	U+1ea1 U+0020 U+006e	5	Bola,Maru,Achang,Atsi
ạịɂ	ạị ɂ	n c	U+1ea1 U+1ecb U+0020 U+0242	5	Lashi,Achang,Maru
ụk	ụ k	n c	U+1ee5 U+0020 U+006b	5	Achang
ụɂ	ụ ɂ	n c	U+1ee5 U+0020 U+0242	5	Achang,Atsi
ạɂ	ạ ɂ	n c	U+1ea1 U+0020 U+0242	5	Lashi,Bola
ʊ̣t	ʊ̣ t	n c	U+028a U+0323 U+0020 U+0074	5	Atsi
æuɂ	æu ɂ	n c	U+00e6 U+0075 U+0020 U+0242	4	Maru
ɪt	ɪ t	n c	U+026a U+0020 U+0074	4	Atsi
aŋk	a ŋk	n c	U+0061 U+0020 U+014b U+006b	4	Achang,Maru,Lashi
ịɂ	ị ɂ	n c	U+1ecb U+0020 U+0242	4	Achang,Maru
ʊp	ʊ p	n c	U+028a U+0020 U+0070	4	Atsi
aun	au n	n c	U+0061 U+0075 U+0020 U+006e	4	Bola,Maru
ọịɂ	ọị ɂ	n c	U+1ecd U+1ecb U+0020 U+0242	4	Lashi
ũ∼	ũ ∼	n c	U+0169 U+0020 U+223c	4	Lashi
ụŋ	ụ ŋ	n c	U+1ee5 U+0020 U+014b	4	Bola,Atsi
ạk	ạ k	n c	U+1ea1 U+0020 U+006b	4	Bola,Maru
ɔp	ɔ p	n c	U+0254 U+0020 U+0070	4	Atsi,Achang
auk	au k	n c	U+0061 U+0075 U+0020 U+006b	4	Lashi,Maru
un	u n	n c	U+0075 U+0020 U+006e	4	Achang,Atsi
ait	ai t	n c	U+0061 U+0069 U+0020 U+0074	4	Lashi,Maru
