Button_number	Mann_number	Nishi_Number	Mann_meaning	Achang	Zaiwa	Lashi	Maru	Bela	Phon
	001a	175	sky	mau³⁴	mau³	mau³	moɂ³⁵	mau⁵²	mu³¹
	001b		sky	kʰoŋ³²	kʰuŋ⁵³	kʰoŋ³¹	gauŋ⁵¹		
	002a		sun	pui³¹	bui³	be⁵¹	ba³¹	pui³	
4	003a	216	moon	lạ⁵	lə⁴	la⁵	lọ⁴³	lẹ²³	la³¹
	003b		moon	mụ⁵	mɔ⁴	mɔ⁵³		mə⁵²	
	004a		star	gi²	kị⁵³	kị⁵³	gi⁵²	kị³	
	005a		cloud	dʒə³²	dum⁴²	dʒɛ⁵³	dʒạm³¹	tsạm³	
	006a	31	mist		ŋạn⁵³	ŋãɪ³	ŋɪn⁴²		
	006b		mist	dʒue⁴⁵			tʃʰe⁴³		
46	007a	70	rain			wɔ⁵¹			waɂ⁵⁵
	008a		rainbow	sai³⁵		səŋ⁴³	saŋk⁵³		sə
	008b		rainbow	jaŋ⁵³	βʷɔɂ³²	jɔɂ³¹	ja⁴¹		jʊŋ
	008c		rainbow	kan²	gan²		gen⁴		
	009a		lightning		lạp⁴	læ̣p⁵³			
	010a		thunder		gum⁵³	guɛm³			
	011a	352	shadow	jæt²¹	vʊp³	jø̣p³			
	011b		shadow			paŋ⁵³	baɂ²¹		
31	012a		night	njɛn³⁵	mjɪn³⁴	mjēŋ⁵	mị⁵	mjan²³	meɪ³¹
40	013a	229	day	njei⁴⁵	ni⁴⁵	njē⁵	na³¹	neɂ⁵²	ni³¹
	014a		morning	nap³	nap³	næp³²	nɛɂ³²	ne²³	
	014b		morning		gjɔ⁴	gjot⁵²	ga³¹	kaŋ³	
	015a		noon	kuŋ⁵¹	guŋ⁵³	goŋ⁵¹	gau³¹	kạ̄⁵²	
	016a		yesterday			jɪn⁵³	jɛɂ²³	jə²³	
	016b		yesterday		ɂə³	ɂai²⁵	ɂa³²	ɂaŋ³	
	017a		tomorrow	jɔ³¹		jɔ⁴²			
	017b		tomorrow		ma³		mɔ³⁵	ma²³	
	018a		year	dzan⁴²	dzan⁵¹	tsain⁴	dzɪn³¹		
	019a		east	bui⁴²	ba³¹	bø⁵³	ba³¹	pui³	
	019b		east	tʰuɂ⁵⁴	tʰɔɂ⁵	tʰuɂ⁵²	tʰuk⁵	tʰau⁵²	
	020a		west	waŋ³¹	waŋ³¹	waŋ³¹	wa³²	wãŋ³	
	021a		north	dzọŋ³²		tsọŋ³²		tsaŋ³	
	022a		south	tị³²		bi³²		pi³	
	023a	67	water	dʒei⁴²					cʰi⁵⁵
	023b		water		ɂʊ̣t⁵	ge⁵¹	ɣit⁴	ɣi³	
	024a		river	laŋ³²	laŋ³¹	lạŋ³¹		laŋ⁵²	
	025a		sea		baŋ³	baŋ²³	baŋ³		
	025b		sea		lai³¹	lai³²	lai³²		
	026a		earth, soil	dzɔ⁴⁵	dzɛ³¹	dʒoŋ⁵¹		tsai²³	
	026b	57	earth, soil		mit⁵	mjẹ⁵³	miɂ³	mi³	mji⁵⁵
	027a		mud	tʰɔm⁵		tʰøm⁵	tʰam³²		
	027b		mud	bɔp⁴³	bɔ³	bøp²¹	bap³²		
	028a		dust	pʰə⁵	pʰui²	pʰə⁵	bət³		
	028b		dust	lạụ⁵¹	lau⁵³	lau⁵¹			
82	029a		stone	luk³	luɂ³	lok³	lau⁴³	lauɂ²³	loɂ³¹
	030a		sand	si⁵	su³⁵				
	030b		sand	ʃɔ³¹		tʃʰo³¹	tʃʰö³¹	ʃa³	ʃe
	030c		sand		mui⁵²	mjẹ⁴³	ma³²		mu
	031a		lime(betel)	ʃə⁴³	tʃʰɔ³²	ʃo⁵³			
	031b		lime(betel)	hui⁵	hui³	hẹi⁴²			
	032a		gold	xjen³	hɯŋ⁵³	ʃəŋ⁵²	xaŋ⁴²	xaŋ³	ʃaiŋ⁵⁵
	033a	66	silver	ŋui⁴²	ŋun³¹	ŋ⁵²	ŋoi⁴²	nui³	
	034a		iron	tʰjɛɂ⁴²	dɔɂ⁵	dɔɂ⁵²	tọɂ⁵⁴	tạɂ⁵²	
	034b		iron			dʒɔɂ³	dʒoɂ³²		
	034c	30	iron		ʃam⁵⁴				se⁵⁵
	035a		mountain	buɔm³¹	bum³¹	bɛm⁵¹	bam³¹	pam²³	
	036a		cave	luk³²	lʊp³	loɂ³⁴	lauk³²		
	036b		cave	kʰjuŋ³²	kʰjuŋ⁵³				
	036c		cave			ɂoɂ⁵³	ɂạụk⁵		
	037a		forest			gjɛm⁵³	dʒam⁴		
	037b		forest	kʰjam⁴¹		kʰau³²			
	037c		forest				tʰa⁴		
84	038a	289	tree	saiɂ⁵	sɪk⁵	sək⁵⁴	sak⁵	sak⁵²	ʃaiɂ³¹
	038b		tree		gam⁵³	gam³¹	ge⁴¹	kʰi³	
	039a		branch	kɔ̣³¹	kɔɂ⁵⁴	goŋ³	gɔŋ³¹		kʰo³¹
	040a		bark	kụk⁵⁴	kụɂ⁵	gok⁵³	kạụɂ⁵⁴		kʰue⁵⁵
	041a	161	thorn	dzu³⁴	dzu³¹	dzu⁴	dzau⁴		sʰu³¹
	042a	338	root	njɛt³²	mɪt⁴³				mjaiɂ³¹
	042b		root			gi²	gi²	ki⁵²	
	043a		leaf	huɂ⁵	haɂ⁵	foɂ⁵³	foɂ⁵	faɂ⁵²	
	044a	152	flower	pan³⁴	ban³²	bain⁴	pẹn⁴	pje⁵²	pɛ³¹
80	045a	134	fruit	ʃi⁵	ʃi³¹	ʃi⁴	ʃi⁴³		ʃi³¹
	046a		seed	ɂa³²		ɂa³	ɂa³	ɂa	ɂa
	046b	220	seed	dʒei⁵⁴	dʒi⁴		dʒit⁴⁵		
	046c		seed		ʃɪ³	ʃi⁵			si³¹
	047a		grass	mạn²⁵	mjɔɂ³¹	mjɔɂ²	mjoɂ²⁴	mẹ²³	mjoɂ³¹
35	048a	198	bamboo	wu³⁴	wa³¹	wɔ³	vo⁴		wa³¹
	049a		bamboo shoot	njiɂ⁴	nik³²	mjuk³	mạk⁴²		maiɂ³¹
	050a	50	mushroom	mau³¹	mai³	mau³¹	mok⁴³		mu⁵⁵
	051a		rattan	gjɛn⁴²	gam⁵³	gjɛm⁵¹	ɣam⁵¹		
	052a		kapok		lə²	la³²	lə²		
	052b		kapok		ban⁵³	bæm³¹	pẹ⁴²		
	053a		sugar cane	pʰɨŋ⁵	pʰuŋ³	pʰəŋ⁴⁵	pʰauŋ⁴		pjo
	053b		sugar cane	tʃʰau³	tʃʰui⁵³	tʃʰau³¹	tʃʰuk⁵⁴		ʃu⁵⁵
	054a		betel nut	tʃʰa³		tʃʰa⁵⁴			
	055a		opium		pʰɛn³				
	056a		liquor	jei³	ɂi⁵	jēŋ⁴	ɂịɂ⁵⁴		
	057a		banana	ŋɔɂ³	ŋɔ⁴⁵	ŋɔ³	ŋoɂ³		ŋuɂ³¹
	057b		banana	njụk³⁵	mjuɂ⁵³	mjok⁵⁴	mjæuɂ³²		
	058a		papaya	saŋ³	seŋ⁴	saŋ⁵⁴	saŋ⁵²		
	058b		papaya	pʰɔ³	pʰɔ⁵⁴	pʰɔɂ³	pʰɔ⁵²		
	061a		coconut	ɂun³¹	ɂʊn⁵³		ɂʊn⁴²		ɂʊn³¹
	062a		eggplant	kʰə³	kʰət⁵	kʰə⁵	kʰət³		
	062b		eggplant	lạm⁵	lam⁵⁴	læm⁵	le⁴		ɹɛ³¹
	063a		peanut	mjɛ³	mi³	mjeŋ³²	mi²³	me³	
	063b		peanut		nuɂ³⁵	nok³²		nak⁵²	
	063c		peanut	bɛ⁵					
	064a	109	ginger	tʃʰaŋ⁵	tʃʰaŋ³¹	tʃʰaŋ⁵⁴	tʃʰa³	tʃʰaŋ²³	ʃo³¹
	064b		ginger			gɔɂ⁵²	kọɂ⁵⁴		kə
	065a		garlic	hu⁵	hu³	hø⁵	hau³		
	065b		garlic	son³	sʊn⁵⁴	soin⁴²		saun²³	ʃwe³¹
	065c		garlic		pʰju⁵¹	pʰju²¹	pʰju⁵¹		pʰju⁵⁵
	066a		red pepper	la³		la²			
	066b		red pepper		pʰjik⁵		pʰjak⁵		
	067a		corn	la³	lum⁴	la²			
	067b		corn	mi⁵		mɯ̃⁵²			
	068a		paddy rice	guk³	guɂ³²	kọk⁵³	gauk³²		koɂ⁵⁵
	069a		cooked rice	wɔm³		wøm²			
	069b		cooked rice		dzaŋ³¹		dzo³¹		
	070a		rice husk	pʰə³			pʰӧi³²		pʰu
	070b		rice husk			kọk⁵⁴			koɂ⁵⁵
	070c		rice husk	san³	tʃʰɪŋ⁵³	sɨ⁵			ʃeɂ
	071a	97	salt	tsʰɔ⁵	tsʰɔ³¹	tsʰo⁵	tsʰo⁴³	tʰa²³	sʰa³¹
	072a		animal	gau³⁴		kau²			
	072b		animal	njæ̣ụɂ⁵²		njauk⁵³			
	073a		tiger	dʒɔ³		dzə⁴³			
	073b		tiger	lu³	lə³²	lo³		la⁵²	la³¹
	073c		tiger				kʰa²		kə
	073d		tiger		mɔ³		mjaŋ³²		
29	074a	81	bear	wɔm³¹	vam³¹	wuɂ³⁴	we⁴¹		we⁵⁵
	075a	258	deer	tsʰat⁵³	tsʰə³	tsạịɂ⁵¹			chi⁵⁵
	076a		monkey	lai³⁴	lə³	la³			
	076b	336	monkey	njuk⁴²	mjuɂ³²	mjok³²	mjæuɂ³¹	mjauɂ⁵²	mjaiŋ⁵⁵
	077a		gibbon		nɔɂ³²	nɔ̃ɂ³¹			
	079a	21	porcupine	tjụ³	bju⁵³	bju³	pjụ⁵²		pʰjuɂ⁵⁵
	080a		rat	gjuɂ⁴²		gɛn³²	ɣok³²	ɣo²³	
	080b		rat		ŋɔ³	nɔ̃ɂ³		naɂ⁵²	
37	081a	108	dog	kʰui⁴⁵	kʰui³¹	kʰue³²	kʰa²	kʰui²³	kʰui³¹
	081b		dog			la⁵³	lə		
	082a		bark2		kʰui³²				kʰue⁵⁵
	082b		bark2	dʒjæp⁴²		gjæp³	ɣeɂ³		
	083a		bite	ŋat³¹	ŋat³²	ŋait³	na³²		
	085a	359	pig	wuɂ⁴²	waɂ³¹	wuɂ³	vɔɂ³²	vʷa⁵²	wʊɂ³¹
	086a	185	cow	nju³	nɔ³	nũ³	noŋ⁴	nau⁵²	nu³¹
	086b		cow		dʒuŋ⁵³		dʒauŋ⁵¹		
	087a	230	milk	nau⁵	nau³	nau⁴	noŋ³	nau²³	nu³¹
	088a		buffalo	lui⁴	lui³¹	li³	lӧi³	lui⁵²	li³¹
	089a	19	buffalo horn	kʰjæu³	kʰjui⁵³	kʰjau³²³	kʰjoɂ⁵²	kʰju³	
	090a		tail	ljạŋk⁵³		jạŋk⁵³			
59	090b	180	tail		mi³¹	me³	mị⁴³	mi⁵²	mi³¹
	090c		tail		ʃɔ⁴³		ʃɪ⁴	sʰa²³	
	091a	10	elephant	tsʰaŋ³		tsʰaŋ²	tsʰa⁵³		
	092a	48	elephant tusk	dzui³¹	dzui³¹	dzi⁵² (tusk)/tsɨ̣⁵²(tooth)	dzӧi³¹	tui³	sʰui⁵⁵
	093a	299	bird	ŋɔ̣ɂ⁵²	ŋɔ̣ɂ⁵⁴	ŋɔ̣ɂ⁵²	ŋɔ̣ɂ⁵⁴	ŋạɂ⁵²	ŋa³¹
	094a		bird nest	suat⁵⁴	sʊt⁵	soiɂ⁵³	sait⁵⁴		ʃaɂ³¹
	095a	43	wing	duŋ³¹	duŋ³¹	doŋ⁵¹	dauŋ⁴¹		tɔŋ⁵⁵
