ID	DOCULECT	LANGUAGE_IS	CONCEPT	CONCEPT_ID	CONCEPTICON_ID	IPA	COGID_IS	PARTIAL_IDS	TOKENS	COGID	ALIGNMENT
617	Maru		abdomen	139	1251	duk³²	139b	210	d u k ³²	212	d u - k ³²
618	Achang		abdomen	139	1251	wom³+dau³	139a 139b	211 210	w o m ³ + d a u ³	211	w o - m ³ + d a u - ³
619	Lashi		abdomen	139	1251	wɛm³+dau³²	139a 139b	211 210	w ɛ m ³ + d a u ³²	211	w ɛ - m ³ + d a u - ³²
620	Atsi		abdomen	139	1251	βʷam³+dau³¹	139a 139b	211 210	βʷ a m ³ + d a u ³¹	211	βʷ a - m ³ + d a u - ³¹
621	Bola		abdomen	139	1251	xuĩ³+tau⁵²	139a 139b	211 210	x u ĩ ∼ ³ + t a u ⁵²	211	x u ĩ ∼ ³ + t a u - ⁵²
1141	Maru		afraid	259	1419	gjæuɂ⁴³	259a	389	g j æ u ʔ ⁴³	400	g j æ u ʔ ⁴³
1142	Achang		afraid	259	1419	gjuk⁴²	259a	389	g j u k ⁴²	400	g j u - k ⁴²
1143	Lashi		afraid	259	1419	gjok³²	259a	389	g j o k ³²	400	g j o - k ³²
1144	Atsi		afraid	259	1419	gjuɂ³²	259a	389	g j u ʔ ³²	400	g j u - ʔ ³²
1479	Achang		all	335	98	ŋan⁵	335a	488	ŋ a n ⁵	501	ŋ a - n ⁵
1480	Lashi		all	335	98	ŋãɪ²⁴	335a	488	ŋ ã ɪ ²⁴	501	ŋ ã ɪ - ²⁴
1145	Maru		angry	260	1826	nạk⁵⁴+jo³⁵	260a 260b	390 391	n a̰ k ⁵⁴ + j o ³⁵	401	n a̰ - k ⁵⁴ + j o ³⁵
1146	Achang		angry	260	1826	nạị⁵³+jɔ̣³²	260a 260b	390 391	n a̰ i ⁵³ + j ɔ̰ ³²	401	n a̰ i - ⁵³ + j ɔ̰ ³²
1147	Lashi		angry	260	1826	nək³²+jɔ²¹	260a 260b	390 391	n ə k ³² + j ɔ ²¹	401	n ə - k ³² + j ɔ ²¹
1148	Atsi		angry	260	1826	nɪk⁵+jɔ⁵¹	260a 260b	390 391	n ɪ k ⁵ + j ɔ ⁵¹	401	n ɪ - k ⁵ + j ɔ ⁵¹
1149	Bola		angry	260	1826	nạk⁵²+ja⁵²	260a 260b	390 391	n a̰ k ⁵² + j a ⁵²	401	n a̰ - k ⁵² + j a ⁵²
320	Achang		animal	072	619	gau³⁴+njæ̣ụɂ⁵²	072a 072b	113 114	g a u ³⁴ + n j æ̰ u ʔ ⁵²	116	g a u ³⁴ + n j æ̰ u ʔ ⁵²
321	Lashi		animal	072	619	kau²+njauk⁵³	072a 072b	113 114	k a u ² + n j a u k ⁵³	116	k a u ² + n j a u k ⁵³
1099	Maru		answer	248	1275	duk⁵+da⁴³	248a 248b	370 371	d u k ⁵ + d a ⁴³	384	d u - k ⁵ + d a - ⁴³
1100	Achang		answer	248	1275	pʰuk⁵³	248c	372	pʰ u k ⁵³	385	pʰ u k ⁵³
1101	Lashi		answer	248	1275	duɛm³²+deɂ³²	248a 248b	370 371	d u ɛ m ³² + d e ʔ ³²	384	d u ɛ m ³² + d e ʔ ³²
