Grapheme	Segments	Structure	Unicode	Frequency	Reflexes
⁵⁵	⁵⁵	t	U+2075 U+2075	796	Atsi,Maru,Lashi,Bola,Achang,Xiandao
³¹	³¹	t	U+00b3 U+00b9	518	Atsi,Lashi,Bola,Achang,Xiandao,Maru
³⁵	³⁵	t	U+00b3 U+2075	230	Lashi,Achang,Xiandao,Maru,Bola
²¹	²¹	t	U+00b2 U+00b9	150	Atsi
⁵¹	⁵¹	t	U+2075 U+00b9	88	Xiandao,Atsi
³³	³³	t	U+00b3 U+00b3	84	Lashi
⁵³	⁵³	t	U+2075 U+00b3	19	Maru,Lashi
aŋ	a ŋ	n c	U+0061 U+0020 U+014b	75	Xiandao,Maru,Lashi,Bola,Atsi,Achang
ɔɂ	ɔ ʔ	n c	U+0254 U+0020 U+0242	62	Bola,Lashi,Achang,Xiandao,Maru
am	a m	n c	U+0061 U+0020 U+006d	50	Maru,Bola,Lashi,Xiandao,Achang,Atsi
oɂ	o ʔ	n c	U+006f U+0020 U+0242	45	Maru,Xiandao,Achang,Atsi
ap	a p	n c	U+0061 U+0020 U+0070	42	Lashi,Bola,Maru,Atsi,Achang,Xiandao
uk	u k	n c	U+0075 U+0020 U+006b	36	Lashi,Maru
uɂ	u ʔ	n c	U+0075 U+0020 U+0242	36	Maru,Lashi,Achang,Xiandao,Atsi
ɔ̃	ɔ̃ ∼	n c	U+0254 U+0303 U+0020 U+223c	34	Bola,Maru
aɂ	a ʔ	n c	U+0061 U+0020 U+0242	31	Maru,Achang,Atsi,Bola
ɛ̃	ɛ̃ ∼	n c	U+025b U+0303 U+0020 U+223c	30	Bola,Maru
at	a t	n c	U+0061 U+0020 U+0074	27	Lashi,Xiandao,Atsi,Maru,Achang
uŋ	u ŋ	n c	U+0075 U+0020 U+014b	26	Maru,Lashi,Bola,Achang,Xiandao,Atsi
ut	u t	n c	U+0075 U+0020 U+0074	25	Achang,Atsi,Xiandao
ik	i k	n c	U+0069 U+0020 U+006b	22	Bola,Atsi,Maru
ɛɂ	ɛ ʔ	n c	U+025b U+0020 U+0242	20	Xiandao,Bola,Maru
iŋ	i ŋ	n c	U+0069 U+0020 U+014b	20	Lashi,Maru,Achang,Xiandao,Atsi
əŋ	ə ŋ	n c	U+0259 U+0020 U+014b	20	Atsi,Maru,Lashi,Achang
um	u m	n c	U+0075 U+0020 U+006d	18	Atsi,Achang,Maru,Xiandao
auɂ	a u ʔ	n nn c	U+0061 U+0075 U+0020 U+0242	16	Achang,Bola
auŋ	a u ŋ	n nn c	U+0061 U+0075 U+0020 U+014b	15	Bola,Maru
un	u n	n c	U+0075 U+0020 U+006e	15	Achang,Xiandao,Atsi
auk	a u k	n nn c	U+0061 U+0075 U+0020 U+006b	14	Maru
ạŋ	a̰ ŋ	n c	U+1ea1 U+0020 U+014b	14	Lashi,Atsi,Bola,Maru
ɛ̣̣ɂ	ɛ̰ ʔ	n c	U+025b U+0323 U+0323 U+0020 U+0242	12	Bola,Maru
ak	a k	n c	U+0061 U+0020 U+006b	12	Achang,Xiandao,Maru,Bola
ạp	a̰ p	n c	U+1ea1 U+0020 U+0070	12	Maru,Bola,Lashi,Atsi
an	a n	n c	U+0061 U+0020 U+006e	12	Lashi,Atsi,Maru,Achang,Xiandao
ɔt	ɔ t	n c	U+0254 U+0020 U+0074	12	Xiandao,Bola
ɔŋ	ɔ ŋ	n c	U+0254 U+0020 U+014b	12	Lashi,Xiandao,Achang
ɛt	ɛ t	n c	U+025b U+0020 U+0074	11	Bola,Maru,Xiandao
ɔm	ɔ m	n c	U+0254 U+0020 U+006d	11	Achang,Lashi
it	i t	n c	U+0069 U+0020 U+0074	11	Xiandao,Achang,Atsi
ɔ:ɂ	ɔ: ʔ	n c	U+0254 U+003a U+0020 U+0242	10	Lashi
ɔn	ɔ n	n c	U+0254 U+0020 U+006e	9	Lashi,Bola
a:ŋ	a: ŋ	n c	U+0061 U+003a U+0020 U+014b	8	Lashi
up	u p	n c	U+0075 U+0020 U+0070	8	Achang,Xiandao,Atsi
oŋ	o ŋ	n c	U+006f U+0020 U+014b	8	Atsi,Achang,Xiandao
ạt	a̰ t	n c	U+1ea1 U+0020 U+0074	7	Atsi,Lashi,Maru
ot	o t	n c	U+006f U+0020 U+0074	7	Xiandao,Achang
ạm	a̰ m	n c	U+1ea1 U+0020 U+006d	7	Bola,Maru,Atsi,Lashi
u:t	u: t	n c	U+0075 U+003a U+0020 U+0074	7	Lashi
in	i n	n c	U+0069 U+0020 U+006e	7	Achang,Maru,Xiandao,Atsi
ə:ŋ	ə: ŋ	n c	U+0259 U+003a U+0020 U+014b	6	Lashi
ɤŋ	ɤ ŋ	n c	U+0264 U+0020 U+014b	6	Xiandao
ɯŋ	ɯ ŋ	n c	U+026f U+0020 U+014b	5	Xiandao
ụt	ṵ t	n c	U+1ee5 U+0020 U+0074	5	Atsi
ɔ̣ɂ	ɔ̰ ɂ	n c	U+0254 U+0323 U+0020 U+0242	5	Bola,Lashi,Maru
iɂ	i ɂ	n c	U+0069 U+0020 U+0242	5	Xiandao,Achang
u:n	u: n	n c	U+0075 U+003a U+0020 U+006e	5	Lashi
ɔ̣t	ɔ̰ t	n c	U+0254 U+0323 U+0020 U+0074	5	Lashi,Bola
ạk	a̰ k	n c	U+1ea1 U+0020 U+006b	5	Bola,Lashi,Maru
op	o p	n c	U+006f U+0020 U+0070	5	Atsi,Xiandao,Achang
u:k	u: k	n c	U+0075 U+003a U+0020 U+006b	5	Lashi
ɔp	ɔ p	n c	U+0254 U+0020 U+0070	5	Maru,Achang,Xiandao
ụŋ	ṵ ŋ	n c	U+1ee5 U+0020 U+014b	4	Lashi,Atsi,Bola
øɂ	ø ʔ	n c	U+00f8 U+0020 U+0242	4	Bola,Maru
ụm	ṵ m	n c	U+1ee5 U+0020 U+006d	4	Atsi,Maru
i:t	i: t	n c	U+0069 U+003a U+0020 U+0074	4	Lashi
ə̣:ŋ	ə̰: ŋ	n c	U+0259 U+0323 U+003a U+0020 U+014b	4	Lashi
et	e t	n c	U+0065 U+0020 U+0074	4	Achang
om	o m	n c	U+006f U+0020 U+006d	4	Atsi,Xiandao
ọ̣ɂ	o̰ ɂ	n c	U+1ecd U+0323 U+0020 U+0242	4	Lashi,Maru,Atsi
ịk	ḭ k	n c	U+1ecb U+0020 U+006b	4	Atsi,Maru
eɂ	e ʔ	n c	U+0065 U+0020 U+0242	4	Atsi,Achang
u:p	u: p	n c	U+0075 U+003a U+0020 U+0070	4	Lashi
ụk	ṵ k	n c	U+1ee5 U+0020 U+006b	4	Maru
ạn	a̰ n	n c	U+1ea1 U+0020 U+006e	3	Atsi,Lashi,Maru
ɔ̣̃	ɔ̰̃ ∼	n c	U+0254 U+0323 U+0303 U+0020 U+223c	3	Bola,Maru
ək	ə k	n c	U+0259 U+0020 U+006b	3	Maru,Achang
ạ:p	a̰: p	n c	U+1ea1 U+003a U+0020 U+0070	3	Lashi
u:ŋ	u: ŋ	n c	U+0075 U+003a U+0020 U+014b	3	Lashi
ụ:p	ṵ: p	n c	U+1ee5 U+003a U+0020 U+0070	3	Lashi
ə:k	ə: k	n c	U+0259 U+003a U+0020 U+006b	3	Lashi
ụ:t	ṵ: t	n c	U+1ee5 U+003a U+0020 U+0074	3	Lashi
ɛn	ɛ n	n c	U+025b U+0020 U+006e	3	Lashi,Xiandao
ɔ̣n	ɔ̰ n	n c	U+0254 U+0323 U+0020 U+006e	3	Bola
ɔ:ŋ	ɔ: ŋ	n c	U+0254 U+003a U+0020 U+014b	3	Lashi
ɯk	ɯ k	n c	U+026f U+0020 U+006b	3	Xiandao
ɤk	ɤ k	n c	U+0264 U+0020 U+006b	2	Xiandao
a:t	a: t	n c	U+0061 U+003a U+0020 U+0074	2	Lashi
ụp	ṵ p	n c	U+1ee5 U+0020 U+0070	2	Atsi
ɛ̱ʔ	ɛ̰ ʔ	n c	U+025b U+0331 U+0020 U+0294	2	Bola,Maru
a:p	a: p	n c	U+0061 U+003a U+0020 U+0070	2	Lashi
ạuŋ̣̃	a̰ u ŋ	n nn c	U+1ea1 U+0075 U+0020 U+014b U+0323 U+0303	2	Bola,Maru
ụ:n	ṵ: n	n c	U+1ee5 U+003a U+0020 U+006e	2	Lashi
u:m	u: m	n c	U+0075 U+003a U+0020 U+006d	2	Lashi
ɔ̣̣n	ɔ̰ n	n c	U+0254 U+0323 U+0323 U+0020 U+006e	2	Bola
ọɂ	o̰ ʔ	n c	U+1ecd U+0020 U+0242	2	Atsi
ɛ̣̣t	ɛ̰ t	n c	U+025b U+0323 U+0323 U+0020 U+0074	2	Lashi
ạɂ	a̰ ʔ	n c	U+1ea1 U+0020 U+0242	2	Bola
