	Mann number	Nishi Number	WB	OB	Reconstruction	Nishi meaning	Nishi Achang	Nishi Achang source	Nishi Xiandao	Nishi Xiandao source	Nishi Zaiwa/Atsi	Nishi Zaiwa/Atsi source	Nishi Leqi/Lashi	Nishi Leqi/Lashi source	Nishi Langsu/Maru	Nishi Langsu/Maru source	Nishi Bola	Nishi Bola source
		1	phā			to patch	phɔ⁵⁵	Sun1991	phɔ⁵⁵	Sun1991	pho⁵¹	Sun1991	phɔ:³³	Sun1991			pha⁵⁵	Sun1991
		2	phā			to tinker (pans)	phɔ⁵⁵	Sun1991	phɔ⁵⁵	Sun1991	pho⁵¹	Sun1991	phɔ:³³	Sun1991			pha⁵⁵	Sun1991
	363a	3		phlū		white	phʐɔ⁵⁵	Sun1991	phʐu⁵⁵	Sun1991	phju⁵¹	Sun1991	phju:³³	Sun1991	phju³¹	Sun1991	phju⁵⁵	Sun1991
	345a	4	thū			thick					thu⁵¹	Sun1991	tʰu:³³	Sun1991	thau³¹	Sun1991	thu⁵⁵	Sun1991
		5	thwā			span thumb to out stretched middle finger	tho⁵⁵	Sun1991	tho⁵⁵	Sun1991	tho⁵¹	Sun1991	thọ³³	Sun1991	thu³¹	Sun1991	thɔ⁵⁵	Sun1991
		6	chan			rice	tshen⁵⁵	Sun1991	tshɛn⁵⁵	Sun1991	tʃhin⁵¹	Sun1991	tʃhɛn³³	Sun1991	tʃhin³¹	Sun1991	tʃhɔn⁵⁵	Sun1991
	347a	7	chū			fat  (pig)	tɕho⁵⁵	Sun1991			tshu⁵¹	Sun1991	tshu:³³	Sun1991	tshau³¹	Sun1991	tshu⁵⁵	Sun1991
	331a	8	chay			ten	tɕhe⁵⁵	Sun1991	-tshi⁵⁵	Sun1991	tshe⁵¹	Sun1991	-tshe³³	Sun1991	tshɛ³¹	Sun1991	-thai⁵⁵	Sun1991
	122a	9	chaṁ-			hair					tsham⁵¹	Sun1991	tsham³³	Sun1991	tshɛ̃³¹	Sun1991	tshɛ̃⁵⁵	Sun1991
	091a	10	chaṅ			elephant	tɕhaŋ⁵⁵	Sun1991	chaŋ⁵⁵	Sun1991			tshaŋ³³	Sun1991	tshɛ̃³¹	Sun1991	tshɔ̃⁵⁵	Sun1991
		11				inside	-xau⁵⁵	Sun1991	-xau⁵⁵	Sun1991	-khau⁵¹	Sun1991	-khou³³	Sun1991	-khuk³¹	Sun1991	-khau⁵⁵	Sun1991
		12	khap			fetch/draw(water)	xam⁵⁵	Sun1991			kham⁵¹	Sun1991			khɛ̃³¹	Sun1991	khɛ̃⁵⁵	Sun1991
		13	khye			(barking) deer			tshi⁵⁵	Sun1991	-tʃhi⁵¹	Sun1991			-tʃhik⁵⁵	Sun1991	-tʃhi⁵⁵	Sun1991
	374a	14	khyui			sweet					tʃhui³¹	Sun1991	tʃha:u³³	Sun1991	tʃhuk³¹	Sun1991	-tʃhu⁵⁵	Sun1991
	375a	15		khyan		sour			tshɛn⁵⁵	Sun1991	tʃịn⁵¹	Sun1991	tʃị:n³³	Sun1991	tʃị:ŋ³¹	Sun1991	tʃɔ̣n⁵⁵	Sun1991
		16	khywan			pare/peel with					tʃhun⁵¹	Sun1991	tʃhu:n³³	Sun1991	tʃhum³¹	Sun1991	tʃhɔn⁵⁵	Sun1991
		17				radish	-tɕhi⁵⁵	Sun1991	-chi⁵⁵	Sun1991	-khji⁵¹	Sun1991	-khjei³³	Sun1991	-khjik³¹	Sun1991	-khji⁵⁵	Sun1991
	157a	18	khre			foot	tɕhi⁵⁵	Sun1991	chi⁵⁵	Sun1991	khji⁵¹	Sun1991	khjei³³	Sun1991	khjik³¹	Sun1991	khji⁵⁵	Sun1991
	089a	19	khyui		kr-	horns	khʐau⁵⁵	Sun1991	-khʐau⁵⁵	Sun1991	khjui⁵¹	Sun1991	khjou³³	Sun1991	khjuk³¹	Sun1991	khju⁵⁵	Sun1991
		20	khraṁ			garden (plot)	khʐam⁵⁵	Sun1991	khʐam⁵⁵	Sun1991	khjam⁵¹	Sun1991	khjam³³	Sun1991	khjɛ̃³¹	Sun1991	khjɛ̃⁵⁵	Sun1991
	079a	21	phrū			porcupine	phʐɔ⁵⁵	Sun1991			pjụ⁵¹	Sun1991	-pjụ³³	Sun1991	pjụ³¹	Sun1991	pju⁵⁵	Sun1991
		22	twan		ɂtw	to crow (cocks)	thun⁵⁵	Sun1991	thun⁵⁵	Sun1991	pjụ⁵¹	Sun1991	tụ:n³³	Sun1991	tụm³¹	Sun1991	tɔ̣n⁵⁵	Sun1991
		23	-khre			gall bladder	-tɕhi³⁵	Sun1991	-chi³⁵	Sun1991	-kjị⁵¹	Sun1991	kjẹi⁵⁵	Sun1991	kjịk³¹	Sun1991	kjị⁵⁵	Sun1991
	114a	24	khraṅ			mosquito			-khʐaŋ⁵⁵	Sun1991	kjạŋ⁵¹	Sun1991	kjạŋ³³	Sun1991	kjɔ̣̃³¹	Sun1991	kjɔ̣̃⁵⁵	Sun1991
	186a	25	ɂim			house	in⁵⁵	Sun1991	in⁵⁵	Sun1991	jụm⁵¹	Sun1991	jɔ̣m³³	Sun1991	jạm³¹	Sun1991	jạm⁵⁵	Sun1991
		26	ɂū			intestine	-u⁵⁵	Sun1991	-u⁵⁵	Sun1991	u⁵¹	Sun1991	ụ³³	Sun1991	ạu³¹	Sun1991	u⁵⁵	Sun1991
		27	ɂoṅ			win	ɔŋ⁵⁵	Sun1991	uŋ⁵⁵	Sun1991	uŋ⁵¹	Sun1991	ɔ:ŋ³³	Sun1991	auŋ³¹	Sun1991	auŋ⁵⁵	Sun1991
86	269a	28	se			die	ʂï⁵⁵	Sun1991	ʂï⁵⁵	Sun1991	ʃi⁵¹	Sun1991	ʃe:i³³	Sun1991	ʃik³¹	Sun1991	ʃï⁵⁵	Sun1991
		29				pull, drag; inhale	ʂa⁵⁵	Sun1991	ʂa⁵⁵	Sun1991	ʃe⁵¹	Sun1991	ʃɛ̣:³³	Sun1991	ʃɛ³¹	Sun1991	ʃɛ⁵⁵	Sun1991
	034c	30	saṁ			iron	ʂam⁵⁵	Sun1991	ʂam⁵⁵	Sun1991	ʃam⁵¹	Sun1991			ʃɛ̃³¹-	Sun1991	ʃɛ̃⁵⁵-	Sun1991
	006a	31	nhaṅḥ			frost, mist	ŋ̊an⁵⁵	Sun1991	ŋ̊an⁵⁵	Sun1991	ŋạn⁵¹	Sun1991	ŋạn³³	Sun1991	ŋạŋ³¹	Sun1991	ŋɛ̣̃⁵⁵	Sun1991
	332a	32		ryā	ɂry-	hundred					ʃo⁵¹	Sun1991	ʃọ³³	Sun1991	ʃɔ³¹	Sun1991	ja⁵⁵	Sun1991
		33	rhā			search					xo⁵¹	Sun1991	ʃɔ:̣³³	Sun1991	xɔ³¹	Sun1991	xa⁵⁵	Sun1991
	341a	34	rhañ			long	səŋ⁵⁵	Sun1991	sɤŋ⁵⁵	Sun1991	xiŋ⁵¹	Sun1991	ʃẹ:ŋ³³	Sun1991	xaŋ³¹	Sun1991	xaŋ⁵⁵	Sun1991
		35	phyaṁ		sram|pram	otter	sam⁵⁵	Sun1991			xam⁵¹	Sun1991	ʃạm³³	Sun1991	xɛ̃³¹	Sun1991	xɛ̃⁵⁵	Sun1991
	185a	36	lhe			boat	xə⁵⁵	Sun1991	xɤ⁵⁵	Sun1991	lại⁵¹	Sun1991			lạ³¹	Sun1991	lị⁵⁵	Sun1991
57		37	lhyā			tongue	ɕɔ⁵⁵	Sun1991	çɔ⁵⁵	Sun1991	ʃo⁵¹	Sun1991	jọ³³	Sun1991	ʃɔ³¹	Sun1991	ʃa⁵⁵	Sun1991
		38				be, have	pɔ⁵⁵	Sun1991	pɔ³¹	Sun1991	po⁵¹	Sun1991	pɔ:³¹	Sun1991	po³¹	Sun1991	pa⁵⁵	Sun1991
		39	puṁ			moutain; heap	pum⁵⁵	Sun1991	pum⁵⁵	Sun1991	pum⁵¹	Sun1991	pɔm³¹	Sun1991	pam³¹	Sun1991	pam⁵⁵	Sun1991
