# Wordlist

# DATA
ID	CHECK_SEGMENTS	CLUSTERFORMAT	CLUSTERID	CONCEPT	CONCEPT_KEY	DOCULECT	IPA	MORPHEMES	OB_ATTESTED	OLD_BURMESE	ORIGINAL_CONCEPT	ORIGINAL_ENTRY	ORIGINAL_TAXNAME	PCOGSETS	PROSTRING	TOKENS	METAGLOSS
#
1	! @lingulist	1 1	3	all	1286	Achang_Longchuan	pʐa⁵⁵pʐa⁵⁵	pʐ a ⁵⁵ + pʐ a ⁵⁵	?	?	all 1	pʐa⁵⁵ pʐa⁵⁵  | 0962.28 | 0963.28	Achang (Longchuan) TBL	1 1	CCVTCCVT	p ʐ a ⁵⁵ ◦ p ʐ a ⁵⁵	all
2	! @lingulist	1 1	3	all	1286	Achang_Longchuan	pʐa³¹pʐa³¹	pʐ a ³¹ + pʐ a ³¹	?	?	all 1	pʐa³¹ pʐa³¹  | 999.41	Achang (Longchuan) ZMYYC	1 1	CCVTCCVT	p ʐ a ³¹ ◦ p ʐ a ³¹	all
3	! @lingulist	2 3 0	1	all	1286	Atsi	pan²¹ʃoʔ⁵⁵	p a n ²¹ + ʃ o ʔ ⁵⁵	?	?	all 1	pan²¹ ʃoʔ⁵⁵  | 0963.30	Atsi [Zaiwa] TBL	2 3	CVcTCVcT	p a n ²¹ ◦ ʃ o ʔ ⁵⁵	all
4	! @lingulist	2 3 0	1	all	1286	Bola	pɛ̃⁵⁵ʃaʔ⁵⁵	p ɛ̃ ⁵⁵ + ʃ a ʔ ⁵⁵	?	?	all 1	pɛ̃⁵⁵ ʃaʔ⁵⁵  | 0963.32	Bola (Luxi) TBL	2 3	CVVTCVcT	p ɛ̃ ∼ ⁵⁵ ◦ ʃ a ʔ ⁵⁵	all
5	! @lingulist	2 3 0	1	all	1286	Maru	pəŋ³¹ʃɔʔ⁵⁵	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵	?	?	all 1	pəŋ³¹ ʃɔʔ⁵⁵   | 0962.31 | 0963.31	Langsu (Luxi) TBL	2 3	CVcTCVcT	p ə ŋ ³¹ ◦ ʃ ɔ ʔ ⁵⁵	all
6	! @lingulist	2 3 0	1	all	1286	Lashi	pan³¹ʃɔ̱ʔ⁵⁵	p a n ³¹ + ʃ ɔ̱ ʔ ⁵⁵	?	?	all 1	pan³¹ ʃɔ̱ʔ⁵⁵  | 0962.33  | 0963.33	Leqi (Luxi) TBL	2 3	CVcTCVcT	p a n ³¹ ◦ ʃ ɔ̱ ʔ ⁵⁵	all
7	! @lingulist	0 3 4	1	all	1286	Atsi	lu̱ŋ⁵⁵la̱ŋ⁵⁵	l u̱ ŋ ⁵⁵ + l a̱ ŋ ⁵⁵	?	?	all 2	lu̱ŋ⁵⁵ la̱ŋ⁵⁵  | 0962.30	Atsi [Zaiwa] TBL	3 4	CVcTCVcT	l u̱ ŋ ⁵⁵ ◦ l a̱ ŋ ⁵⁵	all
8	! @nh36	5 6 0	4	all	1286	Bola	a³¹la̱p⁵⁵	a ³¹ + l a̱ p ⁵⁵	?	?	all 2	a³¹ la̱p⁵⁵  | 0962.32	Bola (Luxi) TBL	5 6	VTCVcT	a ³¹ ◦ l a̱ p ⁵⁵	all
9	! @nh36	5 0 7	4	all	1286	Burmese_ZMYYC	a³luṁ³	a ³ + l u ṁ ³	?	?	all 2	a³ luṁ³  | 999.39	Burmese (Written) ZMYYC	5 7	VTCVcT	a ³ ◦ l u ṁ ³	all
10	! @nh36	8 8	2	all	1286	Achang_Lianghe	kɯŋ⁵⁵kɯŋ⁵⁵	k ɯ ŋ ⁵⁵ + k ɯ ŋ ⁵⁵	?	?	all 3	kɯŋ⁵⁵ kɯŋ⁵⁵  | 213.44	Achang (Lianghe) JZ-Achang	8 8	CVcTCVcT	k ɯ ŋ ⁵⁵ ◦ k ɯ ŋ ⁵⁵	all
11	! @nh36	8 8	2	all	1286	Achang_Luxi	kəŋ⁵⁵kəŋ⁵¹	k ə ŋ ⁵⁵ + k ə ŋ ⁵¹	?	?	all 3	kəŋ⁵⁵ kəŋ⁵¹  | 1534.31	Achang (Luxi) JZ-Achang	8 8	CVcTCVcT	k ə ŋ ⁵⁵ ◦ k ə ŋ ⁵¹	all
12	! @nh36	0 3 0	1	all	1286	Maru	lɔ̱̃⁵⁵	l ɔ̱̃ ⁵⁵	?	?	all 3	lɔ̱̃⁵⁵  | 999.43	Maru [Langsu] ZMYYC	3	CVVT	l ɔ̱̃ ∼ ⁵⁵	all
13	! @nh36	9	5	all	1286	Xiandao	chot⁵⁵	c h o t ⁵⁵	?	?	all 4	chot⁵⁵  | 0962.29 | 0963.29	Achang (Xiandao) TBL	9	CVcT	ch o t ⁵⁵	all
14	! @nh36	9	5	all	1286	Atsi	tʃa̱t⁵⁵	tʃ a̱ t ⁵⁵	?	?	all 4	tʃa̱t⁵⁵  | 999.42	Atsi [Zaiwa] ZMYYC	9	CVcT	tʃ a̱ t ⁵⁵	all
#
4096	! @nh36	1 2	761	baby shit	477	Lashi	khje:⁵⁵nɔ:ʔ³¹	kʰ j e: ⁵⁵ + n ɔ: ʔ ³¹	?	?	meconium / baby shit	khje:⁵⁵ nɔ:ʔ³¹  | 9.12.2	Lashi DQ-Lashi	1 2	CCVTCVcT	kh j eː ⁵⁵ ◦ n ɔː ʔ ³¹	to shit
4097	! @nh36	1 2	761	baby shit	477	Maru	khjik⁵⁵nɔʔ³¹	kʰ j i k ⁵⁵ + n ɔ ʔ ³¹	?	?	meconium / baby shit	khjik⁵⁵ nɔʔ³¹  | 9.12.2	Maru [Langsu] DQ-Langsu	1 2	CCVcTCVcT	kh j i k ⁵⁵ ◦ n ɔ ʔ ³¹	to shit
#
46	! @nh36	1	8	bad	1478	Achang_Lianghe	kɑŋ³¹	k ɑ ŋ ³¹	?	?	bad	kɑŋ³¹  | 158.39	Achang (Lianghe) JZ-Achang	1	CVcT	k ɑ ŋ ³¹	bad
47	! @nh36	0 2	9	bad	1478	Achang_Longchuan	tɕa⁵⁵	tɕ a ⁵⁵	?	?	bad	tɕa⁵⁵  | 1053.28	Achang (Longchuan) TBL	2	CVT	tɕ a ⁵⁵	bad
48	! @nh36	1	8	bad	1478	Achang_Luxi	kaŋ⁵¹	k a ŋ ⁵¹	?	?	bad	kaŋ⁵¹  | 304.2	Achang (Luxi) JZ-Achang	1	CVcT	k a ŋ ⁵¹	bad
49	? @nh36	3 2	9	bad	1478	Xiandao	n³¹cɛ⁵⁵	n ³¹ + c ɛ ⁵⁵	?	?	bad	n³¹ cɛ⁵⁵  | 1053.29	Achang (Xiandao) TBL	3 2	CTCVT	n ³¹ c ɛ ⁵⁵	bad
50	! @nh36	4	10	bad	1478	Atsi	then²¹	tʰ e n ²¹	?	?	bad	then²¹  | 1053.30	Atsi [Zaiwa] TBL	4	CVcT	th e n ²¹	bad
51	! @nh36	5 6	11	bad	1478	Bola	a³¹kai⁵⁵	a ³¹ + k a i ⁵⁵	?	?	bad	a³¹ kai⁵⁵  | 1053.32	Bola (Luxi) TBL	5 6	VTCVT	a ³¹ ◦ k ai ⁵⁵	bad
52	1 @nh36	7	12	bad	1478	Burmese_ZMYYC	cho³	c h o ³	?	?	bad	cho³  | 861.39	Burmese (Written) ZMYYC	7	CVT	ch o ³	bad
53	! @nh36	8	14	bad	1478	Maru	kɔi³⁵	k ɔ i ³⁵	?	?	bad	kɔi³⁵  | 1053.31	Langsu (Luxi) TBL	8	CVT	k ɔi ³⁵	bad
54	! @nh36	9	13	bad	1478	Lashi	pjɔːʔ³¹	p j ɔː ʔ ³¹	?	?	bad	pjɔːʔ³¹  | 1053.33	Leqi (Luxi) TBL	9	CCVcT	p j ɔː ʔ ³¹	bad
55	! @nh36	1	8	bad	1478	Hpun	măkɔ̀ŋ	?	?	?	bad (= 'not good')	măkɔ̀ŋ  | 0217.23	Hpun (Northern) EJAH-Hpun	1	CVCVc	m ă ◦ k ɔ̀ ŋ	bad
241	! @nh36	1 2	52	bad	1477	Hpun	măkɔ̀ŋ	m ă + k ɔ̀ ŋ	?	?	bad (= 'not good')	măkɔ̀ŋ  | 0217.23	Hpun (Northern) EJAH-Hpun	1 2	CVCVc	m ă ◦ k ɔ̀ ŋ	good
#
577	! @nh36	1	105	be on the other side	1898	Achang_Longchuan	xuaŋ³¹	x u a ŋ ³¹	?	?	be on the other side (of a riv v.	xuaŋ³¹  | 1343.28	Achang (Longchuan) TBL	1	CVcT	x ua ŋ ³¹	other
578	! @nh36	1	105	be on the other side	1898	Xiandao	xɔŋ³¹	x ɔ ŋ ³¹	?	?	be on the other side (of a riv v.	xɔŋ³¹  | 1343.29	Achang (Xiandao) TBL	1	CVcT	x ɔ ŋ ³¹	other
579	! @nh36	2	104	be on the other side	1898	Atsi	kjo̱⁵¹	k j o̱ ⁵¹	?	?	be on the other side (of a riv v.	kjo̱⁵¹  | 1343.30	Atsi [Zaiwa] TBL	2	CCVT	k j o̱ ⁵¹	other
580	! @nh36	2	104	be on the other side	1898	Bola	kja̱⁵⁵	k j a̱ ⁵⁵	?	?	be on the other side (of a riv v.	kja̱⁵⁵  | 1343.32	Bola (Luxi) TBL	2	CCVT	k j a̱ ⁵⁵	other
581	! @nh36	2	104	be on the other side	1898	Maru	kjɔ̱³¹	k j ɔ̱ ³¹	?	?	be on the other side (of a riv v.	kjɔ̱³¹  | 1343.31	Langsu (Luxi) TBL	2	CCVT	k j ɔ̱ ³¹	other
582	! @nh36	2	104	be on the other side	1898	Lashi	kjɔ̱ː³³	k j ɔ̱ː ³³	?	?	be on the other side (of a riv v.	kjɔ̱ː³³  | 1343.33	Leqi (Luxi) TBL	2	CCVT	k j ɔ̱ː ³³	other
#
56	! @nh36	1 0 0	15	big	1241	Achang_Lianghe	kɯ³¹	k ɯ ³¹	?	?	big	kɯ³¹  | 0964.29	Achang (Lianghe) JZ-Achang	1	CVT	k ɯ ³¹	big
57	! @nh36	1 0 0	15	big	1241	Achang_Longchuan	kʐə³¹	kʐ ə ³¹	?	?	big	kʐə³¹  | 0964.28	Achang (Longchuan) TBL	1	CCVT	k ʐ ə ³¹	big
58	! @nh36	1 0 0	15	big	1241	Achang_Luxi	kɯ⁵¹	k ɯ ⁵¹	?	?	big	kɯ⁵¹  | 163	Achang (Luxi) JZ-Achang	1	CVT	k ɯ ⁵¹	big
59	! @nh36	1 0 0	15	big	1241	Xiandao	kɯ³¹	k ɯ ³¹	?	?	big	kɯ³¹  | 0964.29	Achang (Xiandao) TBL	1	CVT	k ɯ ³¹	big
60	! @nh36	1 0 0	15	big	1241	Atsi	ko̱²¹	k o̱ ²¹	?	?	big	ko̱²¹  | 0964.30	Atsi [Zaiwa] TBL	1	CVT	k o̱ ²¹	big
61	! @nh36	1 0 0	15	big	1241	Bola	kɔ̱³⁵	k ɔ̱ ³⁵	?	?	big	kɔ̱³⁵  | 0964.32	Bola (Luxi) TBL	1	CVT	k ɔ̱ ³⁵	big
62	? @nh36	1 0 0	15	big	1241	Burmese_ZMYYC	krīḥ	k r i ³	?	krīḥ	big	kri³  | 800.39	Burmese (Written) ZMYYC	1	CCVT	k r ī ḥ	big
63	! @nh36	1 0 0	15	big	1241	Hpun	chèʼ	c h èʼ	?	?	big	chèʼ, chì, chè-ŋ  | 24	Hpun (Northern) EJAH-Hpun	1	CVc	ch è ʔ	big
64	! @nh36	1 0 0	15	big	1241	Hpun	chì	c h ì	?	?	big	chèʼ, chì, chè-ŋ  | 24	Hpun (Northern) EJAH-Hpun	1	CV	ch ì	big
65	! @nh36	1 0 0	15	big	1241	Hpun	chè-ŋ	c h è ŋ	?	?	big	chèʼ, chì, chè-ŋ  | 24	Hpun (Northern) EJAH-Hpun	1	CVc	ch è ŋ	big
66	! @nh36	1 0 0	15	big	1241	Maru	ɣə³⁵	ɣ ə ³⁵	?	?	big	ɣə³⁵  | 0964.31	Langsu (Luxi) TBL	1	CVT	ɣ ə ³⁵	big
67	! @nh36	1 0 0	15	big	1241	Lashi	kjiː³³	k j iː ³³	?	?	big	kjiː³³  | 0964.33	Leqi (Luxi) TBL	1	CCVT	k j iː ³³	big
68	! @nh36	1 0 0	15	big	1241	Maru	yī	y ī	?	?	big	yī  | 240	Maru [Langsu] JO-PB	1	CV	y ī	big
#
70	! @nh36	1	16	bitter	1388	Achang_Lianghe	khɑ³¹	kʰ ɑ ³¹	?	?	bitter	khɑ³¹  | 0476.26	Achang (Lianghe) JZ-Achang	1	CVT	kh ɑ ³¹	bitter
71	! @nh36	1	16	bitter	1388	Achang_Longchuan	xɔ³¹	x ɔ ³¹	?	?	bitter	xɔ³¹  | 1074.28	Achang (Longchuan) TBL	1	CVT	x ɔ ³¹	bitter
72	! @nh36	1	16	bitter	1388	Achang_Luxi	kha⁵⁵	kʰ a ⁵⁵	?	?	bitter	kha⁵⁵  | 688.29	Achang (Luxi) JZ-Achang	1	CVT	kh a ⁵⁵	bitter
73	! @nh36	1	16	bitter	1388	Xiandao	xɔ³¹	x ɔ ³¹	?	?	bitter	xɔ³¹  | 1074.29	Achang (Xiandao) TBL	1	CVT	x ɔ ³¹	bitter
74	! @nh36	1	16	bitter	1388	Atsi	kho²¹	kʰ o ²¹	?	?	bitter	kho²¹  | 1074.30	Atsi [Zaiwa] TBL	1	CVT	kh o ²¹	bitter
75	! @nh36	1	16	bitter	1388	Bola	kha³⁵	kʰ a ³⁵	?	?	bitter	kha³⁵  | 1074.32	Bola (Luxi) TBL	1	CVT	kh a ³⁵	bitter
76	? @nh36	1	16	bitter	1388	Burmese_ZMYYC	khāḥ	kʰ ā ḥ	?	khāḥ	bitter	khāḥ	Burmese (Written) ZMYYC	1	CVT	kh ā ḥ	bitter
77	! @nh36	1	16	bitter	1388	Hpun	khà	kʰ à	?	?	bitter	khà, khà-ŋ  | 311	Hpun (Northern) EJAH-Hpun	1	CV	kh à	bitter
