# Wordlist

# DATA
ID	DOCULECT	CHECK_SEGMENTS	CLUSTERFORMAT	CLUSTERID	CONCEPT	CONCEPT_KEY	IPA	METAGLOSS	MORPHEMES	OB_ATTESTED	OLD_BURMESE	ORIGINAL_CONCEPT	ORIGINAL_ENTRY	ORIGINAL_TAXNAME	PCOGSETS	PROSTRING	TOKENS
#
10	Achang_Lianghe	! @nh36	8 8	2	all	1286	kɯŋ⁵⁵kɯŋ⁵⁵	all	k ɯ ŋ ⁵⁵ + k ɯ ŋ ⁵⁵	?	?	all 3	kɯŋ⁵⁵ kɯŋ⁵⁵  | 213.44	Achang (Lianghe) JZ-Achang	8 8	CVcTCVcT	k ɯ ŋ ⁵⁵ ◦ k ɯ ŋ ⁵⁵
1	Achang_Longchuan	! @lingulist	1 1	3	all	1286	pʐa⁵⁵pʐa⁵⁵	all	pʐ a ⁵⁵ + pʐ a ⁵⁵	?	?	all 1	pʐa⁵⁵ pʐa⁵⁵  | 0962.28 | 0963.28	Achang (Longchuan) TBL	1 1	CCVTCCVT	p ʐ a ⁵⁵ ◦ p ʐ a ⁵⁵
2	Achang_Longchuan_B	! @lingulist	1 1	3	all	1286	pʐa³¹pʐa³¹	all	pʐ a ³¹ + pʐ a ³¹	?	?	all 1	pʐa³¹ pʐa³¹  | 999.41	Achang (Longchuan) ZMYYC	1 1	CCVTCCVT	p ʐ a ³¹ ◦ p ʐ a ³¹
11	Achang_Luxi	! @nh36	8 8	2	all	1286	kəŋ⁵⁵kəŋ⁵¹	all	k ə ŋ ⁵⁵ + k ə ŋ ⁵¹	?	?	all 3	kəŋ⁵⁵ kəŋ⁵¹  | 1534.31	Achang (Luxi) JZ-Achang	8 8	CVcTCVcT	k ə ŋ ⁵⁵ ◦ k ə ŋ ⁵¹
3	Atsi	! @lingulist	2 3 0	1	all	1286	pan²¹ʃoʔ⁵⁵	all	p a n ²¹ + ʃ o ʔ ⁵⁵	?	?	all 1	pan²¹ ʃoʔ⁵⁵  | 0963.30	Atsi [Zaiwa] TBL	2 3	CVcTCVcT	p a n ²¹ ◦ ʃ o ʔ ⁵⁵
7	Atsi	! @lingulist	0 3 4	1	all	1286	lu̱ŋ⁵⁵la̱ŋ⁵⁵	all	l u̱ ŋ ⁵⁵ + l a̱ ŋ ⁵⁵	?	?	all 2	lu̱ŋ⁵⁵ la̱ŋ⁵⁵  | 0962.30	Atsi [Zaiwa] TBL	3 4	CVcTCVcT	l u̱ ŋ ⁵⁵ ◦ l a̱ ŋ ⁵⁵
14	Atsi_B	! @nh36	9	5	all	1286	tʃa̱t⁵⁵	all	tʃ a̱ t ⁵⁵	?	?	all 4	tʃa̱t⁵⁵  | 999.42	Atsi [Zaiwa] ZMYYC	9	CVcT	tʃ a̱ t ⁵⁵
4	Bola	! @lingulist	2 3 0	1	all	1286	pɛ̃⁵⁵ʃaʔ⁵⁵	all	p ɛ̃ ⁵⁵ + ʃ a ʔ ⁵⁵	?	?	all 1	pɛ̃⁵⁵ ʃaʔ⁵⁵  | 0963.32	Bola (Luxi) TBL	2 3	CVVTCVcT	p ɛ̃ ∼ ⁵⁵ ◦ ʃ a ʔ ⁵⁵
8	Bola	! @nh36	5 6 0	4	all	1286	a³¹la̱p⁵⁵	all	a ³¹ + l a̱ p ⁵⁵	?	?	all 2	a³¹ la̱p⁵⁵  | 0962.32	Bola (Luxi) TBL	5 6	VTCVcT	a ³¹ ◦ l a̱ p ⁵⁵
