NUMBER	FGLOSS	GLOSS	COVERAGE
1	all	all	12
2	bad	bad	11
3	be on the other side	be on other side	6
4	big	big	13
5	bitter	bitter	12
6	black	black	12
7	blunt	blunt	11
8	boiled water	boiled water	7
9	burn the grass	burn grass	7
10	cold	cold	9
11	dirty	dirty	12
12	do not have	do not have	7
13	dry	dry	13
14	eight	eight	12
15	far	far	12
16	fat	fat	13
17	few	few	15
18	five	five	12
19	four	four	12
20	full	full	15
21	good	good	12
22	green	green	12
23	heavy	heavy	12
24	here	here	14
25	how many?	how many?	14
26	how?	how?	7
27	hundred	hundred	15
28	ill	ill	11
29	itchy	itchy	7
30	left	left	15
31	left over	left over	8
32	light	light	9
33	light (in weight)	light (in weight)	7
34	long	long	15
35	long (classifier)	long (classifier)	9
36	many	many	15
37	narrow	narrow	12
38	near	near	14
39	new	new	14
40	nine	nine	12
41	old (person)	old (person)	15
42	old (thing)	old (thing)	15
43	one	one	15
44	one pair (classifier)	one pair (classifier)	7
45	red	red	15
46	right	right	8
47	right (correct)	right (correct)	14
48	right (side)	right (side)	10
49	river (classifier)	river (classifier)	7
50	rope (classifier)	rope (classifier)	7
51	round	round	9
52	section of road (classifier)	section of road (classifier)	7
53	seven	seven	15
54	sharp	sharp	12
55	short	short	15
56	six	six	16
57	small	small	12
58	smooth	smooth	11
59	soft	soft	12
60	some	some	6
61	sour	sour	12
62	straight	straight	13
63	sweet	sweet	13
64	tall	tall	13
65	ten	ten	15
66	ten cents (classifier)	ten cents (classifier)	7
67	that	that	15
68	that way	that way	7
69	the ant	ant	12
70	the arm	arm	13
71	the arrow	arrow	13
72	the ash	ash	7
73	the back	back	13
74	the back side	back side	16
75	the bamboo	bamboo	12
76	the bamboo section	bamboo section	7
77	the bamboo shoot	bamboo shoot	9
78	the banana tree	banana tree	10
79	the bean	bean	7
80	the bear	bear	11
81	the bee	bee	8
82	the belly	belly	12
83	the bird	bird	13
84	the blood	blood	15
85	the boat	boat	12
86	the bone	bone	15
87	the bow (for arrow)	bow (for arrow)	12
88	the brain	brain	16
89	the branch	branch	12
90	the breast	breast	17
91	the breath	breath	7
92	the child (young human)	child (young human)	11
93	the claw	claw	13
94	the cloud	cloud	12
95	the cooked rice	cooked rice	15
96	the day	day	15
97	the dog	dog	13
98	the dove	dove	9
99	the dream	dream	7
100	the dust	dust	8
101	the ear	ear	21
102	the egg	egg	13
103	the eye	eye	18
104	the father	father	14
105	the feather	feather	11
106	the field	field	12
107	the finger	finger	11
108	the fingernail	fingernail	12
109	the fire	fire	12
110	the fish	fish	14
111	the flower	flower	12
112	the fog	fog	12
113	the foot	foot	16
114	the forest	forest	6
115	the frog	frog	12
116	the fruit	fruit	12
117	the fungus	fungus	7
118	the glutinous rice	glutinous rice	7
119	the grass	grass	14
120	the hair	hair	13
121	the hair or fur or down	hair or fur or down	15
122	the hand	hand	17
123	the head	head	19
124	the head hair	head hair	14
125	the heart	heart	22
126	the horn	horn	14
127	the horse	horse	12
128	the house	house	12
129	the husband	husband	12
130	the ice	ice	11
131	the insect	insect	12
132	the iron	iron	10
133	the joint	joint	8
134	the knee	knee	16
135	the lake	lake	9
136	the last year	last year	9
137	the leaf	leaf	13
138	the leech	leech	16
139	the leg	leg	9
140	the life	life	9
141	the life span	life span	7
142	the little finger	little finger	12
143	the liver	liver	21
144	the louse	louse	14
145	the man	man	15
146	the meat	meat	14
147	the medicine	medicine	15
148	the middle finger	middle finger	8
149	the milk	milk	19
150	the monkey	monkey	12
151	the moon	moon	13
152	the mortar (bowl)	mortar (bowl)	12
153	the mother	mother	14
154	the mountain	mountain	15
155	the mountain side	mountain side	6
156	the mouth	mouth	15
157	the mushroom	mushroom	12
158	the nail	nail	12
159	the nail (tool)	nail (tool)	12
