WHERE	FROM	TO	WEIGHT	NOTE
c	ʔ	-		
c	k	ʔ		
c	k	ts		only in Old Burmese (Wolfenden's law)
c	t	t		
c	t	ʔ		
c	p	p		
c	p	ʔ		
c	ŋ	ŋ		
c	ŋ	∼		
c	ŋ	nʲ		only in Old Burmese (Wolfenden's law)
c	n	n		
c	n	∼		
c	m	m		
c	m	∼		
c	∼	-		
c	j	-		
c	w	w		
c	ʈ	-		
i	k	k		
i	k	tʃ		
i	kʰ	kʰ		
i	kʰ	tʃʰ		
i	kʰ	x		
i	ŋ	ŋ		
i	ŋ	ŋ̊		only if the vowel is tense
i	tʃ	tʃ		
i	tʃ	ts		
i	tʃ	tɕ		
i	tʃʰ	tʃʰ		
i	tʃʰ	tɕʰ		
i	tʃʰ	tsʰ		
i	t	t		
i	tʰ	tʰ		
i	n	n		
i	n	n̥		only if the vowel is tense
i	p	p		
i	m	m		
i	m	m̥		only if the vowel is tense
i	ts	ts		
i	ts	t		
i	ts	s		
i	tsʰ	tsʰ		
i	tsʰ	tʰ		
i	tsʰ	sʰ		
i	l	l		
i	l	r		
i	l	l̥		only if the vowel is tense
i	pʰ	pʰ		
i	j	j		
i	r	j		
i	ʃ	ʃ		
i	ʃ	s		
i	s	s		
i	w	v		
i	tsʰ	tsʰ		
i	tsʰ	cʰ		
i	s	tθ		
i	nʲ	ɲ		
i	s	ʂ		
i	r	ɣ		
i	kʰ	ɣ		
i	w	w		
i	r	ʐ		
i	ʃ	ɕ		
i	x	f		
i	kʰ	x		
i	ts	c		
i	l	l̥		only if the vowel is tense
i	ɲ			
i	r	r		
i	nʲ	n̥ʲ		only if the vowel is tense
i	ŋ	ŋ̊		only if the vowel is tense
i	b			
i	tsʰ	tʰ		
i	ʈʂʰ			
i	ʑ			
i	ç			
i	r	r̥		only if the vowel is tense
i	d			
i	ɲ	ɲ̊		only if the vowel is tense
i	kʰr	xʐ		
i	rj	r		
i	rj	j		
i	rj	rj		
i	tʂ			
i	h	h		
i	l	ɬ		only if the vowel is tense
i	dʑ			
i	g			
i	ʈʂ			
i	ɳ			
i	r̥	x		
i	r	r̥		only if the vowel is tense
i	m	m		
i	l	l		
i	p	p		
i	t	t		
i	ʃ	ʃ		
i	ʃ	ʂ		
i	ʃ	s		
i	mʲ	nʲ		
i	m	m		
i	nʲ	n		
i	mʲ	m		
i	n	n		
i	k	k		
i	k	tɕ		
i	kʰ	kʰ		
i	kʰ	x		
i	kʰ	tɕʰ		
i	kʰ	cʰ		
i	s	s		
i	s	tθ		
i	s	ʂ		
i	x	f		
i	ŋ	ŋ		
i	tʃ	tʃ		
i	tʃ	ts		
i	tʃ	cʰ		
i	ts	t		
i	ts	s		
i	ts	ts		
i	ŋ	ŋ̊		
i	ŋ	ŋ		
i	ŋ̊	n̥		
i	tʰ	tʰ		
i	nʲ	n̥ʲ		
i	n̥ʲ	n̥		
i	nʲ	n		
i	r	ʐ		
i	r	r		
i	r	ɣ		
i	r	j		
i	ɣ	j		
i	ɣ	v		
i	ŋʲ	ŋʲ		
i	ŋʲ	ŋ		
i	ŋʲ	nʲ
i	nʲ	nʲ		
i	nʲ	ɲ		
i	j	j		
i	rj	j		
i	rj	r		
i	v	ɣ		
i	ʃ	ɕ		
i	ʃ	ç		
m	j			
m	r	ʐ		
m	w			
m	r	r		
m	u			
m	l	r		
m	l	l		
m	l	j		
m	i			
M	u			
m	a	ɑ		
m	ɤ			perhaps a mistake for gamma?
M	?			
m	rj	r		
m	rj	j		
m	rj	rj		
n	a			
n	?			seems unlikely that a glottal stop would be a nucleus
n	i			
n	u			
n	a	ɔ		
n	ɔ	ɔ		
n	o			
N	u			
N	i			
n	ɛ			
n	a	ɛ		primarily before dentals
n	e			
n	a	ɑ		
n	a̰	a		with aspiration of the initial
n	ə			
n	ã	ɑ̃		
n	ṵ			
n	ɔ̃	ɔ̃		
n	ã	ɔ̃		
n	ɔ̰	ɔ̰		
n	a̰	ɔ̰		
n	ə̆			
n	ă			
n	ḭ	i		with aspiration of the initial
n	ĩ			
n	ɛ̰	ɛ		with aspiration of the initial
n	u	ʊ		
n	ɛ̃			
n	ŏ			
n	aː			
n	o̰	o		with aspiration of the initial
n	ɿ			
n	ə̰	ə		with aspiration of the initial
n	ɯ			
n	ɔ̆			
n	ɔː			
n	uː			
n	õ			
n	ɛ̰̃			
n	ṵː			
n	əː			
n	ɛː			
n	ḛ			
n	ẽ			
n	ɤ			
n	ø			
n	ɔ̰̃			
n	a̰ː			
n	ĕ			
n	ə̰ː			
n	eː			
n	ũ			
n	n			
n	iː			
n	ɔ̰ː	ɔ̰ː		
n	a̰ː	ɔ̰ː		
n	ḭː			
n	n̩			
N	a			
n	ø̰			
n	ɛ̰ː			
n	a̰	ɑ̰		
n	ɛ̆			
n	ã̆	ɔ̃̆		
n	ɔ̃̆	ɔ̃̆		
n	ɪ̆			
n	ŋ			
n	ø̃			
n	ĭ			
n	ŏ̰			
n	ɪ̃			
n	yː			
t	⁵⁵			
t	³¹			
t	³⁵			
t	²¹			
t	²²			
t	⁵³			
t	³³			
t	⁵¹			
t	⁴			
t	k			probably due to faulty alignments
t	j			probably due to faulty alignments
t	ŋ			probably due to faulty alignments
t	m			probably due to faulty alignments
t	t			probably due to faulty alignments
t	ts			probably due to faulty alignments
t	w			probably due to faulty alignments
	tθ			
	tɕʰ			
	k	ɣ		
	ts	s		
	ts	t		
	s	tθ		
	ʃ	ʂ		
	ʃ	s		
	m	m̥		
	x			
	m̥			
