ID	CONTEXT	Achang_Longchuan	Atsi	Bola	Lashi	Maru	Old_Burmese	Rangoon	Xiandao	FREQUENCY	INFERRED	PROTO	COGNATES
1	i	m	m	m	m	m	m	m	m	24	*m		201, 513, 275, 87, 414, 210, 280, 39, 176, 397, 772, 387, 269, 635, 102, 69, 321, 195, 173, 265, 442, 615, 468, 301
2	i	l	l	l	l	l	l	l	l	18	*l		453, 226, 428, 705, 486, 197, 58, 673, 430, 488, 344, 284, 671, 235, 402, 204, 501, 842
3	i	p	p	p	p	p	p	p	p	16	*p		27, 35, 187, 167, 125, 512, 675, 446, 250, 557, 434, 757, 307, 168, 813, 103
4	i	nʲ	m	m	m	m	m	m	n	2	m		365, 194
5	i	m̥	m	m	m	m	m	m	m̥	2	*m		51, 345
6	i	ʂ	ʃ	ʃ	ʃ	ʃ	s	tθ	ʂ	12	*ʃ		163, 751, 449, 286, 634, 177, 734, 34, 137, 207, 109, 554
7	i	t	t	t	t	t	t	t	t	12	*t		203, 13, 54, 21, 238, 497, 590, 445, 138, 59, 216, 157
8	i	n	n	n	n	n	n	n	n	11	*n		172, 584, 328, 731, 836, 406, 531, 527, 510, 122, 565
9	i	k	k	k	k	k	k	k	k	10	*k		146, 570, 534, 259, 654, 561, 417, 341, 499, 483
10	i	k	k	k	k	k	k	tɕ	k	2	*k		576, 299
11	i	x	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ	x	10	*kʰ		485, 684, 638, 489, 545, 833, 380, 231, 178, 94
12	i	x	kʰ	kʰ	kʰ	kʰ	kʰ	tɕʰ	cʰ	4	*kʰ		811, 612, 403, 385
13	i	ʂ	s	s	s	s	s	tθ	ʂ	10	*s		657, 92, 285, 215, 150, 564, 325, 715, 175, 115
14	i	s	s	s	s	s	s	tθ	s	5	*s		205, 487, 36, 97, 166
15	i	tɕʰ	kʰ	kʰ	kʰ	kʰ	kʰ	tɕʰ	cʰ	2	*kʰ		504, 160
16	i	x	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ	f	2	*kʰ		543, 198
17	i	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	9	*ŋ		503, 613, 614, 549, 75, 471, 578, 153, 156
18	i	n̥	ŋ	ŋ	ŋ	ŋ	n̥	n̥	n̥	3	n̥		432, 573, 219
19	i	ts	ts	t	ts	ts	s	tθ	ts	7	ts		847, 135, 220, 767, 481, 360, 324
20	i	ts	tʃ	tʃ	tʃ	tʃ	Ø	s	cʰ	7	*tʃ		766, 96, 484, 764, 266, 800, 65
21	i	n̥ʲ	n	n	n	n	n̥	n̥	n̥	4	*n		294, 429, 758, 551
22	i	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	7	*tʰ		74, 472, 639, 61, 547, 323, 66
23	i	nʲ	ŋ	ŋ	ŋ	ŋ	nʲ	Ø	ɲ	2	*ŋ		123, 444
24	i	Ø	k	k	k	k	kʰ	tɕʰ	kʰ	2	*k		494, 213
25	i	tɕʰ	ʃ	ʃ	ʃ	ʃ	Ø	s	Ø	2	ʃ		37, 466
26	i	n	ŋ	ŋ	ŋ	ŋ	n	n	-	2	ŋ		526, 23
27	i	tɕ	k	k	k	k	Ø	tɕ	ɕ	2	k		319, 437
28	i	ʐ	v	ɣ	j	ɣ	r	j	ʐ	6	*r		569, 164, 292, 492, 16, 458
29	i	Ø	v	ɣ	k	ɣ	r	j	Ø	2	ɣ		807, 155
30	i	s	x	x	ʃ	x	r̥	ɕ	s	5	*r̥		502, 399, 546, 520, 775
31	i	-	j	j	j	j	-	-	-	5	*j		200, 398, 111, 427, 370
