ID	CONTEXT	Achang_Longchuan	Atsi	Bola	Lashi	Maru	Old_Burmese	Rangoon	Xiandao	FREQUENCY	PROTO
1	i	m	m	m	m	m	m	m	m	24	*m	
2	i	l	l	l	l	l	l	l	l	18	*l	
3	i	p	p	p	p	p	p	p	p	16	*p	
4	i	ʂ	ʃ	ʃ	ʃ	ʃ	s	tθ	ʂ	12	*ʃ	
5	i	m̥	m	m	m	m	m	m	m̥	2	*m	
6	i	nʲ	m	m	m	m	m	m	n	2	m	
7	i	t	t	t	t	t	t	t	t	12	*t	
8	i	n	n	n	n	n	n	n	n	11	*n	
9	i	k	k	k	k	k	k	k	k	10	*k	
10	i	k	k	k	k	k	k	tɕ	k	2	*k	
11	i	x	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ	x	10	*kʰ	
12	i	Ø	kʰ	kʰ	Ø	kʰ	kʰ	tɕʰ	Ø	2	*kʰ	
13	i	x	kʰ	kʰ	kʰ	kʰ	kʰ	tɕʰ	cʰ	2	*kʰ	
14	i	ʂ	s	s	s	s	s	tθ	ʂ	10	s	
15	i	s	s	s	s	s	s	tθ	s	5	*s	
16	i	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	9	*ŋ	
17	i	tɕʰ	kʰ	kʰ	kʰ	kʰ	kʰ	tɕʰ	cʰ	2	*kʰ	
18	i	x	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ	f	2	*kʰ	
19	i	ts	ts	t	ts	ts	s	tθ	ts	7	*ts	
20	i	n̥	ŋ	ŋ	ŋ	ŋ	n̥	n̥	n̥	3	n̥	
21	i	n̥ʲ	n	n	n	n	n̥	n̥	n̥	4	*n	
22	i	ts	tʃ	tʃ	tʃ	tʃ	Ø	s	cʰ	7	*tʃ	
23	i	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	7	*tʰ	
24	i	Ø	k	k	k	k	kʰ	tɕʰ	kʰ	2	k	
25	i	tɕ	k	k	k	k	Ø	tɕ	ɕ	2	k	
26	i	ʐ	v	ɣ	k	ɣ	r	j	ʐ	6	*k	
27	i	Ø	v	ɣ	j	ɣ	r	j	Ø	2	*r	
28	i	nʲ	ŋ	ŋ	ŋ	ŋ	nʲ	Ø	ɲ	2	*ŋ	
29	i	n	ŋ	ŋ	ŋ	ŋ	n	n	-	2	ŋ	
30	i	tɕʰ	ʃ	ʃ	ʃ	ʃ	Ø	s	Ø	2	ʃ	
31	i	s	Ø	t	ts	ts	ts	s	ʂ	2	*ts	
32	i	s	x	x	ʃ	x	r̥	ɕ	s	5	*ʃ	
33	i	pʰ	p	p	p	p	pʰ	pʰ	pʰ	2	pʰ	
34	i	-	j	j	j	j	-	-	-	5	*j	
35	i	-	j	j	j	j	l	j	j	3	*l	
36	i	Ø	p	pʰ	p	pʰ	p	p	Ø	3	p	
37	i	-	v	v	w	v	w	w	-	4	v	
38	i	x	x	Ø	x	x	Ø	Ø	x	4	*x	
39	i	n	ŋ	ŋ	ŋ	n	n	n	Ø	2	n	
40	i	ʑ	j	j	j	j	rj	j	j	2	j	
41	i	ʐ	v	ɣ	w	-	r	Ø	ʐ	2	ʐ	
42	i	v	v	v	v	v	w	w	v	2	*w	
43	i	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	3	*pʰ	
44	i	s	ʃ	Ø	s	ʃ	Ø	Ø	s	2	*ʃ	
45	i	tɕʰ	tsʰ	tʃʰ	tʃʰ	tʃʰ	tsʰ	sʰ	Ø	3	*tʃʰ	
46	i	tɕʰ	tsʰ	tʰ	tsʰ	tsʰ	tsʰ	sʰ	cʰ	2	tsʰ	
47	i	xʐ	x	-	j	ɣ	r	j	xʐ	2	xʐ	
48	i	n	n	n	n	n	nʲ	Ø	n	1	*nʲ	
49	i	m	m	m	m	m	m	m	m̥	1	*m	
50	i	nʲ	ŋ	ŋ	Ø	n	n	n	n	1	*ŋ	
51	i	Ø	ŋ	n	n	n	Ø	Ø	Ø	1	n	
52	i	-	-	ŋ	ŋ	ŋ	-	-	-	1	-	
53	i	ʑ	j	j	j	j	j	j	j	1	j	
54	i	Ø	Ø	Ø	pʰ	pʰ	pʰ	pʰ	p	1	pʰ	
55	i	nʲ	m	m	m	m	m	m	ɲ	1	m	
56	i	ŋ	ŋ	ŋ	-	ŋ	ŋ	ŋ	ŋ	1	ŋ	
57	i	nʲ	m	m	m	m	m	m	nʲ	1	m	
58	i	Ø	Ø	f	f	f	Ø	Ø	Ø	1	*f	
59	i	l	n	n	n	n	n	n	n	1	n	
60	i	Ø	ʃ	s	Ø	s	Ø	Ø	Ø	1	*ʃ	
61	i	l̥	l	l	l	l	Ø	Ø	n	1	l	
62	i	n̥	n	n	n	n	Ø	Ø	Ø	1	*n	
63	i	ʐ	l	l	l	l	l	l	l	1	l	
64	i	k	Ø	Ø	Ø	Ø	kʰ	kʰ	k	1	k	
65	i	l	l	l	l	l	l	l	l̥	1	*l	
66	i	nʲ	Ø	ŋ	ŋ	ŋ	ŋ	ŋ	ɲ	1	*ŋ	
67	i	l̥	l	l	l	l	l̥	ɬ	l	1	*l	
68	i	n	n	n	n	n	n	n	n̥	1	*n	
69	i	l	l	l	l	l	k	tɕ	l	1	l	
70	i	Ø	Ø	tʃ	ts	tʃ	Ø	Ø	Ø	1	*tʃ	
71	i	x	kʰ	tʃʰ	kʰ	kʰ	kʰ	kʰ	x	1	*kʰ	
72	i	Ø	-	-	w	-	Ø	Ø	-	1	-	
73	i	tɕ	ts	t	ts	ts	Ø	Ø	c	1	ts	
74	i	-	v	v	ɣ	v	w	w	-	1	v	
75	i	t	l	t	t	t	t	t	t	1	t	
76	i	Ø	n	s	Ø	s	Ø	Ø	Ø	1	s	
77	i	tsʰ	tʃʰ	tʃʰ	tʃʰ	tʃʰ	Ø	sʰ	tsʰ	1	*tʃʰ	
78	i	m	m	m	m	p	l	l	m	1	m	
79	i	ɕ	ʃ	ʃ	ʃ	ʃ	r̥	ɕ	ç	1	ʃ	
80	i	Ø	t	tʃ	tʃ	tʃ	ts	s	c	1	*tʃ	
81	i	Ø	Ø	t	t	t	Ø	Ø	tʂ	1	t	
82	i	k	k	k	k	ɣ	k	tɕ	k	1	*k	
83	i	ŋ̊	ŋ	ŋ	ŋ	ŋ	n̥	n̥	ŋ̊	1	*ŋ	
84	i	s	s	ʃ	s	ʃ	s	tθ	s	1	*ʃ	
85	i	l̥	l	l	l	l	l	l	l	1	*l	
86	i	m̥	ŋ	ŋ	ŋ	ŋ	ŋ̊	ŋ̊	ŋ̊	1	ŋ	
87	i	k	Ø	ɣ	k	ɣ	k	tɕ	k	1	*k	
88	i	Ø	Ø	tʰ	tsʰ	Ø	Ø	Ø	tsʰ	1	*tsʰ	
89	i	n	m	Ø	m	m	Ø	m	n̥	1	m	
90	i	tɕʰ	ts	ts	ts	ts	tsʰ	sʰ	cʰ	1	ts	
91	i	n	n	n	ŋ	n	Ø	Ø	n	1	n	
92	i	Ø	m	Ø	m	m̥	Ø	m̥	Ø	1	*m	
93	i	t	Ø	Ø	t	t	tʰ	t	t	1	t	
