NUMBER	GLOSS
1	sky
2	sun
3	moon
4	star
5	cloud
6	mist
7	rain
8	rainbow
9	lightning
10	thunder
11	shadow
12	night
13	day
14	morning
15	noon
16	yesterday
17	tomorrow
18	year
19	east
20	west
21	north
22	south
23	water
24	river
25	sea
26	earth or soil
27	mud
28	dust
29	stone
30	sand
31	lime (betel)
32	gold
33	silver
34	iron
35	mountain
36	cave
37	forest
38	tree
39	branch
40	bark
41	thorn
42	root
43	leaf
44	flower
45	fruit
46	seed
47	grass
48	bamboo
49	bamboo shoot
50	mushroom
51	rattan
52	kapok
53	sugar cane
54	betel nut
55	opium
56	liquor
57	banana
58	papaya
59	*mango
60	*jackfruit
61	coconut
62	eggplant
63	peanut
64	ginger
65	garlic
66	red pepper
67	corn
68	paddy rice
69	cooked rice
70	rice husk
71	salt
72	animal
73	tiger
74	bear
75	deer
76	monkey
77	gibbon
78	*rabbit
79	porcupine
80	rat
81	dog
82	bark
83	bite
84	*cat
85	pig
86	cow
87	milk
88	buffalo
89	buffalo horn
90	tail
91	elephant
92	elephant tusk
93	bird
94	bird nest
95	wing
96	feather
97	fly
98	egg
99	chicken
100	duck
101	fish
102	snake
103	house lizard
104	*turtle
105	crocodile
106	frog
107	insect
108	spider
109	spider web
110	louse
111	termite
112	cockroach
113	snail
114	mosquito
115	bee
116	fly (insect)
117	butterfly
118	scorpion
119	head
120	face
121	brain
122	hair
123	forehead
124	eyebrow
125	eye
126	eyelid
127	nose
128	cheek
129	ear
130	mouth
131	tongue
132	saliva
133	tooth
134	gums
135	chin
136	beard
137	shave (beard)
138	back
139	abdomen
140	navel
141	heart
142	lungs
143	liver
144	intestines
145	hand
146	elbow
147	armpit
148	palm
149	finger
150	nail
151	buttocks
152	leg=foot (157)
153	thigh
154	knee
155	calf
156	shin
157	foot
158	heel
159	bone
160	rib
161	flesh
162	fat
163	skin
164	blood
165	sweat
166	pus
167	excrement
168	urine
169	man
170	woman
171	person
172	father
173	mother
174	child
175	son-in-law
176	husband
177	wife
178	widow
179	elder sibling
180	younger sibling
181	friend
182	name
183	village
184	road or path
185	boat
186	house
187	door
188	window
189	roof
190	space under house
191	wall of house
192	mat
193	pillow
194	blanket
195	clothing
196	weave (cloth)
197	dye (cloth)
198	sarong
199	trousers
200	sew
201	needle
202	comb
203	ring
204	*paper, cord
205	cooking pot
206	ladle
207	mortar
208	pestle
209	spoon
210	plate
211	firewood
212	fire
213	ashes
214	smoke
215	candle
216	*drum
217	gong
218	crossbow
219	arrow
220	spear
221	knife
222	hear
223	smell
224	see
225	wink
226	weep
227	eat
228	swallow
229	hungry
230	full or satisfied
231	thirsty
232	drink
233	drunk
234	vomit
235	spit
236	cough
237	sneeze
238	yawn
239	breathe
240	whistle
241	suck
242	lick
243	*smile
244	laugh
245	speak
246	tell
247	shout
248	answer
249	lie or fib
250	sing
251	think
252	know
253	forget
254	choose
255	love
256	hate
257	wait
258	count
259	afraid
260	angry
261	sleep
262	snore
263	dream
264	painful
265	medicine
266	itch
267	scratch
268	shiver
269	die
270	ghost
271	sit
272	stand
273	kneel
274	walk
275	crawl
276	come
277	enter
278	return
279	push
280	pull
281	kick
282	throw
283	fall
284	swim
285	float
286	sink
287	flow
288	give
289	tie
290	wipe
291	rub or scrub
292	wash
293	*launder
294	bathe
295	hit
296	split
297	cut (hair)
298	stab
299	grind
300	plant
301	dig
302	burned (a corpse)
303	winnow (rice)
304	to dry
305	pound (rice)
306	cook (rice)
307	boil
308	burn
309	extinguish
310	work
311	play
312	dance
313	shoot
314	hunt
315	kill
316	fight
317	but
318	sell
319	exchange
320	pay
321	steal
322	one (person)
323	two (people)
324	three (people)
325	four (people)
326	five (people)
327	six (people)
328	seven (people)
329	eight (people)
330	nine (people)
331	ten (people)
332	hundred (people)
333	thousand (people)
334	many (people)
335	all
336	some
337	few
338	half
339	big
340	small
341	long
342	short (length)
343	tall
344	short (height)
345	thick
346	thin
347	fat
348	skinny
349	wide or broad
350	narrow
351	deep
352	shallow
353	round
354	full
355	right side
356	left side
357	straight
358	far
359	near
360	this
361	that
362	black
363	white
364	red
365	green
366	yellow
367	dirty
368	new
369	old
370	dark
371	bright
372	same
373	different
374	sweet
375	sour
376	bitter
377	spicy
378	rotten
379	swell
380	dry
381	wet
382	hot
383	cold
384	sharp
385	blunt
386	heavy
387	hard
388	smooth
389	fast
390	slow
391	strong
392	weak
393	tired
394	blind
395	deaf
396	bald
397	naked
398	bad
399	good [No. 398 in source]
400	*correct
401	*wrong
402	when?
403	where?
404	who?
405	what?
406	how many?
