1	I [first person singular]	0928
2	above	0731
3	all	0962
4	bad	0217
5	bad	1053
6	bad	861
7	below, under	0732
8	big	0964
9	black	1005
10	black	789
11	cold (of temperature)	1063
12	correct (right)	1045
13	dark	1013
14	dirty	1086
15	dirty	854
16	dry	1028
17	dry	864
18	early	1018
19	eight	0804
20	eight	918
21	far	0974
22	firewood	0534
23	five	0801
24	five	915
25	forget	1704
26	forget	726
27	four	0800
28	four	1
29	four	914
30	full	0984
31	full	846
32	good	1052
33	good	860
34	green	1009
35	green	842
36	hard	1034
37	he or she [third person singular]	0934
38	heavy	1014
39	heavy	830
40	heavy	U
41	here	0944
42	here	982
43	high / tall	0968
44	high / tall	802
45	horizontal	1001
46	hot	1062
47	hundred	0824
48	hundred	939
49	inside	0715
50	knead	1594
51	knife	0549
52	late	1019
53	learn	1742
54	left	0710
55	left	53
56	left	84
57	light (of weight)	1015
58	long	0055
59	long	0972
60	long	809
61	many	0987
62	marry (a man marries a woman)	1578
63	middle	0708
64	morning	0749
65	narrow	0977
66	narrow	401
67	narrow	816
68	near	0975
69	near	818
70	new	1050
71	new	866
72	nine	0805
73	nine	919
74	noon	0750
75	old (of person)	1058
76	one	0797
77	one	911
78	outside	0714
79	red	1007
80	red	837
81	red	H
82	right	0711
83	round	0990
84	run	1544
85	salty	1076
86	seven	0803
87	seven	917
88	sharp	1020
89	sharp	870
90	short	0364
91	short	0973
92	short	810
93	shy	1365
94	six	0802
95	six	916
96	small	0965
97	small	801
98	smooth	1037
99	soft	1035
100	soft	832
101	straight	1003
102	ten	02b1
103	ten	0806
104	ten	363
105	ten	920
106	that	0947
107	that	84
108	that	983
109	the ant	0365
110	the armpit	0092
111	the bamboo	0389
112	the barley (tibetan or highland)	0411
113	the belly	0096
114	the bird	0326
115	the blood	0129
116	the body hair (hair or fur)	0266
117	the bone	0133
118	the branch	0374
119	the breast (female)	0094
120	the child (young human)	0169
121	the cloud	0007
122	the daughter	0222
123	the dew	0015
124	the dog	0289
125	the dream	0699
126	the dream	1821
127	the dust	0045
128	the ear	0081
129	the earth (soil)	0040
130	the earthworm	0363
131	the egg	0450
132	the eye	0079
133	the father	0218
134	the feather	0299
135	the fire	0018
136	the fish	0351
137	the flea	0355
138	the flower	0377
139	the fog	0016
140	the foot	0103
141	the forest	0050
142	the fox	0325
143	the frog	0349
144	the front (front side)	0712
145	the frost	0014
146	the fruit	0378
147	the goat	0276
148	the grass	0436
149	the hail	0013
150	the hair (of the head)	0075
151	the hand	0107
152	the head	0074
153	the heart	0144
154	the hoof	0264
155	the horn (keratinized skin)	0263
156	the horse	0268
157	the house	0494
158	the husband	0247
159	the ice	0017
160	the knee	0101
161	the lake	0031
162	the leaf	0376
163	the lip (the lips)	0085
164	the liver	0145
165	the louse	0356
166	the lung	0143
167	the man (male human)	0173
168	the meat	0443
169	the meat	399
170	the moon	0004
171	the mosquito	0360
172	the mother	0219
173	the mountain	0023
174	the mouse or rat	0320
175	the mouth	0084
176	the mud	0046
177	the nail (fingernail or claw)	0113
178	the name	0687
179	the name	P
180	the neck	0089
181	the needle (for sewing)	0578
182	the nit	0357
183	the nose	0080
184	the otter	0317
185	the pig	0284
186	the rain	0010
187	the rainbow	0011
188	the rice plant	0439
189	the river	0030
190	the road	0038
191	the root	0375
192	the rope	0619
193	the salt	0061
194	the sand	0044
195	the sea	0032
196	the seed	0405
197	the sheep	0275
198	the shoulder	0090
199	the sickle	0624
200	the skin	0120
201	the skin	0265
202	the sky	0001
203	the smoke	0019
204	the snake	0347
205	the snow	0012
206	the son	0220
207	the sparrow	0336
208	the spider	0361
209	the star	0005
210	the stick	0586
211	the stone (a piece of)	0379
212	the sun	0002
213	the tail	0267
214	the thigh	0100
215	the thunder	0008
216	the tiger	0304
217	the tongue	0139
218	the tooth (front)	0137
219	the tree	0372
220	the water	0047
221	the wheat	0410
222	the wife	0248
223	the wind	0009
224	the wing	0298
225	the wolf	0324
226	the woman	0174
227	the wood (material)	0511
228	the worm	0353
229	the year	0777
230	there	0950
231	there	984
232	thick	0980
233	thick	811
234	thin	0981
235	thin	1026
236	thin	814
237	this	0942
238	this	981
239	thou [second person singular]	0931
240	three	0799
241	three	401
242	three	913
243	to be alive	1087
244	to bite	1753
245	to bite	535
246	to blow (of wind)	1353
247	to blow (of wind)	1738
248	to burn [intransitive]	1269
249	to buy	1516
250	to chew	1424
251	to come	1491
252	to count	1640
253	to cry (weep)	1485
254	to die	1651
255	to dig	1150
256	to dig	1698
257	to drink	1370
258	to eat	1198
259	to fight	1234
260	to fight	709
261	to float	1553
262	to flow	1502
263	to fly (move through air)	1318
264	to give	1345
265	to hear	1682
266	to hide (conceal)	1169
267	to hold	1709
268	to hold	551
269	to hunt	1230
270	to kill	1602
271	to know	1798
272	to know	722
273	to laugh	1735
274	to lick	1674
275	to lie down	1661
276	to plant (vegetals, rice)	1774
277	to play	1703
278	to pull	0324
279	to pull	1568
280	to pull	562
281	to push	1689
282	to reside (live)	1452
283	to scratch	1530
284	to scratch	1592
285	to scratch	555
286	to see	1471
287	to shoot (an arrow)	1611
288	to sing	1184
289	to sleep	1646
290	to smell (perceive odor) [transitive]	1707
291	to spit	1688
292	to stand	1784
293	to stand	569
294	to stand	O
295	to steal	1686
296	to think (reflect)	1726
297	to throw	03a
298	to throw	1687
299	to throw	558
300	to vomit	1535
301	to walk	1815
302	to wipe	1163
303	today	0738
304	tomorrow	0742
305	twenty	0816
306	twenty	930
307	two	0798
308	two	912
309	we [first person plural inclusive]	0930
310	wet	1029
311	wet	865
312	wet	pp
313	what	0954
314	what	986
315	where	0955
316	where	988
317	white	1006
318	white	840
319	who	0953
320	who	985
321	who	G
322	yellow	1008
323	yellow	838
324	yesterday	0739
325	you [second person plural]	0933
326	young	1059
