# EDICTOR
@modified: 2016-02-15 15:48
#
ID	ORIGINAL_TAXNAME	TOKENS	DOCULECT	CONCEPT	POS	STEDT_SRCID	COGID	STEDT_RN	STEDT_REFLEX	CONCEPT_ID	NOTE	SOURCE	STEDT_CONCEPT	IPA	ORIGINAL_ENTRY	ORIGINAL_CONCEPT
#
2	Achang (Longchuan) TBL	p ʐ a ⁵⁵ ◦ p ʐ a ⁵⁵	Achang_Longchuan	all	other	0962.28	428	394552	pʐa⁵⁵pʐa⁵⁵	0962	bad concept	TBL	all / everything	pʐa⁵⁵pʐa⁵⁵	pʐa⁵⁵ pʐa⁵⁵  | 0962.28 | 0963.28	all 1
9	Leqi (Luxi) TBL	p a n ³¹ ◦ ʃ ɔ̱ ʔ ⁵⁵	Lashi	all	other	0962.33	137	394557	pan³¹ʃɔ̱ʔ⁵⁵	0962	bad concept	TBL	all / everything	pan³¹ʃɔ̱ʔ⁵⁵	pan³¹ ʃɔ̱ʔ⁵⁵  | 0962.33  | 0963.33	all 1
10	Langsu (Luxi) TBL	p ə ŋ ³¹ ◦ ʃ ɔ ʔ ⁵⁵	Maru	all	other	0962.31	137	394555	pəŋ³¹ʃɔʔ⁵⁵	0962	bad concept	TBL	all / everything	pəŋ³¹ʃɔʔ⁵⁵	pəŋ³¹ ʃɔʔ⁵⁵   | 0962.31 | 0963.31	all 1
12	Achang (Xiandao) TBL	ch o t ⁵⁵	Xiandao	all	other	0962.29	706	394553	chot⁵⁵	0962	bad concept	TBL	all / everything	chot⁵⁵	chot⁵⁵  | 0962.29 | 0963.29	all 4
13	Atsi [Zaiwa] TBL	l u̱ ŋ ⁵⁵ ◦ l a̱ ŋ ⁵⁵	Atsi	all	other	0962.30	13	394554	lu̱ŋ⁵⁵la̱ŋ⁵⁵	0962	bad concept	TBL	all / everything	lu̱ŋ⁵⁵la̱ŋ⁵⁵	lu̱ŋ⁵⁵ la̱ŋ⁵⁵  | 0962.30	all 2
14	Bola (Luxi) TBL	a ³¹ ◦ l a̱ p ⁵⁵	Bola	all	other	0962.32	569	394556	a³¹la̱p⁵⁵	0962	bad concept	TBL	all / everything	a³¹la̱p⁵⁵	a³¹ la̱p⁵⁵  | 0962.32	all 2
5656		m̥ ɑ̃ ∼ ²² ◦ tθ ɑ ⁵³ ◦ m̥ j ɑ ⁵³	Rangoon	all	other	0962.27	1128	394551	m̥ɑ̃²²tθɑ⁵³m̥jɑ⁵³	0962	bad concept	TBL	all / everything	m̥ɑ̃²²tθɑ⁵³m̥jɑ⁵³		
6091		hm ɑ n ² ◦ tθ ɑ ¹ ◦ hm j ɑ ¹	Written_Burmese	all	other	0962.26	1128	394550	hmɑn²tθɑ¹hmjɑ¹	0962	bad concept	TBL	all / everything	hmɑn²tθɑ¹hmjɑ¹		
#
22	Achang (Longchuan) TBL	tɕh i ⁵⁵ ◦ m a n ⁵⁵	Achang_Longchuan	the ant	noun	0365.28	90	363695	tɕhi⁵⁵man⁵⁵	0365		TBL	ant	tɕhi⁵⁵man⁵⁵	tɕhi⁵⁵ man⁵⁵  | 0365.28	ant 2
24	Atsi [Zaiwa] TBL	p a u ⁵¹ ◦ v o ʔ ⁵⁵	Atsi	the ant	noun	0365.30	87	363697	pau⁵¹voʔ⁵⁵	0365		TBL	ant	pau⁵¹voʔ⁵⁵	pau⁵¹ voʔ⁵⁵  | 0365.30	ant 1
25	Bola (Luxi) TBL	ph ə̆ ³¹ ◦ ɣ ɔ ʔ ³¹	Bola	the ant	noun	0365.32	87	363699	phə̆³¹ɣɔʔ³¹	0365		TBL	ant	phə̆³¹ɣɔʔ³¹	phə̆³¹ ɣɔʔ³¹  | 0365.32	ant 1
28	Leqi (Luxi) TBL	l a ³¹ ◦ j ɛ t ³¹	Lashi	the ant	noun	0365.33	91	363700	la³¹jɛt ³¹	0365		TBL	ant	la³¹jɛt³¹	la³¹ jɛt ³¹  | 0365.33	ant 1
29	Langsu (Luxi) TBL	ph ə̆ ³¹ ◦ ɣ u k ³¹	Maru	the ant	noun	0365.31	87	363698	phə̆³¹ɣuk³¹	0365		TBL	ant	phə̆³¹ɣuk³¹	phə̆³¹ ɣuk³¹  | 0365.31	ant 1
30	Achang (Xiandao) TBL	ch a ŋ ³¹ ◦ m̥ a n ⁵⁵	Xiandao	the ant	noun	0365.29	90	363696	chaŋ³¹m̥an⁵⁵	0365		TBL	ant	chaŋ³¹m̥an⁵⁵	chaŋ³¹ m̥an⁵⁵  | 0365.29	ant 2
31	Burmese (Written) ZMYYC	p u ◦ r o₁ k ◦ ch i p	Old_Burmese	the ant	noun	?	87	?		?		HILL/ZMYYC	ant	pu ro₁k chip	pu ro₁k chip | ?	ant 1
5277		p ɑ ⁵³ ◦ j w ɛ ʔ ⁴ ◦ sh e ʔ ⁴	Rangoon	the ant	noun	0365.27	87	363694	pɑ⁵³jwɛʔ⁴sheʔ⁴	0365		TBL	ant	pɑ⁵³jwɛʔ⁴sheʔ⁴		
5719		p ɑ ¹ ◦ r w ɑ k ⁴ ◦ sh i t ⁴	Written_Burmese	the ant	noun	0365.26	87	363693	pɑ¹|rwɑk⁴shit⁴	0365		TBL	ant	pɑ¹|rwɑk⁴shit⁴		
#
129	Achang (Longchuan) TBL	tɕ a ⁵⁵	Achang_Longchuan	bad	other	1053.28	1127	399200	tɕa⁵⁵	1053		TBL	bad	tɕa⁵⁵	tɕa⁵⁵  | 1053.28	bad
131	Atsi [Zaiwa] TBL	th e n ²¹	Atsi	bad	other	1053.30	16	399202	then²¹	1053		TBL	bad	then²¹	then²¹  | 1053.30	bad
132	Bola (Luxi) TBL	a ³¹ ◦ k a i ⁵⁵	Bola	bad	other	1053.32	1131	399204	a³¹kai⁵⁵	1053		TBL	bad	a³¹kai⁵⁵	a³¹ kai⁵⁵  | 1053.32	bad
133	Burmese (Written) ZMYYC	ch o ³	Burmese	bad	other	861.39	1147	?		861		HILL/ZMYYC	bad	cho³	cho³  | 861.39	bad
134	Hpun (Northern) EJAH-Hpun	m ă ◦ k ɔ̀ ŋ	Hpun	bad	other	0217.23	1109	356193	măi³¹ŋu³⁵	0217		EJAH-Hpun	bad (= 'not good')	măkɔ̀ŋ	măkɔ̀ŋ  | 0217.23	bad (= 'not good')
135	Leqi (Luxi) TBL	p j ɔː ʔ ³¹	Lashi	bad	other	1053.33	54	399205	pjɔːʔ³¹	1053		TBL	bad	pjɔːʔ³¹	pjɔːʔ³¹  | 1053.33	bad
136	Langsu (Luxi) TBL	k ɔ i ³⁵	Maru	bad	other	1053.31	1131	399203	kɔi³⁵	1053		TBL	bad	kɔi³⁵	kɔi³⁵  | 1053.31	bad
137	Achang (Xiandao) TBL	n ³¹ c ɛ ⁵⁵	Xiandao	bad	other	1053.29	1127	399201	n³¹cɛ⁵⁵	1053		TBL	bad	n³¹cɛ⁵⁵	n³¹ cɛ⁵⁵  | 1053.29	bad
138	Burmese (Written) ZMYYC	ch ui w ḥ	Old_Burmese	bad	other	?	1147	?		?		HILL/ZMYYC	bad	?	? | ?	bad
5367		sh o ⁵⁵	Rangoon	bad	other	1053.27	1147	399199	sho⁵⁵	1053		TBL	bad	sho⁵⁵		
5368		ȵ ɑ̃ ∼ ⁵³	Rangoon	bad	other	1053.27	1130	399231	ȵɑ̃⁵³	1053		TBL	bad	ȵɑ̃⁵³		
5807		sh o ³	Written_Burmese	bad	other	1053.26	1147	399198	sho³	1053		TBL	bad	sho³		
