NAME	STEDTNAME	ISO	GLOTTOLOG	BRANCH	GROUP	SOURCE	ENTRIES_IN_SOURCE
Achang_Longchuan	Achang (Longchuan)	acn	long1373	Burmish	Northern Burmish	Huang1992	1676
Atsi	Atsi (Zaiwa)	atb	zaiw1241	Burmish	Northern Burmish	Huang1992	1843
Bola	Bola (Luxi)	bxd	pela1242	Burmish	Northern Burmish	Huang1992	1777
*Hpun	Hpun (Northern)	hpo	hpon1238	Burmish	Northern Burmish	Henderson1986	799
Lashi	Leqi (Luxi)	lsi	lash1243	Burmish	Northern Burmish	Huang1992	1527
*Marma	Marma	rmz	marm1234	Burmish	Southern Burmish	Keisuke2008	983
Maru	Langsu (Luxi)	mhx	maru1249	Burmish	Northern Burmish	Huang1992	1641
Old_Burmese			oldb1235	Burmish		 	
Rangoon	Burmese (Rangoon)	mya	nucl1310	Burmish	Southern Burmish	Huang1992	1883
Written_Burmese	Burmese (Written)		nucl1310	Burmish	Southern Burmish	Huang1992	1875
Xiandao	Achang (Xiandao)	xia		Burmish	Northern Burmish	Huang1992	1471
