NUMBER	GLOSS
1	absorbed / shallow
2	air / wind
3	alive (lit. = 'not die')
4	altar / nat platform
5	answer a call
6	ant
7	ant (flying)
8	ant (red)
9	ant (white)
10	anus (cp. Bottom, Hole)
11	anvil (cp. Iron)
12	approximately / about
13	areca palm
14	areca palm tree
15	arise / get up
16	arrow (cp. Crossbow)
17	ascend
18	ashamed
19	ask
20	awake
21	axe
22	back
23	back again
24	bad (= 'not good')
25	bag / pocket
26	balances
27	bamboo
28	bamboo rat / mole
29	bamboo shoots
30	bamboo ties / splints of bamboo
31	banana
32	banana fruit
33	banana tree
34	bank
35	banyan
36	banyan tree
37	bark (tree)
38	basket (for rice)
39	basket (openwork)
40	bat / flying fox
41	bathe
42	be (copula)
43	beans
44	bear (animal)
45	bee
46	bee (dammer)
47	beeswax
48	before
49	behind
50	believe
51	bell (big)
52	bell (hanging from cattle)
53	bellows
54	below
55	bend
56	bent
57	bet (money) (cp. Money)
58	betel leaf (cp. Leaf)
59	between
60	big
61	bird
62	bird prefix (cp. Egg, Dove)
63	birth, give
64	bit / half
65	bite / sting
66	bitter
67	black
68	blacksmith
69	blaze
70	blind
71	blink / shut the eyes
72	blood
73	blossom
74	blow
75	blue
76	board / plank (cp. Wood, Tree)
77	board, plank
78	boat
79	body
80	boil
81	bone
82	borrow (money)
83	borrow (things)
84	bottom
85	bow (pellet)
86	bowels
87	bowl / pot
88	brains
89	bran
90	branch
91	brave
92	break
93	breast
94	breath
95	breathe
96	broad
97	bronze
98	brother (elder)
99	brother (younger)
100	brothers and sisters (elder)
101	bud
102	buffalo
103	buffalo (water)
104	build
105	Burmans / Burmese
106	burn
107	bury
108	bushel
109	butterfly / soul
110	buttocks
111	buy
112	call
113	cane
114	cane tops
115	carry on back
116	carry on shoulder
117	cart
118	case (in law)
119	cat
120	cataract
121	catch / overtake
122	cattle
123	centipede
124	chaff (cp. Paddy)
125	chameleon
126	charcoal (cp. Fire)
127	cheap (=price few)
128	cheap (=price not many)
129	cheek
130	chest
131	child
132	chin / jaw (lower)
133	Chinese
134	chop
135	citrus
136	clear (of water)
137	clench (fist)
138	clf: for persons
139	clf: for round things
140	clf: generl; animls; long objs
141	close / stop
142	cloud (cp. Sky)
143	cock
144	cock / rooster
145	coconut
146	coffin
147	cold, feel
148	color
149	comb
150	come
151	companion
152	copulate
153	cork (tree)
154	cormorant (large)
155	cotton (raw)
156	cough
157	cowry
158	creeper (cp. Lac)
159	cricket
160	crocodile
161	crooked (cp. bent)
162	cross / trade
163	crossbow
164	crouch / incubate (eggs)
165	crow
166	crow / raven
167	cry / weep
168	cry / weep (3rd.sg.) / (s)he cries
169	cubit
170	cucumber
171	cup
172	cut off
173	cutch
174	dam
175	dance
176	dare
177	dark
178	dark-coloured
179	daughter-in-law
180	day
181	day of week
182	deaf (cp. Ear)
183	deep
184	deer (barking)
185	deer (sambhur)
186	descend
187	destroy
188	die
189	difficult
190	dig
191	disappear
192	distribute
193	dog
194	dog (wild)
195	dove
196	dream (cp. Sleep)
197	drink
198	drop (of water)
199	drum
200	drunk (cp. Giddy)
201	dry
202	dry up
203	duck
204	dumb
205	dung
206	dusk
207	dwell
208	dye
209	ear
210	earth
211	earthquake (see Shiver)
212	easy
213	eat
214	edge (see Tooth)
215	edge of knife / blade (cf.TOOTH)
216	egg (cp. Fowl)
217	eggplant / brinjal
218	eight (cp. Seven)
219	elbow
220	elephant
221	embrace
222	emerge / issue (cp. Sweat)
223	enclosure
224	endure
225	enter
226	erect
227	examine
228	expensive / dear ('price many')
229	extract
230	eye / eyeball
231	eyetooth, tusk
232	fail
233	fall
234	fall down
235	fallow
236	fan
237	far
238	fat / oil
239	fat / plump
240	father
241	fathom
242	fear / frighten
243	feed (spirits, nats)
244	feed the house spirit / nat
245	female
246	female suffix (cp. Daughter)
247	fence
248	few
249	field (dry) / swidden
250	finger (index) (cp. Point at)
251	finger (little)
252	fingernails
253	fire
254	firewood
255	fish
256	fist
257	five
258	fix / affix
259	flag
260	flame (cp. Fire)
261	flat / level
262	flea
263	flesh
264	flood
265	flour / powder
266	flower
267	fly / housefly
268	food (cp. Eat)
269	foot / leg
270	four
271	four things
272	fowl
273	free, set
274	frighten (cp. Fear)
275	frog
276	fruit
277	full
278	gadfly
279	gain
280	gall / gall bladder
281	garlic / onion (cf. WHITE)
282	get
283	get up / arise
284	giddy / drunk (cf. HEAD)
285	ginger
286	give
287	gizzard
288	gnat
289	go
290	go round
291	goat
292	goat (domestic)
293	goat (hill)
294	gold
295	gong
296	good
297	goose
298	gourd
299	gourd bottle (cp. SHAN ?)
300	gourd creeper
301	grain-crop (cp. Paddy)
302	granary (large) (cp. Paddy)
303	granary (small)
304	grandchild
305	grandfather
306	grandmother
307	grass
308	grasshopper
309	green (< Shan?)
310	grind
311	groin
312	grow
313	guava
314	guest
315	hair / feathers
316	hair of head
317	half
318	hand
319	hang
320	hang from a hook
321	hang from shoulder
322	happy (cp. pleased)
323	hard
324	hare (cp. O.Mon?)
325	hat
326	he, his; she, her
327	head
328	headman
329	heap
330	hear
331	heart
332	heartwood (of tree)
333	heavy
334	heel
335	help
336	hen (cp. Fowl)
337	hiccoughs
338	hide
339	high
340	hive / nest
341	hole
342	hollow
343	honey
344	hornet
345	horns
346	horse
347	hot (very)
348	hot weather (cf. WIND / AIR)
349	hot; kălí pó-ŋ 'hot weather'
350	house
351	house-post (cp. Roof)
352	house-site
353	Hpun
354	Hpun (Megyaw)
355	hundred
356	hundred thousand
357	hungry
358	hunter
359	hurt
360	husband
361	husband and wife
362	husk / bran (cp. Chaff)
363	I / my
364	incubate (cp. Crouch)
365	Indian
366	ink (<Shan?)
367	insect
368	invite
369	Irawaddy (cp. River)
370	iron
371	is not
372	itch
373	jackfruit
374	jaggery
375	jaw
376	join end to end
377	joint (of bamboo)
378	joint (of bone)
379	jungle
380	Kachin
381	key
382	kill (cp. Die)
383	kin
384	kingdom
385	kite / hawk / eagle
386	knead
387	knee
388	knife
389	knife / machete / dah / bushknife
390	knife-edge (cf. tooth)
391	knock
392	knot (hair) (cp. Hair)
393	know
394	lac (cp. Creeper)
395	ladle
396	landslip (c.)
397	laugh
398	law case
399	leaf
400	leaf (large)
401	leak
402	leech
403	leech (water)
404	leech (water) (<Shan)
405	left (hand)
406	left over
407	leg (cp. Foot)
408	lemon (sour, wild)
409	lemon (sweet)
410	lice on body
411	lice on hair
412	lick
413	lift
414	light
415	lightning
416	like, be / similar
417	lion
418	liquid
419	liver
420	lizard (monitor)
421	long
422	look at
423	loom
424	love
425	low
426	lungs
427	maggots
428	main (suffix)
429	male (of animals and birds)
430	male (of humans)
431	male suffix
432	man / male person
433	mango
434	many / much
435	marrow (lit. = bone-oil)
436	mature
437	medicine (see also Tobacco)
438	midday (cp. Sun)
439	midnight
440	milk ('breast liquid')
441	millet
442	mist
443	moan
444	molar (cp. Tooth)
445	molars
446	money / silver
447	monkey
448	moon
449	moon (full)
450	moon (new)
451	mortar
452	mosquito
453	mother
454	mountain
455	mouth / snout
456	mule
457	mushroom
458	my house
459	nails
460	name
461	narrow
462	navel
463	near
464	neck
465	neck (nape of)
466	needle
467	nephew / niece (cp. Grandchild)
468	nest (cp. Bird, Hive)
469	net (casting)
470	new
471	night
472	nine
473	nip
474	noises (of animals)
475	nose
476	not
477	not be
478	not know
479	not love
480	oil / fat
481	old (of persons)
482	old (of things)
483	on / above
484	one
485	one (head of) cattle
486	one thing
487	open
488	oppress
489	order
490	otter
491	overtake
492	owl (big) / "didôk"
493	owl (fish owl)
494	owlet
495	owner / master
496	paddy
497	pain, be in (cp. to Hurt)
498	paint (cp. Medicine, Tobacco)
499	pair
500	palm (areca)
501	palm (Corypha)
502	palm (corypha) (cf. pó 'tree')
503	palm (of hand)
504	palm (toddy)
505	parakeet
506	parcel (cf. WOMB)
507	peacock
508	penis
509	permission
510	person / human being
511	pestle
512	pheasant
513	pierce
514	pig
515	pigeon
516	pillow (cp. to Sleep)
517	pinch
518	place / put down
519	platform (cp. Altar)
520	porcupine
521	pound
522	powder / flour
523	press down
524	price
525	prince (Shan); Sawbwa
526	prop up
527	pull
528	pumpkin (gold) (<Shan)
529	pumpkin (stone)
530	python
531	quail
532	quake (cp. Earthquake)
533	quarter
534	quiver
535	raft
536	rafter (bamboo) (cp. House)
537	rain (cp. Sky)
538	rainbow
539	raise / lift
540	rat
541	rat (bamboo)
542	raw / uncooked
543	read writing
544	reap / share
545	red
546	related (kin)
547	repay
548	rest
549	rhinoceros (cp. Elephant)
550	rib
551	rice (cooked)
552	rice (husked)
553	rice (parched)
554	rice for monks
555	ricefield (wet) (v.Field[dry])
556	ricefield (wet) / paddyfield
557	right (= opp. of Wrong)
558	right (hand)
559	ringworm
560	ripe
561	ripe age
562	river
563	road / journey
564	roast
565	roll (tobacco)
566	roll tobacco
567	roof (cp. House)
568	rooftop
569	root
570	rope
571	rot
572	round (cp. Numeral classifier)
573	royal order (on spirit-altar)
574	rule / govern
575	run
576	salt
577	sand
578	satisfied / satiated
579	scoop out
580	scorpion
581	scrape
582	scrape with a stick
583	scratch (cp. Scrape w.stick)
584	scrotum
585	see
586	seed
587	seed of grain
588	seize
589	sell
590	senior
591	senior (cp. Headman)
592	sesamum
593	set free
594	seven
595	sew
596	shade
597	sharp
598	shield
599	shiver (cp. to Quake)
600	shoot (with bow or gun)
601	shoot at
602	short
603	shoulder
604	shout
605	shrimp-paste, f'mented (cfRot)
606	shut
607	sibling (younger)
608	sibling, younger
609	side
610	side of body (see Rib)
611	silkworm ('silk insect')
612	silver / money
613	sister (elder)
614	sister (younger)
615	six
616	skin
617	sky
618	slave
619	sleep
620	sleep, put to (<Shan?)
621	small
622	smell
623	smell of frying
624	smoke (cp. Fire)
625	smoke (tobacco)
626	snake
627	snot ('nose-dung')
628	snout / mouth
629	soap
630	soft
631	sole (of foot)
632	sole of foot
633	son (see Child)
634	son-in-law
635	sore
636	sorghum millet
637	sour
638	span
639	sparrow
640	spear (for throwing)
641	spherical / round
642	spirit / nat
643	spittle
644	spleen
645	squirrel
646	stand
647	star
648	starving
649	steal
650	step on / tread on
651	still / yet
652	stink / smell bad
653	stomach
654	stone
655	stoop
656	stoop (with age)
657	straight
658	strangle
659	stream
660	strength
661	stride
662	strong / have great strength
663	strong, be very
664	stump (of tree)
665	succeed
666	suck
667	suck (the breast)
668	sugar
669	sugarcane
670	sun
671	swallow
672	sweat
673	sweat (cf.EMERGE / ISSUE)
674	sweet
675	swell
676	swidden / hill field / taungya
677	tail
678	take
679	tamarind
680	taro
681	tea
682	tea-leaf
683	tear
684	ten (= 'one ten')
685	ten (as multiplicand)
686	tender
687	testicles
688	that (cp. This)
689	thick
690	thief ('person-steal')
691	thigh
692	thin (of persons)
693	thin (of things)
694	this
695	this man
696	thorn
697	thousand
698	thread
699	three
700	three things
701	throat
702	throw (e.g. stone)
703	thumb
704	thunder (cp. Sky)
705	thunderbolt (cp. Open)
706	tical
707	tiger
708	tight
709	tired / fatigued
710	tobacco (cp. Medicine)
711	toenails (cp. Foot)
712	toenails (cp. Foot, Nails)
713	tongue
714	tooth
715	tortoise
716	tree
717	tree (cp. Wood, Timber, Trunk)
718	tree (hollow)
719	trunk (of tree)
720	tuber
721	turban / gaungbaung
722	turbid
723	tusk (cp. Tooth, Eyetooth)
724	tusk (of elephant)
725	two
726	two things
727	umbilical cord
728	uncooked / unripe
729	undone, come
730	undress (cp. to Extract)
731	untie
732	urinate (cp. Urine, Dung)
733	urine
734	vagina
735	vagina / vulva
736	vapor
737	vegetables / curry (v.Tree,Leaf)
738	vein (cp. Blood)
739	village
740	voice / sound
741	vomit / poisoned, be
742	vulture
743	vulva
744	wall
745	warm
746	warm water
747	wash
748	wash clothes
749	wasp
750	water
751	water (hot)
752	water ladle
753	wear
754	weave
755	weeds (jungle)
756	weeds / bushes (cp. Grass, Jungl
757	weep / cry
758	weigh
759	wet
760	wheat
761	white
762	white, it is
763	who
764	who is it?
765	widow
766	widower
767	wife (cp. Woman)
768	wild
769	wildcat
770	wildcat ('jungle cat')
771	wind / air
772	wing
773	wipe
774	witch / wizard
775	woman
776	womb
777	wood
778	wood / timber (cp. Tree)
779	work
780	worm
781	wrong
782	yam
783	yarn / thread
784	year
785	yellow
786	yes (cp. Right)
787	yet / still
788	you / thou
789	your / thy
790	your house
