NUMBER	GLOSS
1	(cook by) steam
2	(man's or woman's) sibling
3	after
4	afternoon
5	again
6	age
7	aged / old (of people)
8	alive
9	all
10	alone / by oneself
11	already
12	always
13	amalaki (Indian gooseberry) Lat: emblic myrobalans
14	animal
15	ankle
16	answer
17	ant
18	anus
19	apple
20	arm
21	armpit
22	arrive
23	arrow
24	ascend / go up
25	ashamed
26	ashes
27	ask
28	astringent
29	awake
30	axe
31	baby
32	back
33	back of one's hand
34	bad
35	bag
36	bald
37	bald head
38	bamboo
39	bamboo rain hat
40	bamboo shoot
41	banana
42	barefoot
43	bark (tree)
44	barley
45	basket
46	bat (animal)
47	bathe
48	be wrong, mistaken
49	beak
50	bean
51	bear
52	beard
53	beautiful
54	bed
55	before
56	begin
57	believe / have an opinion
58	belly / stomach
59	belt
60	bent
61	betel
62	big
63	bighorn deer
64	bile
65	bird
66	birthmark / mole
67	bite
68	bitter
69	black
70	bladder
71	blade (knife edge)
72	blanket
73	blind
74	blood
75	blow (of wind)
76	blow (with mouth)
77	blue (lit. sky-color)
78	blue (lit. thunder-color)
79	board / plank
80	boat (small)
81	body
82	body dirt / crud
83	body hair
84	boil
85	bone
86	born
87	borrow
88	bow (weapon)
89	box
90	boy / lad
91	brain
92	branch
93	brave / courageous
94	bread
95	bread / cake
96	break
97	break by bending
98	breath
99	breathe
100	bride
101	bridegroom
102	bridge
103	bring up
104	broil, roast in pan
105	brown
106	brown (lit. pig-feces-color)
107	bubble
108	build
109	burn
110	bury dead
111	butterfly
112	buttock
113	buy
114	cabbage
115	calf (of leg)
116	call
117	carriage / car
118	carrot
119	carry
120	carry basket on head
121	carry on back
122	carry on shoulder
123	cat
124	catch fish
125	cattle / cow
126	ceiling
127	chaff
128	character / letter
129	charcoal
130	chase / pursue
131	cheek
132	chest / breast
133	chew
134	child
135	choose
136	circumference / environment
137	claw
138	clay
139	clean
140	cliff
141	cloth
142	clothes
143	cloud
144	coal
145	coat
146	cockroach
147	coconut
148	cold
149	collect
150	color
151	comb
152	comb hair
153	come
154	command
155	compare
156	cook
157	cooked rice
158	copper
159	copper (bronze)
160	copulate
161	correct
162	cough
163	count
164	cover
165	cowardly
166	crab
167	cradle
168	creep / crawl
169	creeper / vine
170	crocodile
171	crow
172	cry (of animal) / bark
173	cucumber
174	cure / treat illness
175	cut
176	dahl (a popular bean soup in Bangladesh and India)
177	daikon radish
178	dance
179	dandruff
180	dangerous
181	dark
182	daughter
183	dawn
184	day
185	daytime
186	deaf
187	deceive
188	decrease
189	deep
190	deer
191	defecate
192	demon / monster
193	descend / go down
194	die
195	dig
196	dim / gloomy
197	direction
198	dirty
199	dish / plate
200	dislike
201	do
202	dog
203	door
204	down
205	dragon
206	dragonfly
207	draw / scoop water
208	dream
209	dried out rice
210	drink
211	drive (vehicle)
212	dry
213	dry season
214	dry up
215	duck
216	dull
217	dumb
218	dust
219	dye
220	eagle
221	ear
222	early
223	earthworm
224	east
225	easy
226	eat
227	egg
228	eggplant
229	eight
230	eighty
231	elbow
232	elephant
233	emerge / go out
234	empty
235	end
236	enemy
237	evening
238	every day
239	exactly
240	extinguish
241	eye
242	eyebrow
243	eyelash
244	eyelid
245	face
246	fall
247	falsehood / lie
248	falsehood / lie (n)
249	family
250	fan
251	far
252	fart
253	fast
254	fat
255	fat / lard
256	father
257	father's brother / uncle
258	father's sister / aunt
259	fear / be afraid
260	feather
261	female / woman
262	fence
263	festival
264	few
265	field / plain
266	field / swidden
267	fifty
268	find
269	finger
270	finger-ring
271	fire
272	firefly / glow worm
273	first
274	fish
275	fish sauce
276	fishing net
277	fist
278	five
279	flat
280	flea
281	flee / run away
282	flesh
283	float
284	flow
285	flower
286	fly
287	fly (insect)
288	fog
289	follow
290	food
291	foot
292	forehead
293	forget
294	form / shape
295	forty
296	four
297	fowl / chicken
298	fox
299	foxtail millet
300	freeze
301	Friday
302	friend
303	frog
304	front
305	fruit
306	full
307	fur / animal hair
308	game
309	garden
310	garlic
311	gentle
312	get angry
313	get bald
314	get drunk
315	get tired / weary
316	ghost
317	gill
318	ginger
319	girl
320	give
321	give birth
322	glad / rejoice
323	glutinous rice
324	go
325	go in / enter
326	go/come back / return
327	goat
328	god
329	gold
330	good
331	grandchild
332	grandfather
333	grandmother
334	grasp / grab
335	grass
336	grasshopper
337	green
338	grove / forest
339	grow (plant)
340	grow up
341	guava
342	gun / rifle
343	hair of head
344	hairpin
345	half
346	hammer
347	hand
348	hand net / landing net
349	hang
350	hard
351	hard / difficult
352	hat
353	hawk
354	he
355	head
356	headache
357	hear
358	heart
359	heart / mind
360	heavy
361	heel
362	help
363	here
364	heron
365	hide
366	high
367	hit / strike
368	hither / this way
369	hoe
370	hole
371	hollow
372	honest
373	honey
374	honeybee
375	hoof
376	horizontal
377	horn
378	horse
379	hot
380	hot water
381	house
382	house lizard
383	how
384	how many
385	how much
386	hundred
387	hundred thousand
388	hungry
389	hunt
390	husband
391	hut / shed
392	I / me
393	ice
394	if
395	ill / sick
396	imitate
397	immediately / right away
398	increase
399	insane / crazy
400	insect
401	intestines
402	iron
403	island
404	itchy
405	jackfruit
406	jaw
407	job / work
408	juice
409	jujube
410	jump
411	kick
412	kidney
413	kill
414	kind (adj)
415	kind of fruit, called wood-apple in English
416	kind of vegetable, a not very bitter kind of nigauri
417	kite (bird)
418	knee
419	knife
420	knit
421	know
422	ladle / scoop
423	lake / pond
424	lame
425	language
426	lapel
427	large lizard
428	larynx
429	late
430	laugh
431	lay egg
432	lazy
433	lead
434	leaf
435	left
436	leg
437	lemon
438	lend
439	lick
440	lid / cover
441	lie down
442	light
443	light (weight)
444	light / bright
445	lighten (lightning)
446	like / be fond of
447	lion
448	lip
449	liquor
450	listen
451	live / dwell
452	liver
453	long
454	loose
455	lose
456	lose (e.g. war)
457	louse
458	low
459	lung
460	lychee
461	machine
462	maggot
463	maize
464	make
465	make war
466	male / man
467	man's sarong
468	mango
469	many / numerous
470	market
471	marry (of a man)
472	marry (of a woman)
473	master / boss
474	maybe
475	meat
476	medicine
477	meet
478	melt / thaw
479	mend / repair
480	middle
481	milk
482	millet
483	million
484	mirror
485	mix
486	mole
487	Monday
488	money
489	Mongolian spot (type of birthmark)
490	monkey
491	month
492	moon
493	more
494	morning
495	mortar
496	mosquito
497	mosquito net
498	most
499	mother
500	mother's brother / uncle
501	mother's sister / aunt
502	mould ~ mold
503	mountain
504	mountain (land) leech
505	mountain pigeon
506	moustache
507	mouth
508	move
509	mud
510	mushroom
511	mustard
512	mutually
513	nail
514	nail / claw
515	naked
516	name
517	nape
518	narrow
519	nasal mucus (solid)
520	navel
521	near
522	neck
523	needle
524	nephew / brother's son
525	nephew / sister's son
526	nest
527	nest (lit. bird-nest)
528	new
529	niece (older brother's daughter)
530	niece (younger sibling's daughter)
531	nigauri (bitter melon)
532	night
533	nine
534	ninety
535	nipple
536	noon
537	north
538	nose
539	nosebleed
540	not at all
541	not yet
542	now
543	oar
544	obtain
545	odor / smell
546	often
547	oil
548	okra
549	old
550	older brother (seen from y.b.)
551	older brother (seen from y.s.)
552	older sister (seen from y.b.)
553	older sister (seen from y.s.)
554	one
555	onion
556	open
557	orphan
558	otter
559	outside
560	painful / sore
561	paint
562	palm of hand
563	papaya
564	paper
565	parents
566	peacock
567	peanut
568	peel
569	pen (to write)
570	pencil
571	penis
572	pepper
573	person / human being
574	pestle
575	phlegm
576	pig
577	pigeon
578	pillow
579	pineapple
580	place
581	play
582	poison
583	pomelo
584	poor
585	potato
586	pound
587	pour
588	powder / flour
589	praise
590	pubic region
591	pull
592	pumpkin
593	pus
594	push
595	put / place
596	put in / insert
