CONCEPTICON	GLOSS	TBL	MANN	STB	Burmese	Old Burmese	Note
1826	angry	1621	angry[260]				
1125	bald	993	bald[396]		kh o ṅ ḥ ◦ p r o ṅ 		khoṅḥ = head
1427	beautiful	1060		beautiful[170]	lh a	lh a	
887	bitter	1074	bitter[376]	bitter[173]	kh ā ḥ	kh ā ḥ	
1653	blind	1715	blind[394]		k a n ḥ	k a n ḥ	
837	blue	1010		blue[174]	p r ā		
679	bright	1012	bright[371]	bright[176]	l a ṅ ḥ	l a ṅ ḥ	
996	deaf	1504	deaf[395]		n ā ḥ ◦ th ui ṅ		nāḥ = ear, -uiṅ is a rime that appears not to occur in inherited words
1593	deep	982	deep[351]	deep[182]	n a k	n a k	
584	difficult	1067		difficult[182]	kh a k	kh a k	
1463	drunk	1818	drunk[233]	drunk[183]	mh ū ḥ	mh ū ḥ	
379	dull	1021	blunt[385]	dull[184]	t u ṃ ḥ	t u ṃ ḥ	
686	easy	1068		easy[185]	l v a y ◦ k ū	l o₁ y	
1631	fast	1016	fast[389]	fast[187]	m r a n		
1279	fat (of person)	1024	fat[347]	fat [of person][187]	v a		
1242	few	988	few[337]	few[188]	n a ññ ḥ	n a ñ ḥ	
1633	flat	994		flat[189]	p r ā ḥ		
376	fragrant	1069		fragrant[191]	mh v e ḥ	mh u y ḥ	
1533	hungry	1298	hungry[229]	hungry[198]	ch ā	ch ā	
1533	hungry	1298	hungry[229]	hungry[198]	ṅ a t	ṅ a t	
1229	old (aged)	1058	old[369]		h o ṅ ḥ		
178	ripe	1638		ripe[218]	mh a ññ ʔ	mh a ñ ʔ	
193	shallow	983	shallow[352]	shallow[221]	t i m	t i m	
1847	sick	1160		sick[222]	n ã	n ã	be ill
1847	sick	1160		sick[222]	ph y ā ḥ	ph y ā ḥ	have fever
701	slow	1017	slow[390]	slow[224]	nh e ḥ	nh i y ḥ	
701	slow	1017	slow[390]	slow[224]	l e ḥ	l i y ḥ	
1906	sour	1072	sour[375]	sour[226]	kh y a ñ	kh y a n	
544	spicy	1075	spicy[377]	spicy[226]	c a p	c a p	
2458	sweat	154	sweat[165]	sweat[229]	kh y v e ḥ	kh y u y ḥ	
717	sweet	1073	sweet[374]	sweet[229]	kh y ui	kh y ui v	
711	tall (stature)	968	tall[343]	tall (of stature)[230]			
1673	the arm	105		arm[167]	l a k	l a k	
977	the arrow	637	arrow[219]	arrow[167]	m r ā ḥ	m l ā ḥ	irregularly pronounced with mh- initial in Rangoon
646	the ash	63	ashes[213]	ashes[168]	p r ā		
868	the banana	398	banana[57]	banana[169]	ṅh a k ◦ p y o		
1793	the bat	337		bat>>[169]	l a ṅ ḥ ◦ n ui ʔ	l a ṅ ḥ ◦ n ui v ʔ	common bat
1793	the bat	337		bat>>[169]	l a ṅ ḥ ◦ ch v e	l a ṅ ḥ ◦ ch u y	common bat
832	the bean	430		bean[170]	p e	p i y	
1820	the bear	311	bear[74]	bear[170]	v a k ◦ v a ṃ		
678	the beard	86	beard[136]		m u t ◦  ch i t	m u t ◦  ch i t	
1663	the bed	526		bed[170]	ʔ i p ◦ r ā		sleeping-place
665	the bee	267	bee[115]	bee[171]	p y ā ḥ	p y ā ḥ	
2246	the bell	666		bell[171]	kh o ṅ ḥ ◦ l o ṅ ḥ		(temple) bell, khoṅḥ  = cavity
