BEDB	GROUP	AUTONYM	AUTONYM_IPA	LONGITUDE	LATITUDE	JINGPHAW	BURMESE	CHINESE	PINYIN	WIKI	GLOTTOLOG	ISO	Nishi1999	Burling1967	Mann1998	NOTE
Maru	Maru	Lawngwaw	lɔ̃˥˧˩vɔ˧˩	24.45	98.6	Maru	Maru	浪速	Làngsù	Lhao Vo	maru1249	mhx	Langsu	Maru	Maru	Original location of data in Huang1992 is the city Mang (Luxi), which we give now in coordinates for Lashi, Maru, Atsi and Bola.
Atsi	Atsi	Tsaiwa	tsai˧˩va˥˩	24.45	98.6	Atsi	Zi	载瓦	Zǎiwǎ 	Zaiwa	zaiw1241	atb	Zaiwa	Atsi	Zaiwa	Original location of data in Huang1992 is the city Mang (Luxi), which we give now in coordinates for Lashi, Maru, Atsi and Bola.
Lashi	Lashi	Lachik	lă˧˩tʃʰi˥˩	24.45	98.6	Lashi	Lashi	勒期	Lèqí	Lashi	lash1243	lsi	Leqi		Lashi	Original location of data in Huang1992 is the city Mang (Luxi), which we give now in coordinates for Lashi, Maru, Atsi and Bola.
Achang	Burmic	Ngochang	ŋa˨˩tʂhaŋ˨˩	24.25	97.8333		Maintha	阿昌	Āchāng 	Achang	acha1249	acn	Achang		Achang	New location following Huang1992, Longchuan county.
Xiandao	Burmic		kʰan˧˩tau˧˩	24.716667	97.933333			仙岛	Xiāndǎo	Xiandao	acha1249	acn				Location in Huang1992 is Yingjiang county, and I changed the coordinates accordingly.
Bola	Bola	Pela	po˧˩la˧˩	24.45	98.6			波拉	Bōlā 	Pela	pela1242	bxd	Bola		Bela	Original location of data in Huang1992 is the city Mang (Luxi), which we give now in coordinates for Lashi, Maru, Atsi and Bola.
Chashan	Lashi		ŋɔ˧˩ tʃʰaŋ˥ 	26.0100975	98.6232345			茶山	Cháshān	Chashan	lash1243	lsi				
Burmese	Burmic							缅甸	Miǎndiàn	Burmese	sout3159	mya	Burmese	Burmese	Burmese	
Old_Burmese	Burmic			21.1707194	94.8566241					Old Burmese	oldb1235	obr				
Hpun	Burmic			25.3248194	97.3544031					Hpon	hpon1238	hpo			Phon	
Written_Burmese	Burmic															
Rangoon	Burmic			16.9037733	96.0294235											
Proto-Burmish	Lolo-Burmese													PB		
Lisu	Lolo-Burmese													Lisu		
Proto-Lolo-Burmese	Tibeto-Burman													PLB		
Lahu	Lolo-Burmese													Lahu		
Akha	Lolo-Burmese													Akha		
Proto-Lolo	Lolo-Burmese			24.45, 98.6									PL			
